Timestamp,Times,S total_SJN,P total_SJN,Q total_SJN,pf total_SJN
2016-Feb-25 08:45:00.000,08:45:00.000,12681.963,12242.791,3308.515,0.965
2016-Feb-25 08:30:00.000,08:30:00.000,12220.026,11800.326,3175.114,0.966
2016-Feb-25 08:15:00.000,08:15:00.000,12211.772,11787.791,3189.885,0.965
2016-Feb-25 08:00:00.000,08:00:00.000,11806.309,11435.935,2933.994,0.969
2016-Feb-25 07:45:00.000,07:45:00.000,11728.82,11377.988,2847.211,0.97
2016-Feb-25 07:30:00.000,07:30:00.000,11788.39,11494.329,2616.591,0.975
2016-Feb-25 07:15:00.000,07:15:00.000,11698.306,11428.736,2496.867,0.977
2016-Feb-25 07:00:00.000,07:00:00.000,11720.817,11457.795,2469.106,0.978
2016-Feb-25 06:45:00.000,06:45:00.000,11790.768,11537.19,2432.171,0.978
2016-Feb-25 06:30:00.000,06:30:00.000,11636.636,11395.895,2354.756,0.979
2016-Feb-25 06:15:00.000,06:15:00.000,11709.277,11433.819,2524.866,0.976
2016-Feb-25 06:00:00.000,06:00:00.000,11827.6,11498.168,2772.045,0.972
2016-Feb-25 05:45:00.000,05:45:00.000,11494.784,11163.862,2738.29,0.971
2016-Feb-25 05:30:00.000,05:30:00.000,11345.976,11024.621,2681.214,0.972
2016-Feb-25 05:15:00.000,05:15:00.000,11049.597,10723.214,2665.757,0.97
2016-Feb-25 05:00:00.000,05:00:00.000,10749.634,10417.201,2652.651,0.969
2016-Feb-25 04:45:00.000,04:45:00.000,10495.931,10182.176,2547.127,0.97
2016-Feb-25 04:30:00.000,04:30:00.000,10458.664,10129.715,2602.408,0.969
2016-Feb-25 04:15:00.000,04:15:00.000,10395.175,10059.29,2621.137,0.968
2016-Feb-25 04:00:00.000,04:00:00.000,10288.541,9961.158,2574.763,0.968
2016-Feb-25 03:45:00.000,03:45:00.000,10483.493,10129.87,2699.881,0.966
2016-Feb-25 03:30:00.000,03:30:00.000,10443.441,10090.673,2691.429,0.966
2016-Feb-25 03:15:00.000,03:15:00.000,10502.06,10142.597,2724.151,0.966
2016-Feb-25 03:00:00.000,03:00:00.000,10484.628,10143.565,2652.454,0.967
2016-Feb-25 02:45:00.000,02:45:00.000,10612.937,10266.608,2689.087,0.967
2016-Feb-25 02:30:00.000,02:30:00.000,10734.099,10384.469,2717.295,0.967
2016-Feb-25 02:15:00.000,02:15:00.000,10847.891,10504.225,2708.874,0.968
