P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter
10636.017,10564.932,10676.323,10582.366,11130.006,11316.621,11517.29,11327.297,10999.537,11513.81,11489.015,11701.08,11364.335,11348.799,11582.969,11432.796,11806.935,11652.754,11471.997,11676.4,11413.531,11295.467142857142
10207.072,10231.601,10484.696,10354.389,10875.126,11107.074,11370.765,11190.706,10745.427,11317.238,11401.124,11562.429,11140.095,11302.831,11208.266,11155.8,11638.399,11392.494,11316.391,11264.786,11267.189,11073.042761904762
10127.77,9982.21,10280.929,10232.547,10686.396,10993.116,11059.38,11043.86,10562.678,10968.642,11174.746,11322.723,11128.996,11116.391,11048.361,11031.343,11477.364,11291.315,11044.587,11238.575,11202.885,10905.467333333334
9960.999,9786.555,10106.805,10023.359,10612.182,10866.769,11018.122,10775.37,10569.628,10897.337,11069.452,11085.125,10788.105,10911.623,10879.411,10690.129,11340.57,11072.718,10872.217,10946.247,11016.292,10728.04833333333
9835.695,9679.285,9866.625,9915.928,10399.81,10793.143,10961.157,10671.815,10404.667,10630.875,10951.057,10815.52,10666.735,10651.333,10750.295,10640.367,11089.535,10834.835,10673.8,10875.073,10681.569,10561.386619047618
9667.997,9434.146,9812.46,9785.348,10270.506,10607.726,10762.712,10571.804,10271.906,10520.628,10802.399,10734.12,10621.312,10602.458,10678.417,10463.512,10996.065,10732.2,10673.971,10660.283,10714.066,10446.858857142857
9594.57,9435.568,9755.141,9800.045,10229.45,10532.833,10724.577,10489.75,10041.812,10551.984,10737.683,10567.46,10497.288,10371.644,10419.831,10292.49,10890.792,10581.53,10504.101,10673.502,10479.067,10341.48180952381
9568.671,9357.093,9663.63,9603.386,9913.646,10448.994,10697.366,10295.661,10091.997,10340.551,10580.48,10536.386,10347.995,10252.908,10320.857,10223.697,10772.65,10426.453,10403.274,10388.596,10401.555,10220.75457142857
9428.195,9219.138,9582.65,9459.827,9971.222,10325.792,10608.564,10244.167,9989.872,10219.331,10529.017,10437.574,10281.118,10196.341,10332.738,10177.154,10654.831,10258.252,10302.953,10296.025,10189.031,10128.752000000002
9337.25,9109.061,9508.635,9407.355,9761.471,10233.389,10360.641,10075.692,9856.047,10086.648,10347.773,10391.188,10118.305,10072.312,10121.375,6923.883,10578.487,10100.306,10159.138,10228.874,10184.479,9855.348047619049
9348.584,8934.709,9332.8,9248.376,9689.695,10127.785,10460.657,9978.846,9937.096,10127.269,10311.289,10172.831,10166.948,10058.326,10028.975,6707.966,10503.54,10082.938,10145.526,10165.152,10112.872,9792.484761904763
9164.082,9015.913,9349.914,9238.731,9652.071,10103.37,10326.276,9872.346,9805.085,10004.711,10313.836,10210.375,10028.838,9873.275,9960.89,9946.079,10480.873,10013.647,10063.783,10113.42,9827.113,9874.506095238095
9239.826,8870.381,9231.63,9190.008,9543.743,10019.812,10242.004,9892.633,9690.212,9954.726,10117.135,10045.097,9938.106,9704.792,10002.119,9830.036,10298.467,9943.367,9945.944,10060.211,9762.043,9786.77580952381
8981.385,8831.18,9254.349,9120.864,9546.219,10099.167,10165.866,9849.815,9624.511,9921.295,10115.365,10027.834,9860.795,9718.616,9824.013,9794.125,10293.314,9826.954,9944.552,9951.753,9655.917,9733.708999999999
9096.64,8752.252,9224.839,9140.15,9485.132,9943.596,10102.627,9782.538,9429.142,9886.473,10032.25,9833.623,9811.396,9550.36,9676.124,9724.364,10219.293,9761.108,9929.657,9900.045,9603.317,9661.186952380955
9028.387,8769.303,9039.872,9054.285,9423.769,9999.55,10135.521,9627.986,9569.003,9858.752,10014.208,9893.453,9689.774,9532.867,9790.544,9884.086,10228.221,9769.704,9875.207,9937.789,9643.686,9655.522238095236
9102.953,8788.361,9060.65,8958.077,9472.241,9885.995,10050.08,9649.413,9429.804,9762.373,9957.006,9909.785,9697.473,9533.732,9766.364,9860.14,10237.658,9755.14,9901.191,9774.952,9559.958,9624.445047619047
