Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN,Euclidean Barycenter
55.522,62.713,101.63,124.527,161.916,215.466,290.539,345.427,406.542,385.298,294.87,391.031,362.889,318.743,415.114,383.309,396.148,380.976,352.363,358.689,369.659,293.97004761904765
61.202,83.801,71.474,100.392,154.144,219.924,277.741,348.403,348.112,371.004,276.476,382.49,343.098,336.461,379.622,366.882,394.041,384.403,339.913,366.534,358.853,284.0461904761905
87.114,57.18,76.4,114.68,159.482,219.379,287.837,343.942,358.192,415.49,295.806,384.614,363.977,322.653,375.957,346.831,400.063,382.793,349.722,402.498,382.409,291.76280952380944
49.554,57.759,74.531,114.067,113.132,216.358,273.367,366.96,361.097,384.487,286.181,376.533,351.859,306.012,355.807,356.157,383.512,361.019,297.413,381.737,360.511,277.52633333333335
62.812,90.412,65.778,116.316,150.919,209.969,285.334,321.329,352.522,375.403,322.6,379.919,336.741,304.191,387.342,328.819,392.44,361.356,301.076,363.024,362.006,279.5384761904762
62.334,55.994,49.981,91.824,112.436,203.234,258.52,326.96,340.594,392.902,277.667,337.172,320.867,343.007,357.213,331.653,361.361,323.61,305.348,374.261,325.361,264.39519047619046
43.099,61.92,46.291,99.951,140.396,208.82,287.932,362.629,330.501,359.181,313.073,336.464,316.319,310.16,367.791,336.502,378.723,324.57,296.404,383.736,352.372,269.37304761904767
68.153,55.971,68.552,103.358,117.304,207.852,298.258,332.677,363.58,386.988,309.761,325.88,342.301,312.677,315.646,308.811,370.851,309.428,301.342,290.278,332.6,262.9651428571429
39.647,64.696,46.322,100.71,124.968,202.528,294.179,336.786,324.359,372.834,326.138,338.396,301.807,302.993,299.08,314.333,352.264,296.956,288.642,295.75,321.617,254.52404761904762
41.431,30.388,28.826,75.137,108.956,193.886,271.728,321.89,329.291,350.741,279.871,320.913,274.007,243.35,318.818,326.292,345.554,288.006,288.434,299.157,319.688,240.77923809523813
31.421,46.432,27.739,100.496,105.276,193.839,271.802,316.031,349.33,372.079,310.401,331.882,289.81,258.801,303.069,335.184,315.652,288.808,258.871,293.209,310.11,243.3448571428571
42.726,34.212,62.308,68.513,88.131,185.369,286.502,306.957,311.698,342.471,262.559,288.001,272.949,212.431,300.671,295.271,338.702,285.553,290.474,285.243,327.467,232.7718095238095
20.984,34.431,27.366,66.023,117.393,195.358,272.819,318.556,315.428,366.456,275.868,323.472,276.766,230.147,307.291,297.251,339.211,301.778,262.956,286.983,321.856,236.1139523809524
51.056,6.862,45.498,91.198,72.452,183.359,310.083,342.463,332.609,338.704,283.873,304.297,284.517,237.607,281.422,302.828,324.694,276.653,279.266,288.721,271.787,233.80709523809517
19.249,-3.587,21.616,50.071,104.128,191.251,270.148,305.512,323.088,354.75,285.897,294.564,297.586,252.219,286.014,287.769,315.37,283.06,262.523,273.407,276.859,226.26161904761906
12.142,18.323,53.654,60.612,83.303,184.467,281.418,338.856,326.794,358.686,279.612,285.846,271.261,218.467,276.164,313.388,321.43,302.968,282.678,289.544,251.436,229.09757142857137
31.416,-1.161,5.988,77.126,125.048,195.043,273.809,362.861,320.938,343.329,290.443,276.504,278.657,235.271,291.912,314.746,334.547,280.028,269.618,267.951,267.101,230.53214285714287
23.176,25.24,17.504,55.592,89.273,194.186,293.744,336.867,324.609,361.872,284.29,317.113,260.858,253.209,280.777,356.548,325.672,272.38,291.519,287.087,261.287,233.94299999999998
18.891,10.456,25.36,69.616,118.136,181.131,289.784,336.516,324.693,346.444,287.67,290.894,274.117,220.71,301.183,332.991,329.491,287.703,309.711,240.148,238.991,230.22076190476193
24.066,25.068,19.113,65.319,83.656,184.662,298.751,327.643,307.296,356.116,295.504,283.979,256.241,233.249,326.85,343.312,314.027,273.647,266.551,284.396,252.033,229.59423809523807
48.524,4.087,53.233,84.937,109.677,191.099,283.68,318.253,307.307,319.306,290.512,284.138,260.712,236.708,264.731,305.313,334.982,268.226,269.132,256.728,246.46,225.6069047619048
9.946,-4.718,-4.4,25.317,45.006,191.851,294.097,299.014,281.358,296.797,252.261,264.671,268.813,222.004,271.954,319.84,330.538,248.387,249.289,256.659,257.196,208.3752380952381
8.642,-21.457,-7.11,37.927,74.671,185.777,293.202,293.833,285.47,298.307,232.161,283.163,242.369,218.994,267.66,309.423,300.924,237.657,251.584,272.989,223.13,204.25314285714285
-20.97,1.077,-14.952,57.328,53.0,200.667,301.389,311.359,279.587,290.902,218.468,298.321,286.937,235.684,271.938,346.38,314.382,238.826,276.146,252.939,236.913,211.25338095238095
35.036,-0.032,0.819,39.929,98.133,200.758,291.702,340.707,322.479,296.613,260.174,323.742,268.229,255.21,303.31,333.303,317.306,249.576,263.961,259.332,224.267,223.074
30.867,6.957,-40.998,31.459,75.617,188.563,271.494,369.959,297.252,276.578,236.249,291.301,289.894,222.12,302.129,342.284,396.954,325.182,282.248,253.418,247.498,223.6678571428571
10.703,-23.231,-33.31,24.358,68.75,166.883,260.357,288.847,281.987,280.818,233.153,286.808,188.996,200.842,309.876,313.662,325.204,287.751,230.5,218.954,168.167,194.76547619047622
-15.367,-53.793,-7.202,39.336,56.198,153.831,243.174,282.478,233.023,247.938,218.401,281.95,196.646,152.853,272.757,332.526,311.466,251.334,238.647,154.293,122.212,176.79528571428568
-25.234,-64.744,-21.532,-14.121,99.341,156.332,242.492,246.05,218.262,268.069,215.49,284.776,199.917,132.14,251.956,304.793,270.576,215.323,236.228,131.973,128.986,165.57490476190475
-6.006,-13.826,-12.114,21.622,67.378,132.827,222.301,254.451,207.86,248.484,220.003,310.978,167.403,113.254,281.398,330.944,275.579,213.813,289.428,163.327,140.096,172.81904761904764
-6.532,-19.517,1.382,12.744,106.438,140.922,223.486,248.776,187.209,304.447,225.208,310.433,196.949,146.48,289.103,338.451,366.009,251.978,277.556,156.41,138.382,185.5387619047619
6.571,-17.866,-9.709,51.354,103.807,166.253,197.754,264.866,227.201,294.839,337.941,303.431,260.397,171.249,356.921,376.857,396.85,302.42,330.512,217.656,174.538,214.94485714285707
22.047,4.12,65.772,41.81,69.064,222.394,258.536,278.584,252.359,344.018,391.298,318.418,328.822,169.752,415.307,423.786,417.041,327.513,384.547,274.75,240.824,250.0362857142857
54.383,26.304,64.314,69.923,144.61,243.809,251.949,258.407,280.221,374.459,426.592,408.749,352.608,214.241,436.171,484.513,439.563,412.287,447.274,346.598,232.796,284.27480952380955
67.017,71.832,95.364,93.309,158.334,239.278,252.043,281.243,269.927,389.183,441.236,488.429,433.893,203.089,473.849,536.566,467.781,457.081,497.839,372.918,249.401,311.41009523809527
98.413,147.464,106.879,128.529,150.924,215.236,255.472,253.65,274.438,395.467,461.944,547.196,397.212,217.077,546.231,564.15,559.689,515.97,533.612,390.38,280.382,335.2530952380952
127.512,140.359,136.47,208.124,172.26,240.488,366.304,261.799,290.409,420.379,468.011,560.416,421.969,227.869,533.886,589.284,568.4,520.228,535.107,429.272,285.773,357.3485238095238
182.943,169.443,143.911,229.046,184.618,233.828,388.79,313.72,262.041,418.377,486.313,547.653,404.616,305.61,530.104,585.379,615.492,527.566,588.088,428.124,315.877,374.359
182.494,166.453,180.8,225.068,205.756,261.958,356.672,312.569,257.759,403.157,496.53,533.394,403.21,309.398,569.519,585.203,623.661,566.718,579.193,451.864,359.181,382.4074761904762
159.682,128.773,203.862,228.42,207.231,275.65,332.744,341.588,272.348,408.867,533.968,573.097,414.379,348.299,605.669,606.729,606.096,538.25,569.152,459.141,304.358,386.58585714285715
163.558,166.913,209.386,238.742,215.486,293.694,369.524,314.862,362.524,422.272,552.84,572.63,444.686,355.417,578.444,589.353,616.166,556.469,599.723,476.986,333.139,401.56257142857146
163.353,169.292,213.934,219.318,196.799,325.912,352.837,333.337,367.986,418.08,568.426,590.874,454.507,367.0,600.327,590.221,595.954,569.63,609.819,528.681,343.318,408.55261904761903
185.196,160.589,218.879,215.294,192.274,377.893,335.091,335.04,384.748,375.897,572.88,593.818,494.402,408.143,635.513,596.789,659.324,618.243,616.367,574.224,369.448,424.7643809523809
192.598,165.792,220.539,219.552,216.322,370.514,360.133,357.0,348.773,351.496,536.451,584.156,524.223,412.406,645.363,603.664,656.698,647.897,612.008,565.899,382.841,427.34880952380956
188.641,162.287,191.85,233.504,216.027,409.654,332.278,349.988,361.639,429.527,602.737,605.388,482.021,369.107,684.374,616.262,674.503,622.707,624.617,598.317,354.767,433.81880952380953
177.634,161.152,200.422,233.746,225.494,437.964,396.467,368.428,373.203,438.742,617.04,639.606,503.823,431.64,701.096,595.091,625.962,656.373,645.788,592.974,410.114,449.179
188.841,161.549,216.576,242.794,200.501,429.409,414.712,350.53,377.819,448.61,599.543,704.492,492.631,454.966,677.538,616.772,621.246,655.207,645.251,611.98,405.244,453.15290476190484
205.943,160.86,200.281,244.356,181.132,414.049,376.646,337.284,376.603,538.868,663.356,710.958,503.481,453.297,652.517,597.673,645.296,626.713,649.782,586.074,411.668,454.13509523809523
