modified_index,F-JW1-FRI,F-JW2-FRI,F-JW3-FRI,Euclidean Barycenter
00:00:00,161.916,391.031,352.363,301.77
00:15:00,154.144,382.49,339.913,292.18233333333336
00:30:00,159.482,384.614,349.722,297.9393333333333
00:45:00,113.132,376.533,297.413,262.3593333333333
01:00:00,150.919,379.919,301.076,277.30466666666666
01:15:00,112.436,337.172,305.348,251.65200000000004
01:30:00,140.396,336.464,296.404,257.75466666666665
01:45:00,117.304,325.88,301.342,248.17533333333333
02:00:00,124.968,338.396,288.642,250.6686666666667
02:15:00,108.956,320.913,288.434,239.43433333333337
02:30:00,105.276,331.882,258.871,232.00966666666667
02:45:00,88.131,288.001,290.474,222.202
03:00:00,117.393,323.472,262.956,234.607
03:15:00,72.452,304.297,279.266,218.6716666666667
03:30:00,104.128,294.564,262.523,220.405
03:45:00,83.303,285.846,282.678,217.27566666666667
04:00:00,125.048,276.504,269.618,223.72333333333336
04:15:00,89.273,317.113,291.519,232.635
04:30:00,118.136,290.894,309.711,239.58033333333333
04:45:00,83.656,283.979,266.551,211.3953333333333
05:00:00,109.677,284.138,269.132,220.98233333333334
05:15:00,45.006,264.671,249.289,186.322
05:30:00,74.671,283.163,251.584,203.13933333333333
05:45:00,53.0,298.321,276.146,209.1556666666667
06:00:00,98.133,323.742,263.961,228.612
06:15:00,75.617,291.301,282.248,216.38866666666664
06:30:00,68.75,286.808,230.5,195.35266666666666
06:45:00,56.198,281.95,238.647,192.265
07:00:00,99.341,284.776,236.228,206.78166666666667
07:15:00,67.378,310.978,289.428,222.59466666666665
07:30:00,106.438,310.433,277.556,231.47566666666663
07:45:00,103.807,303.431,330.512,245.91666666666666
08:00:00,69.064,318.418,384.547,257.343
08:15:00,144.61,408.749,447.274,333.5443333333333
08:30:00,158.334,488.429,497.839,381.53399999999993
08:45:00,150.924,547.196,533.612,410.57733333333334
09:00:00,172.26,560.416,535.107,422.5943333333333
09:15:00,184.618,547.653,588.088,440.11966666666666
09:30:00,205.756,533.394,579.193,439.44766666666663
09:45:00,207.231,573.097,569.152,449.82666666666665
10:00:00,215.486,572.63,599.723,462.613
10:15:00,196.799,590.874,609.819,465.8306666666667
10:30:00,192.274,593.818,616.367,467.4863333333333
10:45:00,216.322,584.156,612.008,470.8286666666666
11:00:00,216.027,605.388,624.617,482.0106666666666
11:15:00,225.494,639.606,645.788,503.6293333333333
11:30:00,200.501,704.492,645.251,516.7479999999999
11:45:00,181.132,710.958,649.782,513.9573333333333
12:00:00,31.946,693.794,643.306,456.3486666666667
12:15:00,15.194,614.712,602.582,410.8293333333333
12:30:00,11.706,649.943,589.714,417.12100000000004
12:45:00,0.478,658.081,574.237,410.93199999999996
13:00:00,-12.607,649.226,613.786,416.8016666666667
13:15:00,-25.618,655.161,606.56,412.0343333333333
13:30:00,-23.793,636.873,596.79,403.28999999999996
13:45:00,-11.05,657.797,622.644,423.13033333333334
14:00:00,2.812,661.356,612.138,425.43533333333335
14:15:00,4.786,698.21,590.287,431.0943333333333
14:30:00,-2.718,687.126,601.704,428.704
14:45:00,-5.167,679.386,636.474,436.8976666666667
15:00:00,-18.66,683.037,651.852,438.743
15:15:00,-22.343,676.731,640.173,431.5203333333334
15:30:00,-28.358,652.758,630.251,418.21700000000004
15:45:00,-26.507,625.546,636.117,411.71866666666665
16:00:00,-15.612,640.427,614.712,413.1756666666667
16:15:00,-58.542,636.103,611.322,396.29433333333327
16:30:00,-66.841,557.151,545.741,345.3503333333333
16:45:00,-68.369,478.229,420.813,276.891
17:00:00,-50.357,485.944,406.398,280.6616666666667
17:15:00,-58.294,415.688,397.294,251.56266666666667
17:30:00,-69.391,407.562,406.741,248.304
17:45:00,71.348,374.701,375.186,273.745
18:00:00,150.687,369.631,395.409,305.2423333333333
18:15:00,149.504,370.051,396.144,305.233
18:30:00,206.427,424.141,406.934,345.834
18:45:00,241.363,455.476,456.856,384.565
19:00:00,222.558,432.439,471.973,375.6566666666667
19:15:00,217.927,437.733,456.621,370.76033333333334
19:30:00,212.513,435.753,462.547,370.271
19:45:00,221.603,453.904,463.186,379.5643333333333
20:00:00,212.839,422.85,463.357,366.3486666666667
20:15:00,197.924,433.16,456.623,362.569
20:30:00,205.166,438.787,465.512,369.82166666666666
20:45:00,203.0,466.727,441.857,370.528
21:00:00,211.202,423.692,405.484,346.79266666666666
21:15:00,211.713,414.373,451.129,359.0716666666667
21:30:00,216.189,440.509,454.087,370.2616666666666
21:45:00,215.297,434.339,441.492,363.7093333333333
22:00:00,215.424,422.499,470.34,369.421
22:15:00,203.912,371.219,421.423,332.18466666666666
22:30:00,202.987,391.459,458.069,350.83833333333337
22:45:00,203.573,375.923,432.788,337.428
23:00:00,207.324,401.16,432.713,347.0656666666667
23:15:00,215.981,361.811,392.356,323.38266666666664
23:30:00,207.547,395.024,356.797,319.78933333333333
23:45:00,203.481,363.993,381.963,316.479
