modified_index,F-JW1-MON,F-JW2-MON,F-JW3-MON,F-JW4-MON,Euclidean Barycenter
00:00:00,55.522,345.427,415.114,377.956,298.50475
00:15:00,61.202,348.403,379.622,375.459,291.17150000000004
00:30:00,87.114,343.942,375.957,371.056,294.51725
00:45:00,49.554,366.96,355.807,338.94,277.81525
01:00:00,62.812,321.329,387.342,376.247,286.9325
01:15:00,62.334,326.96,357.213,324.496,267.75075000000004
01:30:00,43.099,362.629,367.791,340.463,278.4955
01:45:00,68.153,332.677,315.646,334.256,262.683
02:00:00,39.647,336.786,299.08,328.126,250.90974999999997
02:15:00,41.431,321.89,318.818,325.216,251.83874999999998
02:30:00,31.421,316.031,303.069,303.368,238.47224999999997
02:45:00,42.726,306.957,300.671,327.118,244.368
03:00:00,20.984,318.556,307.291,310.416,239.31174999999996
03:15:00,51.056,342.463,281.422,349.259,256.05
03:30:00,19.249,305.512,286.014,303.189,228.49100000000004
03:45:00,12.142,338.856,276.164,317.651,236.20325000000003
04:00:00,31.416,362.861,291.912,303.311,247.375
04:15:00,23.176,336.867,280.777,270.28,227.77499999999998
04:30:00,18.891,336.516,301.183,291.636,237.05650000000003
04:45:00,24.066,327.643,326.85,327.926,251.62124999999997
05:00:00,48.524,318.253,264.731,304.712,234.055
05:15:00,9.946,299.014,271.954,304.15,221.266
05:30:00,8.642,293.833,267.66,273.937,211.018
05:45:00,-20.97,311.359,271.938,309.998,218.08125
06:00:00,35.036,340.707,303.31,293.748,243.20024999999998
06:15:00,30.867,369.959,302.129,258.93,240.47125
06:30:00,10.703,288.847,309.876,231.361,210.19674999999998
06:45:00,-15.367,282.478,272.757,217.022,189.22249999999997
07:00:00,-25.234,246.05,251.956,268.686,185.3645
07:15:00,-6.006,254.451,281.398,253.611,195.86350000000002
07:30:00,-6.532,248.776,289.103,288.181,204.882
07:45:00,6.571,264.866,356.921,303.961,233.07975
08:00:00,22.047,278.584,415.307,325.388,260.3315
08:15:00,54.383,258.407,436.171,411.034,289.99875
08:30:00,67.017,281.243,473.849,473.682,323.94775
08:45:00,98.413,253.65,546.231,514.641,353.23375
09:00:00,127.512,261.799,533.886,539.33,365.63175
09:15:00,182.943,313.72,530.104,543.476,392.56075
09:30:00,182.494,312.569,569.519,591.127,413.92724999999996
09:45:00,159.682,341.588,605.669,605.642,428.14525
10:00:00,163.558,314.862,578.444,611.213,417.01925
10:15:00,163.353,333.337,600.327,661.948,439.74125000000004
10:30:00,185.196,335.04,635.513,683.831,459.895
10:45:00,192.598,357.0,645.363,696.093,472.7635
11:00:00,188.641,349.988,684.374,690.671,478.41850000000005
11:15:00,177.634,368.428,701.096,700.55,486.92699999999996
11:30:00,188.841,350.53,677.538,693.049,477.4895
11:45:00,205.943,337.284,652.517,678.107,468.46275
12:00:00,205.68,338.166,679.688,677.257,475.19775000000004
12:15:00,208.193,352.648,685.272,659.998,476.52775
12:30:00,213.984,377.928,704.973,682.069,494.7385
12:45:00,219.28,380.959,695.17,673.686,492.27375000000006
13:00:00,207.302,378.677,733.523,672.439,497.98524999999995
13:15:00,180.786,363.156,744.786,646.518,483.8115
13:30:00,183.026,351.172,689.442,657.919,470.38975000000005
13:45:00,198.018,345.038,678.266,670.116,472.8595
14:00:00,199.458,337.911,686.511,653.268,469.28700000000003
14:15:00,221.579,353.502,690.937,665.559,482.89425
14:30:00,210.238,358.428,662.628,660.538,472.95799999999997
14:45:00,220.052,348.727,651.247,678.441,474.61674999999997
15:00:00,212.717,354.981,655.776,690.296,478.4425
15:15:00,201.33,337.781,662.644,669.066,467.70525000000004
15:30:00,189.492,314.78,642.207,627.642,443.53024999999997
15:45:00,200.933,306.964,686.343,672.042,466.57050000000004
16:00:00,245.972,316.65,643.053,656.693,465.592
16:15:00,234.027,333.158,598.778,649.106,453.76725
16:30:00,203.0,343.246,560.139,627.114,433.37475
16:45:00,118.693,323.744,510.279,558.138,377.7135
17:00:00,119.561,333.561,483.873,498.046,358.76025
17:15:00,139.846,304.207,483.526,447.164,343.68575
17:30:00,164.566,311.977,411.421,456.342,336.0765
17:45:00,126.117,301.277,352.077,422.79,300.56525
18:00:00,127.434,299.259,334.068,407.523,292.071
18:15:00,127.288,300.941,359.341,417.472,301.2605
18:30:00,151.097,348.969,393.146,452.877,336.52225
18:45:00,160.822,352.793,487.661,530.227,382.87575000000004
19:00:00,157.718,360.547,478.072,496.4,373.18425
19:15:00,142.087,338.382,475.437,506.486,365.59799999999996
19:30:00,138.949,349.786,467.998,517.814,368.63675
19:45:00,138.203,337.108,479.553,533.92,372.196
20:00:00,148.699,346.347,471.949,510.497,369.373
20:15:00,137.611,351.204,484.546,495.158,367.12975
20:30:00,142.323,373.679,449.949,506.437,368.097
20:45:00,155.96,354.129,460.469,497.161,366.92975
21:00:00,149.954,368.896,452.069,487.743,364.6655
21:15:00,141.313,384.179,400.352,459.76,346.40099999999995
21:30:00,161.016,366.664,432.3,465.467,356.36175000000003
21:45:00,116.347,365.867,404.663,449.181,334.0145
22:00:00,136.839,390.358,432.992,439.958,350.03675000000004
22:15:00,125.782,381.246,401.243,409.273,329.38599999999997
22:30:00,98.417,389.408,437.41,422.832,337.01675
22:45:00,125.129,404.352,428.177,402.934,340.148
23:00:00,115.036,384.083,404.998,439.352,335.86725
23:15:00,117.048,420.389,402.866,439.943,345.0615
23:30:00,122.089,390.772,382.556,422.828,329.56125
23:45:00,113.829,394.246,402.878,428.02,334.74325
