modified_index,P-FW1-SAT,P-FW2-SAT,P-FW3-SAT,Euclidean Barycenter
00:00:00,2791.024,2964.46,3083.896,2946.4600000000005
00:15:00,2765.873,2905.879,3008.712,2893.488
00:30:00,2738.946,2898.427,2962.283,2866.5519999999997
00:45:00,2683.143,2857.335,2900.605,2813.6943333333334
01:00:00,2644.569,2789.281,2835.871,2756.573666666667
01:15:00,2601.137,2743.406,2794.306,2712.949666666667
01:30:00,2608.635,2712.718,2785.911,2702.421333333333
01:45:00,2573.488,2732.918,2685.471,2663.9590000000003
02:00:00,2528.732,2657.161,2659.849,2615.2473333333332
02:15:00,2494.367,2632.814,2645.64,2590.9403333333335
02:30:00,2465.73,2620.842,2618.119,2568.2303333333334
02:45:00,2457.432,2572.458,2589.221,2539.7036666666663
03:00:00,2454.964,2550.73,2566.01,2523.9013333333332
03:15:00,2424.264,2529.33,2550.809,2501.467666666667
03:30:00,2441.094,2532.502,2514.92,2496.172
03:45:00,2417.168,2472.957,2518.888,2469.671
04:00:00,2423.949,2475.52,2492.752,2464.0736666666667
04:15:00,2408.521,2441.936,2482.769,2444.4086666666667
04:30:00,2374.547,2467.52,2412.135,2418.0673333333334
04:45:00,2441.234,2484.99,2509.858,2478.694
05:00:00,2439.591,2483.24,2469.633,2464.154666666667
05:15:00,2452.777,2459.292,2484.014,2465.361
05:30:00,2467.824,2456.831,2496.899,2473.8513333333335
05:45:00,2487.103,2481.958,2490.946,2486.669
06:00:00,2489.19,2444.094,2502.645,2478.643
06:15:00,2452.58,2460.051,2460.089,2457.5733333333333
06:30:00,2405.193,2333.69,2369.182,2369.355
06:45:00,2352.413,2288.89,2298.786,2313.363
07:00:00,2316.938,2325.804,2310.261,2317.6676666666667
07:15:00,2337.806,2328.609,2403.506,2356.6403333333333
07:30:00,2359.932,2436.451,2406.344,2400.909
07:45:00,2412.667,2546.72,2475.524,2478.3036666666667
08:00:00,2549.689,2627.426,2539.007,2572.0406666666663
08:15:00,2611.172,2739.749,2697.204,2682.7083333333335
08:30:00,2701.209,2923.612,2823.031,2815.950666666666
08:45:00,2714.115,2947.667,2856.196,2839.3259999999996
09:00:00,2812.721,2973.052,2944.421,2910.0646666666667
09:15:00,2789.912,3011.117,3012.879,2937.969333333333
09:30:00,2859.608,3015.159,3108.622,2994.4629999999997
09:45:00,2895.41,3028.657,3116.759,3013.608666666667
10:00:00,2926.283,3100.919,3157.21,3061.4706666666666
10:15:00,3003.229,3164.567,3208.523,3125.4396666666667
10:30:00,3054.74,3233.184,3251.888,3179.9373333333333
10:45:00,3043.249,3283.308,3289.867,3205.4746666666665
11:00:00,3145.702,3208.259,3369.938,3241.2996666666672
11:15:00,3209.316,3248.44,3393.097,3283.6176666666665
11:30:00,3165.828,3255.418,3397.042,3272.762666666667
11:45:00,3130.825,3288.929,3390.652,3270.135333333333
12:00:00,3162.869,3273.137,3427.072,3287.6926666666673
12:15:00,3181.083,3281.211,3411.772,3291.355333333333
12:30:00,3137.471,3280.254,3415.771,3277.8320000000003
12:45:00,3185.638,3292.44,3464.752,3314.2766666666666
13:00:00,3155.522,3357.054,3507.193,3339.9230000000002
13:15:00,3154.822,3321.926,3491.229,3322.6589999999997
13:30:00,3109.009,3322.824,3516.224,3316.0190000000002
13:45:00,3028.224,3340.147,3532.873,3300.414666666667
14:00:00,3058.171,3325.362,3565.942,3316.4916666666663
14:15:00,3131.343,3237.402,3464.181,3277.642
14:30:00,3103.307,3221.344,3434.097,3252.9159999999997
14:45:00,3112.007,3209.754,3391.929,3237.896666666667
15:00:00,3090.928,3181.469,3424.234,3232.210333333333
15:15:00,3032.857,3166.092,3425.142,3208.0303333333336
15:30:00,3028.494,3181.009,3370.604,3193.369
15:45:00,3048.099,3147.325,3344.209,3179.8776666666668
16:00:00,3093.74,3062.429,3293.23,3149.7996666666663
16:15:00,3005.992,3024.863,3249.406,3093.420333333333
16:30:00,2989.792,3041.922,3237.829,3089.8476666666666
16:45:00,3029.244,2988.48,3230.365,3082.6963333333333
17:00:00,3001.833,2951.187,3234.987,3062.6690000000003
