modified_index,P-FW1-TUE,P-FW2-TUE,P-FW3-TUE,P-FW4-TUE,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,2094.827,2911.338,2986.669,3040.168,2758.2505,2949.0035,2094.827,2765.195183823529,2759.3051260207085
00:15:00,2096.814,2792.807,2948.981,2973.771,2703.09325,2870.8940000000002,2096.814,2554.7799609375,2541.7827085827043
00:30:00,1985.747,2754.974,2871.312,2937.61,2637.41075,2813.143,1985.747,2422.70965625,2411.987021869012
00:45:00,1948.77,2737.214,2836.349,2910.064,2608.09925,2786.7815,1948.77,2357.0217857142857,2361.142970241397
01:00:00,1947.957,2692.779,2733.304,2847.615,2555.4137499999997,2713.0415000000003,1947.957,2353.1987142857142,2357.7537885522934
01:15:00,1888.497,2655.751,2723.665,2792.661,2515.1435,2689.708,1888.497,2353.1987142857142,2356.0207176099707
01:30:00,1879.481,2606.244,2705.885,2753.696,2486.3265,2656.0645000000004,1879.481,2353.1987142857142,2354.889996170358
01:45:00,1853.609,2620.726,2648.007,2753.206,2468.887,2634.3665,1853.609,2353.1987142857142,2354.2454717717196
02:00:00,1854.259,2569.105,2641.56,2740.0,2451.2309999999998,2605.3325,1854.259,2353.1987142857142,2355.0898613096365
02:15:00,1791.224,2541.046,2639.117,2714.156,2421.38575,2590.0815000000002,1791.224,2353.1987142857142,2353.5524172714745
02:30:00,1807.649,2573.741,2622.383,2698.641,2425.6034999999997,2598.062,1807.649,2353.1987142857142,2353.713822320607
02:45:00,1789.13,2508.198,2538.396,2686.202,2380.4815,2523.297,1789.13,2353.1987142857142,2351.81479288438
03:00:00,1771.98,2480.911,2543.38,2618.609,2353.72,2512.1455,1771.98,2353.1987142857142,2350.594417809975
03:15:00,1743.001,2488.546,2561.62,2633.652,2356.70475,2525.0829999999996,1743.001,2353.1987142857142,2350.6497876247017
03:30:00,1722.411,2441.406,2560.2,2598.222,2330.55975,2500.803,1722.411,2353.625107142857,2351.046736429457
03:45:00,1734.148,2431.521,2571.012,2564.633,2325.3285,2498.077,1734.148,2332.3239062499997,2327.912662610853
04:00:00,1713.389,2417.303,2576.081,2558.957,2316.4325,2488.13,1713.389,1911.0177394366196,1908.2019054765271
04:15:00,1738.908,2398.125,2652.828,2556.749,2336.6524999999997,2477.437,1738.908,2275.3165592105265,2278.373701915906
04:30:00,1728.491,2407.502,2609.478,2573.46,2329.73275,2490.4809999999998,1728.491,2421.5105769230768,2443.1868993300873
04:45:00,1790.799,2439.641,2677.009,2611.13,2379.6447500000004,2525.3855000000003,1790.799,2481.3024615384616,2501.5381114774336
05:00:00,1796.153,2439.85,2658.556,2637.729,2383.0719999999997,2538.7895,1796.153,2509.9772857142857,2510.425929149022
