modified_index,F-JW1-WED,F-JW2-WED,F-JW3-WED,F-JW4-WED,Euclidean Barycenter
00:00:00,101.63,385.298,396.148,368.064,312.785
00:15:00,71.474,371.004,394.041,374.086,302.65125
00:30:00,76.4,415.49,400.063,395.952,321.97625
00:45:00,74.531,384.487,383.512,404.761,311.82275
01:00:00,65.778,375.403,392.44,380.806,303.60675000000003
01:15:00,49.981,392.902,361.361,360.702,291.2365
01:30:00,46.291,359.181,378.723,404.756,297.23775
01:45:00,68.552,386.988,370.851,387.499,303.4725
02:00:00,46.322,372.834,352.264,315.814,271.80850000000004
02:15:00,28.826,350.741,345.554,324.84,262.49025
02:30:00,27.739,372.079,315.652,322.203,259.41825
02:45:00,62.308,342.471,338.702,315.111,264.648
03:00:00,27.366,366.456,339.211,288.319,255.33800000000002
03:15:00,45.498,338.704,324.694,303.479,253.09375
03:30:00,21.616,354.75,315.37,293.89,246.4065
03:45:00,53.654,358.686,321.43,297.678,257.86199999999997
04:00:00,5.988,343.329,334.547,303.792,246.914
04:15:00,17.504,361.872,325.672,310.122,253.79250000000002
04:30:00,25.36,346.444,329.491,318.329,254.906
04:45:00,19.113,356.116,314.027,300.622,247.46949999999998
05:00:00,53.233,319.306,334.982,306.693,253.55349999999999
05:15:00,-4.4,296.797,330.538,281.084,226.00475
05:30:00,-7.11,298.307,300.924,284.379,219.125
05:45:00,-14.952,290.902,314.382,289.687,220.00475
06:00:00,0.819,296.613,317.306,305.621,230.08975
06:15:00,-40.998,276.578,396.954,348.952,245.3715
06:30:00,-33.31,280.818,325.204,338.157,227.71724999999998
06:45:00,-7.202,247.938,311.466,312.001,216.05075
07:00:00,-21.532,268.069,270.576,301.528,204.66025000000002
07:15:00,-12.114,248.484,275.579,335.737,211.9215
07:30:00,1.382,304.447,366.009,356.481,257.07975
07:45:00,-9.709,294.839,396.85,373.226,263.80150000000003
08:00:00,65.772,344.018,417.041,381.557,302.097
08:15:00,64.314,374.459,439.563,429.168,326.876
08:30:00,95.364,389.183,467.781,430.65,345.7445
08:45:00,106.879,395.467,559.689,489.946,387.99524999999994
09:00:00,136.47,420.379,568.4,548.989,418.5595
09:15:00,143.911,418.377,615.492,579.831,439.40274999999997
09:30:00,180.8,403.157,623.661,579.286,446.726
09:45:00,203.862,408.867,606.096,586.16,451.24625000000003
10:00:00,209.386,422.272,616.166,581.826,457.4125
10:15:00,213.934,418.08,595.954,604.623,458.14775
10:30:00,218.879,375.897,659.324,641.547,473.91175
10:45:00,220.539,351.496,656.698,651.099,469.95799999999997
11:00:00,191.85,429.527,674.503,661.454,489.3335
11:15:00,200.422,438.742,625.962,721.84,496.7415
11:30:00,216.576,448.61,621.246,676.813,490.81125
11:45:00,200.281,538.868,645.296,658.619,510.7660000000001
12:00:00,215.004,604.637,656.12,688.859,541.155
12:15:00,223.126,629.378,643.788,657.092,538.346
12:30:00,227.263,640.85,643.129,653.18,541.1055
12:45:00,233.459,706.254,646.727,664.188,562.657
13:00:00,228.898,813.904,662.873,682.64,597.07875
13:15:00,236.709,812.904,657.95,668.184,593.9367500000001
13:30:00,219.331,835.339,647.384,682.517,596.14275
13:45:00,230.308,832.884,667.91,701.851,608.23825
14:00:00,226.192,844.777,644.239,691.721,601.73225
14:15:00,225.237,859.32,634.752,675.366,598.66875
14:30:00,230.776,808.592,641.028,702.336,595.683
14:45:00,232.64,690.664,666.61,742.064,582.9945
15:00:00,218.28,708.074,657.551,703.977,571.9705
15:15:00,217.536,778.536,638.653,691.652,581.59425
15:30:00,212.703,769.784,649.161,669.204,575.213
15:45:00,208.714,757.363,657.207,674.434,574.4295
16:00:00,204.629,718.271,616.398,646.629,546.48175
16:15:00,213.058,709.921,586.913,622.93,533.2055
16:30:00,196.071,699.57,584.453,558.614,509.677
16:45:00,181.087,546.411,501.482,525.44,438.605
17:00:00,175.286,523.241,504.011,516.174,429.678
17:15:00,184.77,495.744,465.437,485.342,407.82325000000003
17:30:00,168.24,411.941,448.388,450.256,369.70624999999995
17:45:00,132.366,366.407,369.259,416.697,321.18225
18:00:00,111.853,353.14,368.91,418.622,313.13125
18:15:00,124.487,341.771,344.314,404.303,303.71875
18:30:00,164.562,375.829,383.73,449.199,343.33000000000004
18:45:00,179.599,396.051,429.041,489.232,373.48075
19:00:00,179.804,405.73,434.493,504.679,381.17650000000003
19:15:00,166.526,404.638,404.787,484.851,365.20050000000003
19:30:00,167.521,401.632,423.409,500.642,373.301
19:45:00,173.266,418.644,439.523,519.181,387.6535
20:00:00,149.698,407.891,365.117,505.77,357.119
20:15:00,172.891,421.707,380.571,490.547,366.429
20:30:00,146.199,417.476,437.396,490.896,372.99174999999997
20:45:00,93.234,417.747,474.807,502.86,372.16200000000003
21:00:00,87.467,404.954,485.578,501.69,369.92225
21:15:00,91.897,414.782,440.007,464.429,352.77874999999995
21:30:00,105.67,396.942,460.357,466.732,357.42525
21:45:00,73.476,379.093,476.372,477.753,351.6735
22:00:00,120.289,392.073,451.072,433.428,349.2155
22:15:00,75.987,360.822,411.903,439.208,321.98
22:30:00,91.943,400.752,434.439,440.364,341.8745
22:45:00,93.789,398.49,405.966,441.368,334.90325
23:00:00,99.389,397.273,399.441,425.429,330.38300000000004
23:15:00,87.237,291.534,422.924,414.508,304.05075
23:30:00,95.076,312.369,381.232,404.598,298.31875
23:45:00,86.042,295.899,374.766,413.246,292.48825
