modified_index,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,2854.46,2911.338,2951.861,2963.628,3000.651,2964.46,2938.459,2940.6938571428573,2951.861,2854.46,2936.025623376623,2936.1591905918476
00:15:00,2790.388,2792.807,2894.348,2912.207,2964.41,2905.879,2900.575,2880.0877142857144,2900.575,2790.388,2893.7528095238094,2893.829132906243
00:30:00,2759.67,2754.974,2879.517,2891.825,2920.852,2898.427,2838.816,2849.1544285714285,2879.517,2759.67,2848.729038961039,2848.6999740328165
00:45:00,2750.89,2737.214,2783.716,2836.095,2846.574,2857.335,2793.413,2800.748142857143,2793.413,2750.89,2791.6408311688315,2791.658778160886
01:00:00,2669.354,2692.779,2759.737,2847.284,2785.212,2789.281,2746.059,2755.672285714286,2759.737,2669.354,2753.276128571429,2753.260030187112
01:15:00,2653.601,2655.751,2754.753,2772.63,2733.211,2743.406,2744.491,2722.549,2743.406,2653.601,2738.6062727272724,2738.3983449279654
01:30:00,2663.601,2606.244,2688.733,2816.053,2713.9,2712.718,2675.933,2696.7402857142856,2688.733,2663.601,2683.304607142857,2683.3425229641043
01:45:00,2597.419,2620.726,2682.567,2760.625,2665.519,2732.918,2614.098,2667.696,2665.519,2597.419,2656.5328,2656.5519607635715
02:00:00,2594.518,2569.105,2642.516,2760.94,2663.367,2657.161,2620.503,2644.0157142857142,2642.516,2594.518,2642.0782714285715,2642.037142238574
02:15:00,2550.178,2541.046,2595.458,2692.662,2627.343,2632.814,2532.509,2596.0014285714287,2595.458,2550.178,2606.651766233766,2606.4897868729004
02:30:00,2503.849,2573.741,2604.544,2720.12,2617.653,2620.842,2548.428,2598.4538571428575,2604.544,2503.849,2587.594450549451,2587.6005236082283
02:45:00,2475.556,2508.198,2555.883,2630.183,2553.381,2572.458,2496.059,2541.674,2553.381,2475.556,2549.3364285714283,2549.3426774420295
03:00:00,2442.423,2480.911,2542.446,2634.527,2582.447,2550.73,2460.517,2527.7144285714285,2542.446,2442.423,2519.714675324675,2519.709513637208
03:15:00,2470.963,2488.546,2524.779,2611.851,2542.077,2529.33,2419.504,2512.4357142857143,2524.779,2470.963,2514.7708714285714,2514.8006709583283
03:30:00,2421.411,2441.406,2524.923,2594.51,2518.14,2532.502,2424.427,2493.9027142857144,2518.14,2421.411,2514.7708714285714,2511.912495703218
03:45:00,2453.423,2431.521,2507.502,2574.529,2513.105,2472.957,2376.115,2475.593142857143,2472.957,2453.423,2514.7708714285714,2512.6356294790476
04:00:00,2458.531,2417.303,2492.22,2575.217,2498.4,2475.52,2370.941,2469.733142857143,2475.52,2458.531,2515.088071428572,2511.69234262592
04:15:00,2403.778,2398.125,2503.855,2565.993,2530.533,2441.936,2378.578,2460.3997142857143,2441.936,2403.778,2475.491188571429,2475.25146360924
04:30:00,2404.083,2407.502,2485.738,2555.241,2499.304,2467.52,2334.579,2450.566714285714,2467.52,2404.083,2423.166532818533,2422.4049492116324
04:45:00,2481.707,2439.641,2565.728,2642.123,2541.761,2484.99,2372.621,2504.0815714285714,2484.99,2481.707,2492.1521571428566,2492.1937516285498
05:00:00,2447.454,2439.85,2512.19,2635.095,2564.157,2483.24,2395.87,2496.8365714285715,2483.24,2447.454,2494.0632571428573,2493.5804164294145
05:15:00,2403.976,2408.117,2532.802,2628.625,2564.407,2459.292,2376.637,2481.9794285714283,2459.292,2403.976,2494.0632571428573,2493.5092758027195
05:30:00,2396.312,2412.01,2553.605,2676.827,2643.632,2456.831,2388.026,2503.8918571428576,2456.831,2396.312,2492.577542857143,2493.5853872547596
05:45:00,2409.183,2429.443,2583.847,2702.58,2698.697,2481.958,2417.299,2531.858142857143,2481.958,2409.183,2494.768785714286,2492.2910084528867
06:00:00,2447.342,2490.844,2617.328,2828.684,2759.879,2444.094,2467.843,2579.430571428572,2490.844,2447.342,2513.0862976190474,2511.8166092225265
06:15:00,2441.389,2429.476,2624.583,2807.082,2757.302,2460.051,2387.397,2558.182857142857,2460.051,2441.389,2496.3979285714286,2494.7754528958753
06:30:00,2267.363,2352.461,2654.902,2829.832,2832.409,2333.69,2295.103,2509.3942857142856,2352.461,2267.363,2444.137464285714,2445.025586106254
06:45:00,2189.509,2236.493,2630.263,2810.888,2782.002,2288.89,2201.834,2448.554142857143,2288.89,2189.509,2283.7686132404183,2284.6815722112133
07:00:00,2154.269,2161.819,2704.34,2808.231,2802.24,2325.804,2191.147,2449.692857142857,2325.804,2154.269,2438.6849047619053,2441.4128284976064
07:15:00,2206.907,2195.268,2692.639,2832.148,2864.378,2328.609,2155.621,2467.9385714285713,2328.609,2206.907,2470.7407571428575,2470.537709429917
07:30:00,2203.933,2234.537,2742.526,2803.639,2857.44,2436.451,2234.37,2501.8422857142855,2436.451,2203.933,2477.394728571429,2477.348776440549
07:45:00,2260.993,2314.127,2786.177,2865.707,2842.967,2546.72,2340.707,2565.342571428572,2546.72,2260.993,2546.3657857142857,2546.488695395919
08:00:00,2307.241,2407.011,2865.508,2978.328,2829.259,2627.426,2329.732,2620.6435714285712,2627.426,2307.241,2588.2177047619048,2586.453477471606
