modified_index,P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,3071.832,2877.704,3014.638,2947.298,2973.446,3029.978,3082.161,2951.033,2840.51,2658.008,2889.853,2722.92,2965.012,2889.863,2945.472,2780.089,2986.427,2734.038,2972.369,2953.527,2817.458,2906.976,2834.559,2937.742,2946.704,2889.45,2871.87,2135.992,2879.5331785714284,2922.3590000000004,3071.832,2894.9392811224493,2875.2411646622872
00:15:00,2978.16,2837.915,2927.678,2902.763,2887.63,3002.107,3002.023,2902.292,2765.533,2634.021,2826.231,2713.214,2972.911,2831.269,2861.467,2731.487,2864.429,2704.312,2974.052,2907.961,2772.178,2888.302,2783.538,2893.417,2881.016,2828.365,2871.052,2109.343,2830.523785714286,2867.7405,2978.16,2768.5747971230157,2725.493220782627
00:30:00,2933.031,2818.541,2821.222,2784.637,2817.67,2967.794,2980.23,2857.068,2684.652,2582.411,2819.613,2673.573,2885.05,2741.191,2807.175,2680.746,2842.794,2619.314,2871.585,2852.779,2743.66,2839.926,2758.673,2842.143,2753.968,2749.29,2830.066,2046.676,2771.6242142857145,2818.1055,2933.031,2686.270119272237,2621.050849314973
00:45:00,2878.928,2734.48,2781.378,2808.9,2796.38,2906.573,2915.397,2797.825,2629.461,2531.903,2734.671,2650.744,2818.93,2737.191,2778.808,2625.071,2788.536,2602.941,2864.257,2818.615,2688.913,2819.625,2694.599,2787.89,2754.238,2759.222,2803.24,2045.269,2734.070892857143,2780.093,2878.928,2627.7045813953487,2560.0156575655847
01:00:00,2881.163,2739.832,2710.183,2751.774,2775.842,2857.319,2874.862,2741.989,2614.501,2518.444,2710.816,2587.968,2769.048,2708.741,2733.635,2572.112,2749.343,2579.849,2807.604,2764.06,2662.474,2773.748,2731.657,2707.391,2734.984,2676.373,2089.566,1999.159,2672.301321428572,2732.646,2881.163,2594.085073376623,2527.1396994160523
01:15:00,2822.474,2697.18,2702.99,2720.948,2715.308,2803.667,2822.138,2715.699,2553.239,2450.556,2645.12,2589.223,2718.885,2715.091,2751.574,2554.597,2663.214,2520.714,2766.959,2782.08,2630.625,2714.909,2673.037,2711.63,2670.682,2690.353,1943.733,1970.389,2632.7504999999996,2700.085,2822.474,2551.1688632653063,2505.8613927992674
01:30:00,2808.764,2708.332,2632.858,2687.773,2692.112,2830.133,2813.431,2647.099,2531.918,2427.04,2588.152,2569.223,2650.411,2711.502,2685.623,2506.229,2659.453,2521.857,2700.929,2694.056,2586.702,2667.18,2653.582,2645.472,2669.532,2592.028,1931.279,1947.837,2598.5895357142863,2651.9965,2808.764,2531.8338951612905,2504.2628874353422
01:45:00,2750.186,2651.206,2606.823,2631.081,2596.159,2782.094,2741.184,2655.711,2474.796,2385.948,2583.618,2556.903,2583.229,2625.723,2705.851,2486.056,2653.419,2461.354,2712.244,2622.977,2556.267,2637.183,2603.466,2597.782,2611.48,2569.865,1920.736,1939.401,2560.812214285714,2605.1445,2750.186,2532.9584435483875,2505.70591825255
02:00:00,2722.716,2640.961,2600.246,2596.491,2644.549,2768.639,2690.642,2632.214,2474.558,2359.361,2544.553,2534.152,2619.397,2595.004,2650.358,2450.052,2620.427,2478.847,2643.831,2618.307,2589.204,2613.392,2613.618,2606.684,2595.241,2526.556,1890.476,1900.359,2543.60125,2603.465,2722.716,2537.594508064517,2492.1852996716675
02:15:00,2692.928,2599.661,2539.589,2563.827,2591.932,2751.762,2639.251,2568.089,2467.585,2340.419,2515.422,2533.377,2548.986,2545.858,2630.601,2402.022,2608.32,2448.672,2637.679,2544.276,2502.135,2541.937,2556.337,2604.212,2573.588,2523.104,1836.164,1836.211,2505.1408571428574,2547.422,2692.928,2505.695155052265,2486.887292436552
