Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Euclidean Barycenter
376.136,360.229,423.753,358.349,368.057,320.969,402.802,414.236,336.322,213.019,310.246,265.306,370.513,259.804,283.78,294.48,343.057,295.546,379.116,367.13,294.121,276.263,291.43,274.091,307.063,310.046,287.7,99.186,317.2410714285715
363.539,365.572,400.81,382.652,346.004,321.771,370.39,403.842,319.533,232.142,289.811,274.966,383.284,281.088,267.731,291.091,300.703,295.879,403.666,353.989,301.512,312.537,278.137,281.022,308.046,318.931,298.649,96.046,315.83367857142855
369.119,378.224,348.462,337.533,322.387,304.677,357.739,407.159,298.447,219.884,303.882,273.35,344.769,246.048,260.517,305.883,323.869,273.066,358.517,339.713,281.352,319.809,313.667,269.383,268.849,310.092,307.946,75.468,304.27896428571427
345.866,345.822,373.754,369.346,321.478,293.27,342.494,404.653,284.166,213.008,268.466,280.223,353.804,276.529,259.089,293.016,325.593,264.727,383.649,341.296,270.501,312.991,276.616,291.538,288.056,335.069,333.644,78.414,304.5385
383.926,385.343,344.136,337.277,317.654,291.497,353.34,406.511,297.29,228.968,282.676,246.071,382.472,264.892,241.862,274.941,332.41,281.481,371.958,318.364,287.377,319.946,310.257,257.719,269.592,308.704,75.73,67.282,294.27414285714275
362.679,369.506,363.053,338.543,305.708,270.879,335.564,413.791,292.709,195.0,268.812,267.572,376.252,267.37,274.08,296.697,290.918,259.4,379.46,330.984,285.564,307.224,284.074,288.004,268.696,332.19,49.553,78.347,291.1653214285714
380.188,380.253,342.942,362.459,317.671,313.218,376.569,399.723,301.698,202.031,260.098,243.728,366.053,284.557,239.081,282.09,299.987,296.923,359.853,304.717,277.817,299.717,324.908,252.759,275.641,292.864,59.142,73.837,291.80442857142856
367.919,356.282,335.671,345.997,266.113,298.518,343.699,421.588,260.52,200.89,282.478,262.263,344.407,239.073,267.46,288.461,321.38,277.509,383.59,287.457,264.692,296.766,304.221,242.297,261.774,303.578,66.271,79.864,284.6692142857143
354.658,366.736,340.802,343.786,311.42,289.744,331.451,423.75,282.921,185.952,264.103,242.697,364.894,266.73,249.633,273.62,311.61,293.792,350.289,316.393,298.842,304.621,322.236,252.671,260.123,288.992,54.577,83.269,286.79685714285716
358.254,340.902,312.423,344.247,278.796,290.373,315.417,397.619,287.39,196.68,264.927,250.134,326.688,260.786,236.381,269.671,310.527,270.673,377.557,284.009,245.912,282.559,298.638,256.977,261.771,301.039,28.173,37.791,274.5112142857143
351.967,357.597,326.318,322.284,282.963,282.693,333.512,371.424,267.487,184.042,252.52,221.189,314.119,260.926,231.672,273.058,295.357,272.279,327.453,314.744,274.776,283.443,302.487,236.497,236.151,284.693,52.406,55.948,270.3573214285714
340.306,335.36,324.194,345.664,274.353,287.81,335.866,379.549,262.553,196.209,214.39,259.159,327.011,237.047,236.456,272.02,287.712,290.221,372.768,272.388,275.616,280.584,308.011,252.079,223.472,282.693,20.133,77.162,270.38521428571426
318.626,357.971,330.798,322.191,291.778,279.033,330.876,381.841,264.761,190.151,234.417,222.316,298.964,220.13,211.868,254.746,264.937,251.132,342.413,292.693,253.712,271.769,259.14,227.524,239.96,312.698,37.559,59.701,261.5608928571429
335.822,329.702,345.998,316.718,289.956,274.903,318.433,347.24,272.723,185.591,232.27,262.387,267.12,249.848,220.584,255.678,286.417,278.756,311.478,275.467,284.204,284.98,301.212,272.609,252.337,287.416,11.87,58.692,264.6575357142857
298.176,356.009,323.554,348.408,256.286,271.586,322.093,350.943,260.942,193.49,202.656,246.989,275.05,221.31,259.617,255.961,257.3,264.156,259.899,279.18,257.912,259.268,265.813,235.737,248.086,290.51,40.033,43.584,255.16242857142865
294.69,324.871,327.497,302.777,275.87,270.833,333.076,372.742,257.094,178.461,233.519,261.538,279.902,234.18,216.184,256.326,284.59,260.702,249.403,310.016,275.383,274.197,279.216,251.7,261.661,257.042,12.008,61.359,257.0298928571429
