modified_index,P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,3071.832,2877.704,3014.638,2947.298,2973.446,3029.978,3082.161,2951.033,2840.51,2658.008,2889.853,2722.92,2965.012,2889.863,2945.472,2780.089,2986.427,2734.038,2972.369,2953.527,2817.458,2906.976,2834.559,2937.742,2946.704,2889.45,2871.87,2135.992,2107.692,2094.827,2157.867,2206.855,2268.783,2791.024,2865.057,2854.46,2911.338,2951.861,2963.628,3000.651,2964.46,2938.459,3029.604,2986.669,3109.663,3066.046,3001.912,3083.896,2999.082,2836.3421020408164,2938.459,3071.832,2849.9070343228195,2839.199629572085
00:15:00,2978.16,2837.915,2927.678,2902.763,2887.63,3002.107,3002.023,2902.292,2765.533,2634.021,2826.231,2713.214,2972.911,2831.269,2861.467,2731.487,2864.429,2704.312,2974.052,2907.961,2772.178,2888.302,2783.538,2893.417,2881.016,2828.365,2871.052,2109.343,2075.762,2096.814,2064.249,2112.81,2224.854,2765.873,2796.558,2790.388,2792.807,2894.348,2912.207,2964.41,2905.879,2900.575,2932.351,2948.981,3051.881,3013.143,2927.982,3008.712,2942.221,2783.2136938775516,2881.016,2978.16,2665.6564190816325,2641.6453589525936
00:30:00,2933.031,2818.541,2821.222,2784.637,2817.67,2967.794,2980.23,2857.068,2684.652,2582.411,2819.613,2673.573,2885.05,2741.191,2807.175,2680.746,2842.794,2619.314,2871.585,2852.779,2743.66,2839.926,2758.673,2842.143,2753.968,2749.29,2830.066,2046.676,2043.2,1985.747,2033.866,2091.556,2201.484,2738.946,2777.962,2759.67,2754.974,2879.517,2891.825,2920.852,2898.427,2838.816,2875.747,2871.312,3007.032,2952.263,2889.92,2962.283,2950.568,2733.2947959183675,2819.613,2933.031,2553.388616921769,2526.2784514640057
00:45:00,2878.928,2734.48,2781.378,2808.9,2796.38,2906.573,2915.397,2797.825,2629.461,2531.903,2734.671,2650.744,2818.93,2737.191,2778.808,2625.071,2788.536,2602.941,2864.257,2818.615,2688.913,2819.625,2694.599,2787.89,2754.238,2759.222,2803.24,2045.269,1985.963,1948.77,1990.081,2056.3,2111.892,2683.143,2734.743,2750.89,2737.214,2783.716,2836.095,2846.574,2857.335,2793.413,2813.213,2836.349,2948.983,2865.556,2780.83,2900.605,2899.392,2688.062081632653,2781.378,2878.928,2477.924649778793,2452.792212320329
01:00:00,2881.163,2739.832,2710.183,2751.774,2775.842,2857.319,2874.862,2741.989,2614.501,2518.444,2710.816,2587.968,2769.048,2708.741,2733.635,2572.112,2749.343,2579.849,2807.604,2764.06,2662.474,2773.748,2731.657,2707.391,2734.984,2676.373,2089.566,1999.159,1966.287,1947.957,1943.961,2012.08,2109.108,2644.569,2727.512,2669.354,2692.779,2759.737,2847.284,2785.212,2789.281,2746.059,2808.662,2733.304,2929.066,2835.484,2720.138,2835.871,2859.473,2636.4819387755106,2733.304,2881.163,2425.7565716578765,2398.931923160944
01:15:00,2822.474,2697.18,2702.99,2720.948,2715.308,2803.667,2822.138,2715.699,2553.239,2450.556,2645.12,2589.223,2718.885,2715.091,2751.574,2554.597,2663.214,2520.714,2766.959,2782.08,2630.625,2714.909,2673.037,2711.63,2670.682,2690.353,1943.733,1970.389,1952.162,1888.497,1912.977,1979.622,2039.422,2601.137,2656.98,2653.601,2655.751,2754.753,2772.63,2733.211,2743.406,2744.491,2741.673,2723.665,2831.27,2791.589,2693.203,2794.306,2789.577,2595.325244897959,2702.99,2822.474,2406.516430926216,2406.9045015910933
01:30:00,2808.764,2708.332,2632.858,2687.773,2692.112,2830.133,2813.431,2647.099,2531.918,2427.04,2588.152,2569.223,2650.411,2711.502,2685.623,2506.229,2659.453,2521.857,2700.929,2694.056,2586.702,2667.18,2653.582,2645.472,2669.532,2592.028,1931.279,1947.837,1899.429,1879.481,1899.382,1965.143,2063.657,2608.635,2675.82,2663.601,2606.244,2688.733,2816.053,2713.9,2712.718,2675.933,2719.569,2705.885,2823.585,2752.498,2664.684,2785.911,2770.706,2568.409673469388,2664.684,2808.764,2406.638738618524,2405.7319599651805
01:45:00,2750.186,2651.206,2606.823,2631.081,2596.159,2782.094,2741.184,2655.711,2474.796,2385.948,2583.618,2556.903,2583.229,2625.723,2705.851,2486.056,2653.419,2461.354,2712.244,2622.977,2556.267,2637.183,2603.466,2597.782,2611.48,2569.865,1920.736,1939.401,1899.159,1853.609,1899.148,1949.907,2011.487,2573.488,2667.817,2597.419,2620.726,2682.567,2760.625,2665.519,2732.918,2614.098,2656.052,2648.007,2794.27,2706.253,2638.2,2685.471,2704.477,2531.9175306122443,2620.726,2750.186,2406.8806424646777,2406.038657892886
02:00:00,2722.716,2640.961,2600.246,2596.491,2644.549,2768.639,2690.642,2632.214,2474.558,2359.361,2544.553,2534.152,2619.397,2595.004,2650.358,2450.052,2620.427,2478.847,2643.831,2618.307,2589.204,2613.392,2613.618,2606.684,2595.241,2526.556,1890.476,1900.359,1836.406,1854.259,1855.916,1942.201,1992.707,2528.732,2661.832,2594.518,2569.105,2642.516,2760.94,2663.367,2657.161,2620.503,2601.933,2641.56,2744.243,2654.142,2597.982,2659.849,2663.564,2509.4749183673466,2606.684,2722.716,2406.8806424646777,2408.7597803373596
02:15:00,2692.928,2599.661,2539.589,2563.827,2591.932,2751.762,2639.251,2568.089,2467.585,2340.419,2515.422,2533.377,2548.986,2545.858,2630.601,2402.022,2608.32,2448.672,2637.679,2544.276,2502.135,2541.937,2556.337,2604.212,2573.588,2523.104,1836.164,1836.211,1835.634,1791.224,1821.433,1891.75,1969.247,2494.367,2603.74,2550.178,2541.046,2595.458,2692.662,2627.343,2632.814,2532.509,2608.375,2639.117,2713.595,2591.001,2591.175,2645.64,2637.843,2472.450918367347,2556.337,2692.928,2406.8806424646777,2406.083671664035
