modified_index,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN,Euclidean Barycenter
00:00:00,376.136,360.229,423.753,358.349,368.057,320.969,402.802,414.236,336.322,213.019,310.246,265.306,370.513,259.804,283.78,294.48,343.057,295.546,379.116,367.13,294.121,276.263,291.43,274.091,307.063,310.046,287.7,99.186,55.522,62.713,101.63,124.527,161.916,215.466,290.539,345.427,406.542,385.298,294.87,391.031,362.889,318.743,415.114,383.309,396.148,380.976,352.363,358.689,369.659,307.2677755102041
00:15:00,363.539,365.572,400.81,382.652,346.004,321.771,370.39,403.842,319.533,232.142,289.811,274.966,383.284,281.088,267.731,291.091,300.703,295.879,403.666,353.989,301.512,312.537,278.137,281.022,308.046,318.931,298.649,96.046,61.202,83.801,71.474,100.392,154.144,219.924,277.741,348.403,348.112,371.004,276.476,382.49,343.098,336.461,379.622,366.882,394.041,384.403,339.913,366.534,358.853,302.21046938775504
00:30:00,369.119,378.224,348.462,337.533,322.387,304.677,357.739,407.159,298.447,219.884,303.882,273.35,344.769,246.048,260.517,305.883,323.869,273.066,358.517,339.713,281.352,319.809,313.667,269.383,268.849,310.092,307.946,75.468,87.114,57.18,76.4,114.68,159.482,219.379,287.837,343.942,358.192,415.49,295.806,384.614,363.977,322.653,375.957,346.831,400.063,382.793,349.722,402.498,382.409,298.9148979591837
00:45:00,345.866,345.822,373.754,369.346,321.478,293.27,342.494,404.653,284.166,213.008,268.466,280.223,353.804,276.529,259.089,293.016,325.593,264.727,383.649,341.296,270.501,312.991,276.616,291.538,288.056,335.069,333.644,78.414,49.554,57.759,74.531,114.067,113.132,216.358,273.367,366.96,361.097,384.487,286.181,376.533,351.859,306.012,355.807,356.157,383.512,361.019,297.413,381.737,360.511,292.9618571428571
01:00:00,383.926,385.343,344.136,337.277,317.654,291.497,353.34,406.511,297.29,228.968,282.676,246.071,382.472,264.892,241.862,274.941,332.41,281.481,371.958,318.364,287.377,319.946,310.257,257.719,269.592,308.704,75.73,67.282,62.812,90.412,65.778,116.316,150.919,209.969,285.334,321.329,352.522,375.403,322.6,379.919,336.741,304.191,387.342,328.819,392.44,361.356,301.076,363.024,362.006,287.95885714285714
01:15:00,362.679,369.506,363.053,338.543,305.708,270.879,335.564,413.791,292.709,195.0,268.812,267.572,376.252,267.37,274.08,296.697,290.918,259.4,379.46,330.984,285.564,307.224,284.074,288.004,268.696,332.19,49.553,78.347,62.334,55.994,49.981,91.824,112.436,203.234,258.52,326.96,340.594,392.902,277.667,337.172,320.867,343.007,357.213,331.653,361.361,323.61,305.348,374.261,325.361,279.6924081632653
01:30:00,380.188,380.253,342.942,362.459,317.671,313.218,376.569,399.723,301.698,202.031,260.098,243.728,366.053,284.557,239.081,282.09,299.987,296.923,359.853,304.717,277.817,299.717,324.908,252.759,275.641,292.864,59.142,73.837,43.099,61.92,46.291,99.951,140.396,208.82,287.932,362.629,330.501,359.181,313.073,336.464,316.319,310.16,367.791,336.502,378.723,324.57,296.404,383.736,352.372,282.19097959183676
01:45:00,367.919,356.282,335.671,345.997,266.113,298.518,343.699,421.588,260.52,200.89,282.478,262.263,344.407,239.073,267.46,288.461,321.38,277.509,383.59,287.457,264.692,296.766,304.221,242.297,261.774,303.578,66.271,79.864,68.153,55.971,68.552,103.358,117.304,207.852,298.258,332.677,363.58,386.988,309.761,325.88,342.301,312.677,315.646,308.811,370.851,309.428,301.342,290.278,332.6,275.3674693877551
02:00:00,354.658,366.736,340.802,343.786,311.42,289.744,331.451,423.75,282.921,185.952,264.103,242.697,364.894,266.73,249.633,273.62,311.61,293.792,350.289,316.393,298.842,304.621,322.236,252.671,260.123,288.992,54.577,83.269,39.647,64.696,46.322,100.71,124.968,202.528,294.179,336.786,324.359,372.834,326.138,338.396,301.807,302.993,299.08,314.333,352.264,296.956,288.642,295.75,321.617,272.9656530612246
02:15:00,358.254,340.902,312.423,344.247,278.796,290.373,315.417,397.619,287.39,196.68,264.927,250.134,326.688,260.786,236.381,269.671,310.527,270.673,377.557,284.009,245.912,282.559,298.638,256.977,261.771,301.039,28.173,37.791,41.431,30.388,28.826,75.137,108.956,193.886,271.728,321.89,329.291,350.741,279.871,320.913,274.007,243.35,318.818,326.292,345.554,288.006,288.434,299.157,319.688,260.05465306122437
02:30:00,351.967,357.597,326.318,322.284,282.963,282.693,333.512,371.424,267.487,184.042,252.52,221.189,314.119,260.926,231.672,273.058,295.357,272.279,327.453,314.744,274.776,283.443,302.487,236.497,236.151,284.693,52.406,55.948,31.421,46.432,27.739,100.496,105.276,193.839,271.802,316.031,349.33,372.079,310.401,331.882,289.81,258.801,303.069,335.184,315.652,288.808,258.871,293.209,310.11,258.7805510204081
02:45:00,340.306,335.36,324.194,345.664,274.353,287.81,335.866,379.549,262.553,196.209,214.39,259.159,327.011,237.047,236.456,272.02,287.712,290.221,372.768,272.388,275.616,280.584,308.011,252.079,223.472,282.693,20.133,77.162,42.726,34.212,62.308,68.513,88.131,185.369,286.502,306.957,311.698,342.471,262.559,288.001,272.949,212.431,300.671,295.271,338.702,285.553,290.474,285.243,327.467,254.2651836734694
03:00:00,318.626,357.971,330.798,322.191,291.778,279.033,330.876,381.841,264.761,190.151,234.417,222.316,298.964,220.13,211.868,254.746,264.937,251.132,342.413,292.693,253.712,271.769,259.14,227.524,239.96,312.698,37.559,59.701,20.984,34.431,27.366,66.023,117.393,195.358,272.819,318.556,315.428,366.456,275.868,323.472,276.766,230.147,307.291,297.251,339.211,301.778,262.956,286.983,321.856,250.65506122448983
03:15:00,335.822,329.702,345.998,316.718,289.956,274.903,318.433,347.24,272.723,185.591,232.27,262.387,267.12,249.848,220.584,255.678,286.417,278.756,311.478,275.467,284.204,284.98,301.212,272.609,252.337,287.416,11.87,58.692,51.056,6.862,45.498,91.198,72.452,183.359,310.083,342.463,332.609,338.704,283.873,304.297,284.517,237.607,281.422,302.828,324.694,276.653,279.266,288.721,271.787,251.43591836734691
03:30:00,298.176,356.009,323.554,348.408,256.286,271.586,322.093,350.943,260.942,193.49,202.656,246.989,275.05,221.31,259.617,255.961,257.3,264.156,259.899,279.18,257.912,259.268,265.813,235.737,248.086,290.51,40.033,43.584,19.249,-3.587,21.616,50.071,104.128,191.251,270.148,305.512,323.088,354.75,285.897,294.564,297.586,252.219,286.014,287.769,315.37,283.06,262.523,273.407,276.859,242.77636734693877
03:45:00,294.69,324.871,327.497,302.777,275.87,270.833,333.076,372.742,257.094,178.461,233.519,261.538,279.902,234.18,216.184,256.326,284.59,260.702,249.403,310.016,275.383,274.197,279.216,251.7,261.661,257.042,12.008,61.359,12.142,18.323,53.654,60.612,83.303,184.467,281.418,338.856,326.794,358.686,279.612,285.846,271.261,218.467,276.164,313.388,321.43,302.968,282.678,289.544,251.436,245.05889795918372
04:00:00,308.699,327.216,325.122,314.197,270.551,260.89,308.189,353.646,269.126,193.731,225.864,229.532,265.729,253.536,236.447,274.218,260.487,262.872,245.749,273.444,237.957,266.936,270.188,255.886,223.626,303.489,27.426,32.648,31.416,-1.161,5.988,77.126,125.048,195.043,273.809,362.861,320.938,343.329,290.443,276.504,278.657,235.271,291.912,314.746,334.547,280.028,269.618,267.951,267.101,243.23624489795924
04:15:00,283.107,322.344,326.966,313.779,279.318,265.58,343.747,351.802,262.363,148.45,210.461,230.35,268.472,228.302,249.407,233.12,280.33,254.924,258.676,286.846,260.694,242.506,290.897,237.39,268.261,264.471,20.892,52.474,23.176,25.24,17.504,55.592,89.273,194.186,293.744,336.867,324.609,361.872,284.29,317.113,260.858,253.209,280.777,356.548,325.672,272.38,291.519,287.087,261.287,243.8516734693878
04:30:00,300.828,341.478,338.898,346.88,292.729,278.132,306.853,342.093,276.03,183.841,222.249,272.982,257.342,226.41,256.04,260.427,297.536,277.09,279.032,293.012,223.987,276.648,264.532,232.61,232.363,288.058,29.58,61.761,18.891,10.456,25.36,69.616,118.136,181.131,289.784,336.516,324.693,346.444,287.67,290.894,274.117,220.71,301.183,332.991,329.491,287.703,309.711,240.148,238.991,246.81748979591828
04:45:00,326.872,349.184,317.379,311.754,258.821,254.757,322.659,378.52,225.25,170.962,219.733,234.376,255.719,210.097,253.162,267.9,278.931,225.363,228.932,276.41,243.71,256.909,253.374,246.998,253.343,291.886,30.73,42.534,24.066,25.068,19.113,65.319,83.656,184.662,298.751,327.643,307.296,356.116,295.504,283.979,256.241,233.249,326.85,343.312,314.027,273.647,266.551,284.396,252.033,240.97436734693878
