Q-JW1-FRI,Q-JW2-FRI,Q-JW3-FRI,Q-JW4-FRI,F-JW1-FRI,F-JW2-FRI,F-JW3-FRI,Euclidean Barycenter
368.057,265.306,379.116,310.046,161.916,391.031,352.363,318.26214285714286
346.004,274.966,403.666,318.931,154.144,382.49,339.913,317.15914285714285
322.387,273.35,358.517,310.092,159.482,384.614,349.722,308.30914285714283
321.478,280.223,383.649,335.069,113.132,376.533,297.413,301.071
317.654,246.071,371.958,308.704,150.919,379.919,301.076,296.61442857142856
305.708,267.572,379.46,332.19,112.436,337.172,305.348,291.4122857142857
317.671,243.728,359.853,292.864,140.396,336.464,296.404,283.91142857142853
266.113,262.263,383.59,303.578,117.304,325.88,301.342,280.01000000000005
311.42,242.697,350.289,288.992,124.968,338.396,288.642,277.91485714285716
278.796,250.134,377.557,301.039,108.956,320.913,288.434,275.1184285714285
282.963,221.189,327.453,284.693,105.276,331.882,258.871,258.9038571428572
274.353,259.159,372.768,282.693,88.131,288.001,290.474,265.0827142857143
291.778,222.316,342.413,312.698,117.393,323.472,262.956,267.57514285714285
289.956,262.387,311.478,287.416,72.452,304.297,279.266,258.17885714285717
256.286,246.989,259.899,290.51,104.128,294.564,262.523,244.9855714285714
275.87,261.538,249.403,257.042,83.303,285.846,282.678,242.23999999999998
270.551,229.532,245.749,303.489,125.048,276.504,269.618,245.78442857142858
279.318,230.35,258.676,264.471,89.273,317.113,291.519,247.24571428571429
292.729,272.982,279.032,288.058,118.136,290.894,309.711,264.506
258.821,234.376,228.932,291.886,83.656,283.979,266.551,235.45728571428572
254.769,259.351,237.017,265.508,109.677,284.138,269.132,239.94171428571426
262.334,230.152,251.842,268.948,45.006,264.671,249.289,224.606
283.35,233.593,261.572,269.5,74.671,283.163,251.584,236.77614285714284
248.3,213.63,252.743,307.598,53.0,298.321,276.146,235.67685714285716
251.963,240.114,268.144,247.022,98.133,323.742,263.961,241.86842857142855
295.419,240.93,265.522,266.587,75.617,291.301,282.248,245.3748571428571
229.744,200.913,196.23,214.432,68.75,286.808,230.5,203.911
254.426,224.533,185.412,201.326,56.198,281.95,238.647,206.07028571428572
229.941,225.336,198.184,213.257,99.341,284.776,236.228,212.43757142857143
245.592,241.333,265.887,261.957,67.378,310.978,289.428,240.36471428571426
369.764,307.943,274.436,289.311,106.438,310.433,277.556,276.55442857142856
445.58,323.316,323.33,277.652,103.807,303.431,330.512,301.0897142857143
495.314,341.56,390.786,408.654,69.064,318.418,384.547,344.04900000000004
580.063,380.001,471.427,523.278,144.61,408.749,447.274,422.20028571428566
606.121,367.114,504.182,540.804,158.334,488.429,497.839,451.83185714285713
594.996,380.294,532.061,546.053,150.924,547.196,533.612,469.30514285714287
634.836,452.067,538.067,569.961,172.26,560.416,535.107,494.6734285714286
652.961,515.94,533.98,565.018,184.618,547.653,588.088,512.6082857142857
686.837,513.1,574.704,576.494,205.756,533.394,579.193,524.2111428571428
687.274,536.087,598.363,551.207,207.231,573.097,569.152,531.773
668.847,542.854,597.979,558.616,215.486,572.63,599.723,536.5907142857143
682.704,533.138,608.634,544.066,196.799,590.874,609.819,538.0048571428572
701.777,548.151,604.106,597.474,192.274,593.818,616.367,550.5667142857143
710.23,526.472,563.558,585.644,216.322,584.156,612.008,542.6271428571429
731.019,540.586,584.256,609.252,216.027,605.388,624.617,558.7349999999999
732.444,546.713,584.634,620.296,225.494,639.606,645.788,570.7107142857143
742.487,545.742,623.797,617.034,200.501,704.492,645.251,582.7577142857143
747.55,539.87,652.202,596.961,181.132,710.958,649.782,582.6364285714286
715.969,550.512,644.366,577.847,31.946,693.794,643.306,551.1057142857143
738.833,547.434,609.361,589.976,15.194,614.712,602.582,531.156
739.4,551.074,586.117,587.339,11.706,649.943,589.714,530.7561428571428
706.558,549.97,563.184,598.648,0.478,658.081,574.237,521.5937142857143
721.234,550.08,599.066,567.098,-12.607,649.226,613.786,526.8404285714286
732.383,565.858,601.134,566.074,-25.618,655.161,606.56,528.7931428571429
743.244,549.536,614.764,570.576,-23.793,636.873,596.79,526.8557142857143
751.634,570.728,611.463,597.142,-11.05,657.797,622.644,542.9082857142857
771.711,560.598,632.472,605.097,2.812,661.356,612.138,549.454857142857
748.266,542.58,639.859,604.919,4.786,698.21,590.287,546.9867142857144
747.311,552.891,665.196,595.276,-2.718,687.126,601.704,549.5408571428571
713.549,548.236,663.84,593.876,-5.167,679.386,636.474,547.1705714285715
734.021,576.734,646.269,601.236,-18.66,683.037,651.852,553.4984285714287
713.16,556.061,647.514,629.448,-22.343,676.731,640.173,548.6777142857143
733.652,557.957,624.543,609.548,-28.358,652.758,630.251,540.0501428571428
738.717,531.617,623.628,612.22,-26.507,625.546,636.117,534.476857142857
747.658,534.109,607.818,591.42,-15.612,640.427,614.712,531.5045714285715
737.911,512.774,597.894,590.288,-58.542,636.103,611.322,518.2500000000001
736.126,490.887,575.257,592.806,-66.841,557.151,545.741,490.161
654.056,487.054,567.166,577.071,-68.369,478.229,420.813,445.1457142857143
520.914,443.558,521.14,521.362,-50.357,485.944,406.398,406.9941428571429
504.503,446.329,508.447,474.252,-58.294,415.688,397.294,384.0312857142857
506.167,438.378,495.88,489.251,-69.391,407.562,406.741,382.08399999999995
450.518,385.001,440.82,465.658,71.348,374.701,375.186,366.176
452.334,376.624,368.313,454.019,150.687,369.631,395.409,366.7167142857143
464.17,396.513,397.911,465.683,149.504,370.051,396.144,377.13942857142854
498.58,441.726,438.113,476.973,206.427,424.141,406.934,413.2705714285715
478.33,424.686,410.583,483.703,241.363,455.476,456.856,421.571
461.878,428.996,397.551,484.209,222.558,432.439,471.973,414.22914285714285
465.869,406.118,385.249,474.339,217.927,437.733,456.621,406.2651428571429
462.058,411.612,388.304,482.761,212.513,435.753,462.547,407.9354285714286
474.852,420.731,383.411,470.348,221.603,453.904,463.186,412.5764285714286
461.609,400.376,382.046,446.836,212.839,422.85,463.357,398.559
472.153,391.654,359.961,389.322,197.924,433.16,456.623,385.82814285714284
475.778,428.043,371.513,379.533,205.166,438.787,465.512,394.9045714285715
485.12,398.321,399.399,408.941,203.0,466.727,441.857,400.4807142857143
469.983,418.827,400.754,390.682,211.202,423.692,405.484,388.6605714285714
458.861,358.381,426.787,429.071,211.713,414.373,451.129,392.9021428571428
501.392,387.532,422.254,453.899,216.189,440.509,454.087,410.8374285714285
