modified_index,P-JW1-MON,P-JW2-MON,P-JW3-MON,P-JW4-MON,P-FW1-MON,P-FW2-MON,P-FW3-MON,P-FW4-MON,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,3071.832,2951.033,2945.472,2906.976,2107.692,2854.46,3029.604,3008.264,2859.416625,2948.2525,3071.832,2867.3748586956517,2866.1174043273368
00:15:00,2978.16,2902.292,2861.467,2888.302,2075.762,2790.388,2932.351,2974.105,2800.3533749999997,2895.297,2978.16,2675.1903819444447,2681.9723886007573
00:30:00,2933.031,2857.068,2807.175,2839.926,2043.2,2759.67,2875.747,2933.051,2756.1085000000003,2848.4970000000003,2933.031,2543.4495833333335,2543.3389864648007
00:45:00,2878.928,2797.825,2778.808,2819.625,1985.963,2750.89,2813.213,2867.171,2711.552875,2805.5190000000002,2878.928,2452.0533511904755,2460.4234060009767
01:00:00,2881.163,2741.989,2733.635,2773.748,1966.287,2669.354,2808.662,2868.779,2680.452125,2757.8685,2881.163,2427.088104166666,2427.849375157131
01:15:00,2822.474,2715.699,2751.574,2714.909,1952.162,2653.601,2741.673,2761.721,2639.2266250000002,2728.6859999999997,2822.474,2422.65675,2428.1109500264524
01:30:00,2808.764,2647.099,2685.623,2667.18,1899.429,2663.601,2719.569,2751.786,2605.3813750000004,2676.4015,2808.764,2422.65675,2421.4637857064517
01:45:00,2750.186,2655.711,2705.851,2637.183,1899.159,2597.419,2656.052,2728.58,2578.7676250000004,2655.8815,2750.186,2422.65675,2419.4238256706817
02:00:00,2722.716,2632.214,2650.358,2613.392,1836.406,2594.518,2601.933,2688.466,2542.500375,2622.803,2722.716,2422.65675,2420.3096996456725
02:15:00,2692.928,2568.089,2630.601,2541.937,1835.634,2550.178,2608.375,2661.061,2511.100375,2588.232,2692.928,2422.65675,2422.6480648563347
02:30:00,2679.201,2518.793,2604.875,2540.327,1819.713,2503.849,2573.947,2616.101,2482.10075,2557.137,2679.201,2422.65675,2417.772654282064
02:45:00,2651.943,2533.835,2597.639,2493.222,1816.482,2475.556,2534.665,2643.859,2468.400125,2534.25,2651.943,2428.3139374999996,2424.388509516465
03:00:00,2622.768,2505.921,2547.531,2457.218,1773.891,2442.423,2515.115,2575.083,2429.9937499999996,2510.518,2622.768,2419.6395208333333,2424.726614633482
03:15:00,2617.561,2456.45,2546.615,2444.599,1799.092,2470.963,2456.448,2605.934,2424.70775,2463.7065000000002,2617.561,2429.7478541666665,2421.9384472185257
