Q-JW1-MON,Q-JW2-MON,Q-JW3-MON,Q-JW4-MON,F-JW1-MON,F-JW2-MON,F-JW3-MON,F-JW4-MON,Euclidean Barycenter
3430.793,3402.626,3092.142,3330.095,2494.286,2809.346,2961.176,2783.766,3038.02875
3433.65,3457.978,3050.121,3309.281,2435.22,2785.291,2797.267,2764.964,3004.2214999999997
3411.992,3430.714,3055.657,3294.443,2354.213,2734.558,2769.692,2683.73,2966.874875
3365.521,3396.627,3108.632,3278.965,2346.135,2556.73,2805.138,2657.686,2939.42925
3300.851,3307.843,3050.286,3252.289,2357.615,2622.283,2766.099,2711.094,2921.0450000000005
3299.163,3276.988,3029.606,3228.217,2328.695,2692.051,2803.494,2686.674,2918.111
3370.045,3340.135,2998.489,3158.412,2306.019,2662.057,2582.596,2597.304,2876.882125
3316.868,3386.068,2931.27,3118.738,2338.8,2617.105,2566.243,2565.714,2855.1007499999996
3302.347,3369.065,2901.985,3098.059,2340.13,2654.04,2645.697,2574.119,2860.6802500000003
3269.115,3319.232,2917.953,3105.884,2338.613,2597.71,2626.163,2599.445,2846.7643749999997
3219.031,3264.64,2890.19,3062.386,2353.332,2557.673,2625.656,2636.034,2826.11775
3128.26,3246.252,2844.703,3089.321,2281.102,2607.453,2617.176,2604.669,2802.367
3175.443,3177.816,2830.474,3059.918,2363.838,2621.486,2661.76,2615.489,2813.2780000000002
3049.672,3183.512,2853.51,3017.119,2190.477,2621.174,2584.886,2597.06,2762.17625
3049.23,3081.56,2850.909,3072.444,2286.599,2576.54,2524.666,2604.843,2755.848875
3054.446,3135.477,2902.713,3002.334,2189.685,2505.715,2575.499,2511.861,2734.7162500000004
2967.079,3098.31,2875.148,2979.39,2264.499,2542.539,2557.349,2529.243,2726.6946249999996
3055.332,3219.742,2991.815,2961.494,2227.63,2535.916,2580.667,2546.904,2764.9375000000005
3008.512,3223.021,2888.022,3076.271,2189.041,2461.343,2585.067,2517.36,2743.5796250000003
3203.546,3151.165,2871.813,3043.955,2193.651,2555.546,2494.584,2540.139,2756.7998749999997
3259.67,3292.844,2852.527,3077.765,2339.619,2537.408,2607.441,2687.513,2831.848375
3272.713,3208.112,3013.457,3104.857,2442.4,2500.549,2677.657,2761.466,2872.651375
3395.66,3279.135,3005.05,3132.419,2418.888,2510.113,2698.536,2677.425,2889.6532500000003
3374.555,3332.833,2975.78,3196.473,2375.821,2517.004,2672.153,2757.346,2900.245625
3364.908,3331.693,3101.933,3257.835,2553.604,2551.049,2651.75,2761.901,2946.8341249999994
3224.403,3138.528,2924.138,3163.627,2370.618,2384.673,2701.89,2572.46,2810.042125
3066.961,2982.162,2821.368,2817.246,2227.155,2311.331,2486.034,2423.121,2641.92225
3038.32,2973.419,2717.57,2794.146,2160.598,2224.038,2459.684,2457.134,2603.113625
3017.654,2996.861,2803.319,2787.977,2233.585,2081.557,2492.798,2434.27,2606.0026249999996
3039.097,3049.542,2821.289,2839.833,2202.291,2071.212,2618.069,2504.163,2643.187
3166.026,3047.961,2838.304,2968.685,2232.139,2135.324,2640.438,2544.6,2696.684625
3327.686,3175.72,3246.119,3035.311,2293.444,2110.437,2884.234,2756.445,2853.6744999999996
3366.281,3365.697,3299.942,3040.386,2361.82,2159.274,2878.225,2804.75,2909.546875
3507.54,3497.036,3318.129,3259.01,2506.875,2217.15,2984.334,2810.432,3012.56325
3520.404,3710.323,3427.796,3327.064,2597.211,2294.498,3183.865,3053.262,3139.302875
3555.115,3734.733,3460.592,3398.482,2626.823,2305.755,3189.308,3079.709,3168.814625
3607.385,3855.046,3392.37,3444.806,2967.211,2309.434,3339.487,3201.872,3264.701375
4006.452,4017.163,3512.175,3789.031,2963.593,2455.72,3358.054,3278.694,3422.61025
4053.156,4033.471,3858.563,3841.397,2991.741,2461.789,3409.263,3504.52,3519.2375
4069.053,4064.657,3990.484,3892.694,3083.424,2470.923,3490.057,3393.711,3556.8753749999996
4023.061,4149.314,3875.666,3848.141,3055.155,2445.907,3471.601,3433.558,3537.800375
4081.726,4165.612,3898.063,3974.484,3080.745,2493.908,3492.525,3610.175,3599.65475
4128.313,4271.437,3942.1,3971.429,3158.071,2523.301,3598.0,3592.794,3648.180625
4205.198,4271.828,3880.498,3934.143,3193.927,2582.145,3698.157,3665.148,3678.8805
4309.52,4276.856,4007.044,3938.23,3191.858,2667.513,3744.019,3682.527,3727.1958750000003
4230.981,4174.488,4026.621,4163.039,3242.393,2635.575,3738.586,3739.374,3743.882125
4201.01,4101.884,3977.647,4126.617,3213.465,2656.511,3704.337,3761.689,3717.895
4199.962,4270.703,4052.519,4117.966,3302.285,2702.567,3682.283,3719.488,3755.971625
