P-JW1-SAT,P-JW2-SAT,P-JW3-SAT,P-JW4-SAT,P-FW1-SAT,P-FW2-SAT,P-FW3-SAT,Euclidean Barycenter
3029.978,2965.012,2953.527,2871.87,2791.024,2964.46,3083.896,2951.395285714286
3002.107,2972.911,2907.961,2871.052,2765.873,2905.879,3008.712,2919.2135714285714
2967.794,2885.05,2852.779,2830.066,2738.946,2898.427,2962.283,2876.477857142857
2906.573,2818.93,2818.615,2803.24,2683.143,2857.335,2900.605,2826.9201428571428
2857.319,2769.048,2764.06,2089.566,2644.569,2789.281,2835.871,2678.530571428571
2803.667,2718.885,2782.08,1943.733,2601.137,2743.406,2794.306,2626.744857142857
2830.133,2650.411,2694.056,1931.279,2608.635,2712.718,2785.911,2601.8775714285716
2782.094,2583.229,2622.977,1920.736,2573.488,2732.918,2685.471,2557.273285714286
2768.639,2619.397,2618.307,1890.476,2528.732,2657.161,2659.849,2534.6515714285715
2751.762,2548.986,2544.276,1836.164,2494.367,2632.814,2645.64,2493.4298571428576
2693.99,2506.425,2563.919,1854.922,2465.73,2620.842,2618.119,2474.8495714285714
2676.211,2517.949,2499.597,1819.491,2457.432,2572.458,2589.221,2447.4798571428573
2643.832,2457.822,2496.903,1803.148,2454.964,2550.73,2566.01,2424.7727142857143
2632.079,2414.431,2470.062,1772.838,2424.264,2529.33,2550.809,2399.1161428571427
2598.782,2374.954,2474.375,1789.157,2441.094,2532.502,2514.92,2389.3977142857143
2584.013,2381.204,2485.919,1743.885,2417.168,2472.957,2518.888,2372.004857142857
2584.575,2357.591,2444.471,1752.943,2423.949,2475.52,2492.752,2361.685857142857
2583.239,2356.349,2468.833,1752.968,2408.521,2441.936,2482.769,2356.3735714285717
2572.277,2340.39,2455.732,1758.502,2374.547,2467.52,2412.135,2340.1575714285714
2591.803,2368.54,2482.997,1805.332,2441.234,2484.99,2509.858,2383.536285714286
2597.812,2413.556,2476.998,1797.842,2439.591,2483.24,2469.633,2382.6674285714284
2634.862,2357.297,2500.698,1800.884,2452.777,2459.292,2484.014,2384.2605714285714
2608.953,2406.516,2535.669,1814.032,2467.824,2456.831,2496.899,2398.103428571429
2681.676,2399.686,2536.79,1849.449,2487.103,2481.958,2490.946,2418.229714285714
2650.389,2439.72,2558.032,1856.3,2489.19,2444.094,2502.645,2420.0528571428576
2581.321,2431.53,2515.206,1844.107,2452.58,2460.051,2460.089,2392.1262857142856
2540.517,2293.299,2453.689,1763.103,2405.193,2333.69,2369.182,2308.381857142857
2450.095,2231.9,2469.712,1756.539,2352.413,2288.89,2298.786,2264.047857142857
2472.727,2240.017,2434.522,1728.361,2316.938,2325.804,2310.261,2261.2328571428575
2504.831,2316.169,2465.939,1745.223,2337.806,2328.609,2403.506,2300.2975714285717
2546.599,2387.572,2445.034,1791.706,2359.932,2436.451,2406.344,2339.091142857143
2648.141,2440.522,2549.37,1887.76,2412.667,2546.72,2475.524,2422.957714285714
2733.459,2583.811,2587.433,1883.953,2549.689,2627.426,2539.007,2500.682571428572
2835.853,2689.409,2632.892,1991.716,2611.172,2739.749,2697.204,2599.713571428572
2842.446,2831.66,2699.246,2032.924,2701.209,2923.612,2823.031,2693.4468571428565
3030.028,2844.951,2843.35,2040.477,2714.115,2947.667,2856.196,2753.826285714286
3102.172,2881.289,2885.703,2109.668,2812.721,2973.052,2944.421,2815.5751428571425
3190.93,3009.61,2968.526,2130.257,2789.912,3011.117,3012.879,2873.318714285714
3189.553,3109.306,3137.343,2149.524,2859.608,3015.159,3108.622,2938.445
3254.609,3084.865,3119.459,2171.303,2895.41,3028.657,3116.759,2953.008857142857
3251.263,3168.149,3125.567,2182.656,2926.283,3100.919,3157.21,2987.4352857142853
3319.574,3159.548,3096.49,2227.893,3003.229,3164.567,3208.523,3025.689142857143
3365.029,3263.361,3179.115,2210.739,3054.74,3233.184,3251.888,3079.722285714285
3409.571,3307.037,3202.52,2242.352,3043.249,3283.308,3289.867,3111.129142857143
3417.58,3317.358,3274.823,2293.081,3145.702,3208.259,3369.938,3146.677285714286
3461.277,3359.916,3261.992,2256.249,3209.316,3248.44,3393.097,3170.041
3507.881,3421.859,3261.977,2217.621,3165.828,3255.418,3397.042,3175.3751428571427
3530.007,3390.22,3238.426,2245.101,3130.825,3288.929,3390.652,3173.451428571429
3505.946,3399.354,3117.421,2238.517,3162.869,3273.137,3427.072,3160.616571428571
3496.95,3450.442,3169.027,2263.551,3181.083,3281.211,3411.772,3179.148
3536.209,3460.259,3233.422,2248.794,3137.471,3280.254,3415.771,3187.4542857142856
3561.393,3484.301,3232.28,2272.107,3185.638,3292.44,3464.752,3213.273
3554.072,3511.351,3292.489,2296.839,3155.522,3357.054,3507.193,3239.217142857143
3534.148,3466.625,3291.021,2265.841,3154.822,3321.926,3491.229,3217.9445714285716
3548.887,3456.691,3268.646,2276.471,3109.009,3322.824,3516.224,3214.1074285714285
3567.22,3527.953,3288.42,2345.316,3028.224,3340.147,3532.873,3232.879
3524.057,3509.341,3244.891,2325.48,3058.171,3325.362,3565.942,3221.892
3500.749,3449.852,3190.362,2302.197,3131.343,3237.402,3464.181,3182.298
3444.996,3451.189,3154.875,2320.175,3103.307,3221.344,3434.097,3161.4261428571435
3413.482,3372.169,3151.38,2360.746,3112.007,3209.754,3391.929,3144.4952857142853
