Q-JW1-SAT,Q-JW2-SAT,Q-JW3-SAT,Q-JW4-SAT,F-JW1-SAT,F-JW2-SAT,F-JW3-SAT,Euclidean Barycenter
3266.441,3391.123,3463.318,3245.725,2580.228,2696.556,2847.023,3070.0591428571433
3310.608,3276.419,3324.947,3263.104,2578.784,2665.04,2790.162,3029.8662857142854
3261.569,3286.91,3304.141,3275.031,2581.106,2721.347,2904.954,3047.8654285714288
3310.751,3361.961,3213.586,3192.917,2551.325,2660.612,2720.531,3001.6689999999994
3215.8,3355.697,3237.797,2923.48,2527.849,2614.411,2813.295,2955.475571428571
3255.702,3297.019,3171.875,2917.143,2528.256,2611.539,2707.764,2927.042571428571
3229.046,3361.284,3204.829,2299.103,2538.52,2547.862,2676.603,2836.7495714285715
3110.22,3350.649,3179.082,2258.332,2516.882,2550.987,2497.108,2780.465714285714
3077.03,3306.625,3168.004,2308.883,2521.113,2483.325,2504.243,2767.031857142857
3033.39,3170.509,3137.989,3368.795,2534.79,2484.684,2533.946,2894.871857142857
3114.223,3135.694,3042.012,3155.724,2529.411,2549.897,2537.943,2866.414857142857
3132.448,3176.474,3067.603,3106.298,2520.737,2495.733,2577.913,2868.172285714286
3093.602,2968.595,2981.876,3070.261,2513.148,2506.461,2509.383,2806.189428571429
3089.24,2930.791,2934.261,3150.629,2520.11,2508.316,2514.495,2806.834571428571
3012.709,2963.902,2953.991,3073.206,2467.648,2492.021,2471.175,2776.3788571428568
3014.301,2884.367,3015.34,3158.553,2459.07,2403.687,2516.59,2778.844
2927.529,2954.492,3043.184,3073.49,2460.153,2456.059,2425.163,2762.8671428571433
3032.832,2884.162,2954.298,3138.072,2464.741,2468.191,2488.172,2775.7811428571426
2977.18,2892.998,3027.529,2991.074,2457.776,2398.386,2436.432,2740.1964285714284
3039.664,2932.153,2946.142,3110.176,2458.311,2384.712,2445.044,2759.4574285714284
2948.182,2916.116,2982.138,3105.052,2454.196,2383.345,2497.224,2755.1789999999996
3030.144,2874.799,3033.189,3128.441,2437.785,2431.732,2489.696,2775.112285714286
2993.196,2888.394,3021.294,3190.286,2442.327,2388.539,2486.636,2772.9531428571427
3016.697,2929.48,3019.622,3313.38,2480.295,2500.965,2485.577,2820.8594285714285
2947.816,2869.898,3066.112,3328.709,2467.93,2548.693,2444.505,2810.523285714286
2803.703,2698.048,3175.804,3314.769,2389.288,2363.643,2255.701,2714.422285714286
2746.803,2394.581,2749.635,3018.499,2154.939,2080.087,2052.918,2456.7802857142856
2612.501,2374.233,2815.329,2946.128,2167.225,2033.998,1877.775,2403.884142857143
2646.724,2425.332,2801.666,3812.362,2162.694,2021.457,1969.551,2548.540857142857
2718.472,2452.967,2853.104,2096.676,2154.39,2073.509,2039.094,2341.173142857143
2827.745,2590.906,2742.406,2151.899,2164.32,2078.297,2022.376,2368.278428571429
2894.366,2753.172,2819.389,2167.355,2145.268,2262.476,2244.394,2469.488571428571
2927.782,2778.345,2906.904,2278.46,2389.795,2425.036,2380.691,2583.8590000000004
3032.57,3113.3,3139.428,2292.913,2387.953,2576.492,2616.228,2736.9834285714287
3263.085,3198.075,3060.865,2229.248,2347.29,2726.027,2726.479,2793.0098571428566
3287.548,3170.264,3233.51,2312.901,2135.86,2674.758,2772.102,2798.1347142857144
3328.595,3233.062,3286.717,2548.35,2408.239,2769.024,2791.052,2909.291285714286
3447.83,3309.04,3568.529,2598.07,2400.249,2713.227,2843.596,2982.9344285714287
3427.217,3370.343,3593.132,2583.207,2454.1,2910.136,2939.479,3039.6591428571423
3555.573,3485.8,3663.257,2667.983,2529.334,2961.469,3018.13,3125.935142857143
3674.538,3543.541,3644.589,2678.955,2593.068,3007.534,2996.425,3162.6642857142856
3717.278,3627.029,3654.405,2705.289,2703.354,3120.397,3161.98,3241.3902857142857
3993.089,3628.007,3754.944,2706.793,2698.281,3127.93,3349.259,3322.6147142857144
4025.032,3842.579,3738.491,2863.722,2818.04,3133.396,3301.134,3388.9134285714285
3986.577,3840.446,3711.131,2775.816,2869.195,3107.012,3465.609,3393.6837142857144
4097.654,3859.653,3759.073,2812.554,2953.129,3143.783,3450.548,3439.484857142857
4089.778,3927.847,3864.941,2844.333,2925.106,3187.104,3475.869,3473.5682857142856
4083.825,3913.593,3735.13,2785.55,2885.185,3256.637,3397.284,3436.7434285714285
4097.153,3915.758,3611.353,2795.596,2947.706,3252.6,3431.095,3435.8944285714283
4074.471,3910.011,3750.614,2802.119,2938.294,3258.452,3416.951,3450.130285714286
4061.903,3950.835,3640.436,2791.49,2935.816,3251.805,3427.28,3437.0807142857143
4051.55,3911.105,3680.603,2762.534,2953.505,3250.592,3487.962,3442.5501428571433
4081.224,3899.757,3721.381,2814.698,2926.382,3272.54,3492.792,3458.396285714286
4074.43,3870.029,3767.506,2811.055,2827.074,3194.332,3502.953,3435.3398571428575
4096.065,3950.06,3752.831,2857.609,2855.026,3180.959,3374.681,3438.1758571428572
4134.521,3974.624,3790.415,2841.23,2865.738,3202.248,3354.355,3451.8758571428566
3968.675,3881.185,3725.23,2817.14,2870.392,3130.886,3356.133,3392.8058571428564
4012.64,3822.642,3658.269,2872.108,3000.822,3129.617,3314.753,3401.550142857143
4049.175,3870.546,3685.676,2907.035,2952.393,3157.773,3316.808,3419.9151428571427
4019.513,3905.186,3629.655,2876.374,2900.209,3120.473,3321.412,3396.117428571429
3981.953,3931.193,3711.902,2838.279,2946.827,3122.594,3349.326,3411.7248571428577
3949.068,3922.011,3657.332,2826.931,2925.741,3101.166,3330.294,3387.5061428571425
3950.531,3924.222,3600.321,2844.39,2964.366,3147.021,3262.815,3384.8094285714287
3950.774,3833.216,3676.299,2836.534,2921.049,3136.097,3358.862,3387.547285714286
3988.208,3736.708,3593.216,2906.73,2762.184,3088.948,3222.561,3328.3650000000002
4055.295,3724.993,3605.255,2893.311,2752.65,3094.95,3118.292,3320.6780000000003
4102.356,3720.684,3403.768,2819.125,2809.462,3049.429,3122.717,3289.6487142857145
