modified_index,P-JW1-SUN,P-JW2-SUN,P-JW3-SUN,P-JW4-SUN,P-FW1-SUN,P-FW2-SUN,P-FW3-SUN,P-FW4-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,3082.161,2889.863,2817.458,2135.992,3082.161,2889.863,2817.458,2135.992,2731.3684999999996,2853.6605,3082.161,2821.8422727272728,2807.25205868515
00:15:00,3002.023,2831.269,2772.178,2109.343,3002.023,2831.269,2772.178,2109.343,2678.70325,2801.7235,3002.023,2614.9139903846153,2591.800705943563
00:30:00,2980.23,2741.191,2743.66,2046.676,2980.23,2741.191,2743.66,2046.676,2627.93925,2742.4255,2980.23,2487.96967063492,2476.061785150574
00:45:00,2915.397,2737.191,2688.913,2045.269,2915.397,2737.191,2688.913,2045.269,2596.6925,2713.0519999999997,2915.397,2358.3877685185184,2347.1510853416416
01:00:00,2874.862,2708.741,2662.474,1999.159,2874.862,2708.741,2662.474,1999.159,2561.309,2685.6075,2874.862,2273.191089285714,2247.536989402821
01:15:00,2822.138,2715.091,2630.625,1970.389,2822.138,2715.091,2630.625,1970.389,2534.5607499999996,2672.858,2822.138,2253.544541666666,2223.54864874678
01:30:00,2813.431,2711.502,2586.702,1947.837,2813.431,2711.502,2586.702,1947.837,2514.868,2649.102,2813.431,2308.2088043478257,2221.921612800051
01:45:00,2741.184,2625.723,2556.267,1939.401,2741.184,2625.723,2556.267,1939.401,2465.6437500000006,2590.995,2741.184,2230.108636363636,2226.6177416571304
02:00:00,2690.642,2595.004,2589.204,1900.359,2690.642,2595.004,2589.204,1900.359,2443.80225,2592.1040000000003,2690.642,2222.184227272727,2221.1038124344473
02:15:00,2639.251,2545.858,2502.135,1836.211,2639.251,2545.858,2502.135,1836.211,2380.86375,2523.9965,2639.251,2222.184227272727,2221.8388082502174
02:30:00,2649.577,2505.575,2527.432,1852.391,2649.577,2505.575,2527.432,1852.391,2383.74375,2516.5035,2649.577,2222.184227272727,2222.357190133309
02:45:00,2611.792,2449.456,2497.078,1870.782,2611.792,2449.456,2497.078,1870.782,2357.2769999999996,2473.267,2611.792,2222.184227272727,2221.447379482977
03:00:00,2585.349,2413.246,2437.778,1826.439,2585.349,2413.246,2437.778,1826.439,2315.7029999999995,2425.5119999999997,2585.349,2222.184227272727,2222.2880735523718
03:15:00,2554.952,2419.28,2471.701,1816.752,2554.952,2419.28,2471.701,1816.752,2315.67125,2445.4905,2554.952,2222.184227272727,2222.7316103870835
03:30:00,2541.342,2350.605,2391.518,1794.969,2541.342,2350.605,2391.518,1794.969,2269.6085000000003,2371.0615,2541.342,2222.184227272727,2221.1550299580567
03:45:00,2540.214,2327.666,2398.625,1826.219,2540.214,2327.666,2398.625,1826.219,2273.181,2363.1455,2540.214,2222.184227272727,2220.910701206388
04:00:00,2479.438,2353.587,2345.597,1799.731,2479.438,2353.587,2345.597,1799.731,2244.58825,2349.592,2479.438,2222.184227272727,2221.5232208006146
04:15:00,2497.368,2309.648,2381.905,1814.03,2497.368,2309.648,2381.905,1814.03,2250.7377500000002,2345.7765,2497.368,2222.184227272727,2221.4161210465113
04:30:00,2459.662,2306.301,2317.51,1832.654,2459.662,2306.301,2317.51,1832.654,2229.03175,2311.9055,2459.662,2222.184227272727,2221.9348474460776
04:45:00,2517.442,2337.286,2384.659,1861.247,2517.442,2337.286,2384.659,1861.247,2275.1585,2360.9725,2517.442,2222.184227272727,2220.9648325705025
05:00:00,2531.643,2344.625,2403.547,1843.256,2531.643,2344.625,2403.547,1843.256,2280.76775,2374.0860000000002,2531.643,2222.184227272727,2220.818258406738
05:15:00,2512.359,2348.77,2335.046,1730.124,2512.359,2348.77,2335.046,1730.124,2231.57475,2341.908,2512.359,2222.184227272727,2221.6224191972924
05:30:00,2514.948,2352.717,2365.96,1780.681,2514.948,2352.717,2365.96,1780.681,2253.5765,2359.3385,2514.948,2222.184227272727,2221.444489365048
05:45:00,2503.865,2339.692,2368.633,1783.094,2503.865,2339.692,2368.633,1783.094,2248.821,2354.1625,2503.865,2222.184227272727,2221.3652608459975
06:00:00,2545.279,2343.08,2397.031,1839.582,2545.279,2343.08,2397.031,1839.582,2281.243,2370.0555,2545.279,2222.184227272727,2221.2676379321233
06:15:00,2440.585,2369.138,2374.622,1733.365,2440.585,2369.138,2374.622,1733.365,2229.4275,2371.88,2440.585,2222.184227272727,2220.8457176237703
06:30:00,2342.371,2216.338,2288.233,1706.46,2342.371,2216.338,2288.233,1706.46,2138.3505,2252.2855,2342.371,2222.184227272727,2223.5902631278013
06:45:00,2310.16,2149.843,2254.307,1704.698,2310.16,2149.843,2254.307,1704.698,2104.752,2202.075,2310.16,2152.39075,2152.1861752449013
07:00:00,2278.736,2134.219,2235.828,1740.436,2278.736,2134.219,2235.828,1740.436,2097.30475,2185.0235000000002,2278.736,1878.6582166666672,1878.0344233297023
07:15:00,2322.968,2199.449,2242.464,1705.377,2322.968,2199.449,2242.464,1705.377,2117.5645,2220.9565000000002,2322.968,2165.0888703703704,2164.407699794259
07:30:00,2353.627,2231.663,2292.86,1752.868,2353.627,2231.663,2292.86,1752.868,2157.7545,2262.2615,2353.627,2248.391431818182,2251.697114775213
07:45:00,2413.179,2262.711,2318.798,1768.748,2413.179,2262.711,2318.798,1768.748,2190.859,2290.7545,2413.179,2257.791522727273,2302.9090657741726
08:00:00,2471.207,2316.873,2343.714,1827.331,2471.207,2316.873,2343.714,1827.331,2239.78125,2330.2934999999998,2471.207,2305.6356029411763,2332.1286529775634
08:15:00,2496.678,2342.538,2461.72,1850.611,2496.678,2342.538,2461.72,1850.611,2287.88675,2402.129,2496.678,2347.0623305084746,2348.6473755520738
08:30:00,2608.572,2476.365,2554.901,1907.718,2608.572,2476.365,2554.901,1907.718,2386.889,2515.633,2608.572,2440.4944772727276,2441.201348093248
08:45:00,2688.377,2526.547,2584.501,1944.772,2688.377,2526.547,2584.501,1944.772,2436.0492500000005,2555.5240000000003,2688.377,2468.857636363636,2468.838612497498
09:00:00,2711.017,2530.638,2587.492,2012.677,2711.017,2530.638,2587.492,2012.677,2460.4559999999997,2559.065,2711.017,2489.3727272727274,2489.3185235727087
09:15:00,2705.662,2550.83,2587.298,2081.39,2705.662,2550.83,2587.298,2081.39,2481.295,2569.064,2705.662,2521.592269230769,2525.636692375546
09:30:00,2782.543,2572.82,2680.467,2087.74,2782.543,2572.82,2680.467,2087.74,2530.8925,2626.6435,2782.543,2579.1313333333333,2582.916107704616
09:45:00,2822.92,2635.958,2687.039,2105.599,2822.92,2635.958,2687.039,2105.599,2562.879,2661.4985,2822.92,2586.644409090909,2586.5167991223043
10:00:00,2838.432,2694.832,2699.773,2113.253,2838.432,2694.832,2699.773,2113.253,2586.5725,2697.3025,2838.432,2608.157904761905,2607.5629407634688
10:15:00,2957.337,2769.238,2808.122,2118.897,2957.337,2769.238,2808.122,2118.897,2663.3985000000002,2788.68,2957.337,2674.7467272727276,2675.753161956724
10:30:00,2939.761,2759.648,2837.039,2190.533,2939.761,2759.648,2837.039,2190.533,2681.74525,2798.3435,2939.761,2679.669522727273,2674.9277060787463
