Q-JW1-SUN,Q-JW2-SUN,Q-JW3-SUN,Q-JW4-SUN,F-JW1-SUN,F-JW2-SUN,F-JW3-SUN,Euclidean Barycenter
3476.705,3095.283,3272.299,2563.581,2687.761,2805.907,2801.679,2957.602142857143
3399.365,3098.068,3161.667,2536.19,2730.167,2799.409,2782.368,2929.6048571428573
3403.177,3084.359,3164.876,2592.413,2601.354,2740.228,2836.39,2917.5424285714284
3391.267,3064.234,3125.861,2417.136,2565.405,2673.332,2756.44,2856.2392857142854
3382.555,3098.437,3124.78,2485.576,2587.992,2562.564,2655.138,2842.4345714285714
3319.784,3012.493,3139.045,2453.528,2601.658,2707.841,2706.64,2848.712714285714
3379.137,2990.092,3149.672,2462.97,2611.178,2588.649,2569.048,2821.5351428571425
3379.892,2981.077,3104.056,2457.386,2604.894,2515.033,2631.414,2810.536
3304.59,3085.291,3034.502,2466.442,2613.964,2557.417,2563.442,2803.664
3257.025,3091.069,3051.164,2428.004,2556.382,2486.655,2633.07,2786.1955714285714
3181.623,2881.144,3100.968,2441.874,2690.559,2442.898,2669.581,2772.663857142858
3247.753,2906.12,3065.965,2452.208,2649.928,2362.182,2532.96,2745.3022857142855
3164.616,2902.575,2999.394,2376.238,2582.579,2332.416,2528.546,2698.0519999999997
3167.361,2818.969,3051.385,2388.281,2541.524,2465.826,2436.711,2695.7224285714283
3155.076,2950.444,2991.507,2357.657,2507.139,2364.426,2405.959,2676.029714285714
3112.676,2945.82,2941.633,2340.686,2516.42,2390.111,2399.495,2663.834428571429
3136.335,2918.355,3004.741,2351.669,2496.694,2394.493,2370.987,2667.610571428572
3087.462,2852.406,2961.294,2321.875,2534.574,2390.934,2377.322,2646.5524285714287
3033.606,2872.047,2949.312,2358.562,2544.913,2347.655,2347.892,2636.2838571428574
3052.679,2819.302,2920.601,2269.16,2598.805,2370.868,2369.188,2628.657571428572
3040.337,2822.363,3003.459,2262.719,2519.254,2334.666,2306.984,2612.8260000000005
3018.417,2936.984,2929.832,2181.421,2540.669,2317.416,2386.995,2615.962
3019.357,2890.66,2941.786,2188.491,2466.851,2388.546,2337.309,2604.714285714286
3028.734,2859.017,2941.961,2132.844,2503.861,2426.594,2425.746,2616.965285714286
2966.744,2841.21,3004.575,2124.278,2410.448,2395.83,2347.332,2584.345285714285
2803.847,3003.226,2837.18,2096.095,2395.617,2265.826,2129.262,2504.436142857143
2632.545,2675.844,2469.455,1832.651,2245.153,2113.829,1958.676,2275.450428571429
2692.885,3181.052,2341.051,1911.433,2268.459,1996.016,1922.718,2330.5162857142855
2578.634,3288.854,2419.406,1855.074,2248.922,2008.763,2048.94,2349.799
2633.192,3370.156,2526.818,2003.258,2168.697,1992.107,2017.106,2387.333428571429
2656.748,3434.845,2645.593,1963.461,2084.58,2074.104,2095.575,2422.1294285714284
2723.941,3597.335,2675.398,1965.899,2221.262,2072.689,2079.467,2476.5701428571424
2748.929,3632.141,2722.035,2138.866,2259.173,2169.686,2326.673,2571.0718571428574
2878.674,3755.212,2939.363,2119.193,2375.092,2194.031,2252.138,2644.8147142857138
2964.507,4004.935,2984.37,2268.792,2334.059,2382.809,2447.313,2769.540714285715
2966.219,4020.66,3015.101,2228.673,2647.738,2369.801,2551.908,2828.585714285714
3059.625,4137.226,3093.902,2280.085,2736.934,2494.24,2479.157,2897.3098571428573
3108.813,4149.328,3057.84,2233.759,2785.138,2519.116,2757.074,2944.4382857142855
3193.303,4208.09,3172.988,2411.562,2706.104,2641.408,2527.069,2980.0748571428567
3142.21,4393.022,3296.559,2423.927,2764.524,2680.867,2706.43,3058.219857142857
3451.182,4433.532,3229.47,2424.392,2773.11,2714.332,2770.58,3113.799714285714
3487.329,4507.523,3304.294,2482.905,2754.057,2913.098,2852.253,3185.922714285714
3515.879,4536.615,3335.828,2478.071,2759.902,2929.024,2890.749,3206.581142857143
3582.819,4640.742,3334.282,2484.78,2861.918,2934.276,2955.141,3256.279714285715
3538.638,4646.257,3352.187,2483.633,2952.962,2998.969,2981.113,3279.1084285714287
3592.942,4631.745,3333.702,2801.987,2942.599,3032.296,3031.651,3338.131714285714
3683.642,4761.109,3363.1,2802.873,2938.557,3009.764,3040.796,3371.405857142857
3663.352,4848.897,3353.62,2854.733,2942.848,3119.26,3077.513,3408.6032857142854
3583.564,4811.296,3252.541,2774.418,2943.662,3027.513,3061.428,3350.631714285714
3621.637,4750.83,3381.338,2857.29,2959.6,2992.538,3140.08,3386.1875714285716
3693.01,4771.232,3336.453,2808.869,2906.479,2992.01,3082.82,3370.124714285714
3610.707,4980.969,3359.257,2709.655,2879.993,3030.67,3084.584,3379.4049999999993
3630.96,4940.333,3366.908,2783.071,2851.383,2966.047,2963.983,3357.5264285714284
3727.121,3975.117,3412.775,2733.193,2903.862,2957.647,2950.756,3237.2101428571436
3647.234,3947.59,3387.81,2713.006,2844.015,2880.604,2948.695,3195.564857142857
3646.042,3237.347,3370.717,2805.68,2777.816,2944.887,2923.181,3100.81
3592.166,3347.158,3332.99,2825.23,2832.335,2950.751,2948.006,3118.376571428572
3621.896,3368.133,3380.561,2762.444,2872.553,2976.868,2957.927,3134.3402857142855
3637.052,3348.44,3336.222,2726.431,2835.117,2986.406,2927.633,3113.900142857143
3616.834,3377.341,3326.008,2826.831,2767.826,2996.06,2868.696,3111.3708571428574
3618.387,3275.552,3346.497,2761.33,2770.363,2912.254,2961.624,3092.286714285714
3609.437,3357.684,3465.84,2779.2,2823.507,2915.199,2945.125,3127.998857142857
3571.117,3334.108,3543.151,2778.708,2830.37,2904.996,2908.184,3124.376285714286
3586.974,3274.564,3571.961,2739.961,2803.794,2866.386,2960.617,3114.8938571428566
3517.176,3379.018,3552.581,2814.115,2750.8,2901.1,2934.938,3121.3897142857136
3507.176,3312.638,3530.327,2780.597,2821.455,2967.944,2937.111,3122.464
3547.824,3332.787,3385.224,2753.109,2779.003,2895.976,2859.673,3079.0851428571427
3558.891,3281.619,3393.194,2750.497,2741.977,2872.328,2863.091,3065.942428571429
3432.143,3263.695,3435.219,2707.835,2719.661,2839.424,2901.473,3042.778571428571
3419.256,3272.076,3363.386,2756.547,2711.075,2886.145,2867.734,3039.4598571428573
3434.396,3367.643,3346.756,2337.86,2746.387,2778.963,2853.655,2980.808571428571
3395.984,3339.158,3229.559,2337.359,2675.648,2741.797,2767.665,2926.7385714285715
3460.546,3383.367,3305.691,2443.5,2642.744,2707.567,2869.997,2973.3445714285713
3862.283,3447.73,3384.583,2592.378,2644.563,2772.135,2889.593,3084.7521428571426
3888.456,3951.56,3788.657,2973.395,2922.681,3150.047,3147.32,3403.159428571428
3970.997,3914.952,3744.747,3053.708,3030.838,3089.041,3323.164,3446.7781428571434
3958.046,3886.608,3771.419,3033.951,3051.437,3134.652,3269.142,3443.607857142858
3924.787,3759.018,3687.881,2911.922,3034.638,3147.859,3248.306,3387.773
3870.564,3786.789,3757.993,2913.895,3030.626,3075.374,3147.989,3369.032857142857
3916.85,3762.891,3770.39,2835.779,2943.173,3040.521,3106.834,3339.4911428571427
3831.296,3724.338,3765.531,2932.917,2933.131,3014.444,3107.913,3329.9385714285713
3882.227,3718.894,3693.985,2868.371,3015.099,3044.585,3152.842,3339.429
3896.932,3708.3,3655.408,2787.266,2511.723,3086.878,3166.535,3259.0060000000003
3864.477,3763.585,3734.248,2847.093,2898.326,3114.408,3070.269,3327.486571428571
