modified_index,P-JW1-TUE,P-JW2-TUE,P-JW3-TUE,P-JW4-TUE,P-FW1-TUE,P-FW2-TUE,P-FW3-TUE,P-FW4-TUE,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,2877.704,2840.51,2780.089,2834.559,2094.827,2911.338,2986.669,3040.168,2795.7330000000006,2859.107,2877.704,2819.9095625000004,2775.7371095390954
00:15:00,2837.915,2765.533,2731.487,2783.538,2096.814,2792.807,2948.981,2973.771,2741.35575,2788.1724999999997,2837.915,2671.6548027777776,2600.657370754255
00:30:00,2818.541,2684.652,2680.746,2758.673,1985.747,2754.974,2871.312,2937.61,2686.531875,2756.8235,2818.541,2558.5040343750006,2493.4182524444363
00:45:00,2734.48,2629.461,2625.071,2694.599,1948.77,2737.214,2836.349,2910.064,2639.501,2714.5395,2734.48,2472.837446428571,2435.7936967225487
01:00:00,2739.832,2614.501,2572.112,2731.657,1947.957,2692.779,2733.304,2847.615,2609.9696249999997,2712.218,2739.832,2436.2891250000002,2433.2323813844514
01:15:00,2697.18,2553.239,2554.597,2673.037,1888.497,2655.751,2723.665,2792.661,2567.328375,2664.3940000000002,2697.18,2433.901215909091,2421.0110580232094
01:30:00,2708.332,2531.918,2506.229,2653.582,1879.481,2606.244,2705.885,2753.696,2543.1708750000003,2629.913,2708.332,2433.9311250000005,2429.2379058702845
01:45:00,2651.206,2474.796,2486.056,2603.466,1853.609,2620.726,2648.007,2753.206,2511.384,2612.096,2651.206,2433.9311250000005,2434.842741400434
02:00:00,2640.961,2474.558,2450.052,2613.618,1854.259,2569.105,2641.56,2740.0,2498.014125,2591.3615,2640.961,2433.9311250000005,2429.983410838589
02:15:00,2599.661,2467.585,2402.022,2556.337,1791.224,2541.046,2639.117,2714.156,2463.8934999999997,2548.6915,2599.661,2433.9311250000005,2430.380380526718
02:30:00,2602.68,2443.971,2417.165,2540.84,1807.649,2573.741,2622.383,2698.641,2463.3837499999995,2557.2905,2602.68,2433.9311250000005,2430.3431816400325
02:45:00,2565.744,2427.589,2389.768,2553.072,1789.13,2508.198,2538.396,2686.202,2432.2623750000002,2523.297,2565.744,2428.0236979166666,2430.2880235709636
03:00:00,2574.071,2427.918,2370.558,2478.925,1771.98,2480.911,2543.38,2618.609,2408.294,2479.918,2574.071,2422.831823529412,2427.412033436375
03:15:00,2531.127,2415.893,2363.537,2495.706,1743.001,2488.546,2561.62,2633.652,2404.1352500000003,2492.126,2531.127,2430.7055576923076,2424.6016878481473
03:30:00,2539.403,2373.437,2347.642,2434.286,1722.411,2441.406,2560.2,2598.222,2377.125875,2437.846,2539.403,2382.565492647059,2383.3990320864536
03:45:00,2483.699,2350.885,2333.599,2427.056,1734.148,2431.521,2571.012,2564.633,2362.069125,2429.2885,2483.699,2007.2556440217386,2004.135912813423
04:00:00,2517.506,2368.611,2352.541,2436.416,1713.389,2417.303,2576.081,2558.957,2367.6005,2426.8595,2517.506,2342.075925,2339.7552027325582
04:15:00,2507.251,2353.921,2325.673,2453.481,1738.908,2398.125,2652.828,2556.749,2373.367,2425.803,2507.251,2441.8757894736846,2438.1635926566723
04:30:00,2522.733,2372.276,2338.371,2432.575,1728.491,2407.502,2609.478,2573.46,2373.11075,2420.0384999999997,2522.733,2477.102213235294,2512.9635282735626
04:45:00,2597.109,2375.128,2417.2,2469.213,1790.799,2439.641,2677.009,2611.13,2422.1536250000004,2454.427,2597.109,2432.545272058824,2551.0244475028735
05:00:00,2589.127,2409.744,2447.239,2508.813,1796.153,2439.85,2658.556,2637.729,2435.901375,2478.026,2589.127,2498.4153977272726,2580.045154213068
05:15:00,2642.867,2462.172,2443.859,2538.388,1813.741,2408.117,2675.681,2647.556,2454.047625,2500.2799999999997,2642.867,2509.7337980769234,2578.826549323137
05:30:00,2734.813,2489.474,2516.066,2598.628,1849.233,2412.01,2722.562,2699.241,2502.7533750000002,2557.3469999999998,2734.813,2549.0170750000007,2579.817918484626
05:45:00,2799.111,2562.368,2597.893,2664.029,1897.613,2429.443,2793.7,2743.436,2560.949125,2630.9610000000002,2799.111,2580.2513660714285,2578.1805855136736
06:00:00,2856.438,2675.503,2686.138,2730.271,1935.74,2490.844,2819.228,2791.968,2623.26625,2708.2045,2856.438,2633.8896513157893,2634.95071847807
06:15:00,2954.018,2699.771,2706.692,2772.87,2008.576,2429.476,2899.721,2860.044,2666.3959999999997,2739.781,2954.018,2694.13584868421,2696.706300267647
06:30:00,2840.156,2739.865,2698.033,2757.506,2024.443,2352.461,2892.845,2915.222,2652.566375,2748.6854999999996,2840.156,2664.093647727273,2667.4030158001283
06:45:00,2849.952,2717.388,2702.709,2717.125,1958.017,2236.493,2989.423,2863.835,2629.36775,2717.2565,2849.952,2664.093647727273,2673.723432681243
07:00:00,2871.812,2645.993,2682.869,2658.258,1962.117,2161.819,2946.659,2833.533,2595.3825,2670.5635,2871.812,2664.093647727273,2675.021037645133
07:15:00,2861.848,2685.518,2734.075,2699.604,2026.563,2195.268,2927.24,2860.286,2623.80025,2716.8395,2861.848,2664.093647727273,2674.672967743198
07:30:00,2894.882,2708.818,2754.956,2768.724,1966.676,2234.537,2943.341,2907.388,2647.41525,2761.84,2894.882,2673.9422840909097,2674.89852002649
07:45:00,2923.925,2723.703,2753.115,2810.971,1963.842,2314.127,3012.482,2874.184,2672.0436250000002,2782.0429999999997,2923.925,2719.542647058824,2721.479120416844
08:00:00,2937.249,2728.847,2793.99,2853.439,1929.007,2407.011,3003.138,2916.243,2696.1155,2823.7145,2937.249,2744.7657083333334,2748.326725182047
08:15:00,2995.06,2824.605,2903.461,2856.597,1965.496,2463.486,3093.543,2982.9,2760.6435000000006,2880.029,2995.06,2806.421284722222,2806.587490616156
08:30:00,3086.865,2950.625,2926.03,2939.875,2029.046,2496.122,3200.822,3089.604,2839.873625,2945.25,3086.865,2873.0953415178574,2868.4159783728232
08:45:00,3161.387,2948.1,2977.332,2993.899,2106.905,2546.155,3225.918,3128.297,2885.999125,2985.6155,3161.387,2934.390375,2917.3376375528273
09:00:00,3231.811,3033.102,3054.519,3143.887,2126.831,2562.199,3311.632,3226.511,2961.3115000000003,3099.203,3231.811,2927.3924999999995,2867.859460419467
09:15:00,3269.728,3128.001,3113.804,3245.02,2174.227,2540.509,3327.911,3295.546,3011.8432499999994,3186.5105000000003,3269.728,2927.3924999999995,2817.696275607902
09:30:00,3277.652,3139.655,3189.991,3295.759,2185.194,2569.449,3380.148,3265.158,3037.87575,3227.5744999999997,3277.652,2927.3924999999995,2866.5904022294644
09:45:00,3285.793,3190.954,3210.697,3286.432,2187.328,2656.564,3421.798,3368.232,3075.97475,3248.245,3285.793,2927.3924999999995,2913.2630003172912
