Q-JW1-TUE,Q-JW2-TUE,Q-JW3-TUE,Q-JW4-TUE,F-JW1-TUE,F-JW2-TUE,F-JW3-TUE,F-JW4-TUE,Euclidean Barycenter
360.229,336.322,294.48,291.43,62.713,406.542,383.309,411.764,318.348625
365.572,319.533,291.091,278.137,83.801,348.112,366.882,405.862,307.37375000000003
378.224,298.447,305.883,313.667,57.18,358.192,346.831,434.244,311.5835
345.822,284.166,293.016,276.616,57.759,361.097,356.157,431.434,300.758375
385.343,297.29,274.941,310.257,90.412,352.522,328.819,403.924,305.4385
369.506,292.709,296.697,284.074,55.994,340.594,331.653,376.544,293.47137499999997
380.253,301.698,282.09,324.908,61.92,330.501,336.502,338.377,294.53112500000003
356.282,260.52,288.461,304.221,55.971,363.58,308.811,375.756,289.20025
366.736,282.921,273.62,322.236,64.696,324.359,314.333,356.118,288.127375
340.902,287.39,269.671,298.638,30.388,329.291,326.292,351.429,279.25012499999997
357.597,267.487,273.058,302.487,46.432,349.33,335.184,340.317,283.9865
335.36,262.553,272.02,308.011,34.212,311.698,295.271,348.643,270.97099999999995
357.971,264.761,254.746,259.14,34.431,315.428,297.251,323.812,263.4425
329.702,272.723,255.678,301.212,6.862,332.609,302.828,344.733,268.293375
356.009,260.942,255.961,265.813,-3.587,323.088,287.769,328.038,259.254125
324.871,257.094,256.326,279.216,18.323,326.794,313.388,308.002,260.50175
327.216,269.126,274.218,270.188,-1.161,320.938,314.746,318.958,261.77862500000003
322.344,262.363,233.12,290.897,25.24,324.609,356.548,319.51,266.828875
341.478,276.03,260.427,264.532,10.456,324.693,332.991,361.582,271.523625
349.184,225.25,267.9,253.374,25.068,307.296,343.312,354.777,265.770125
320.586,237.432,259.842,265.387,4.087,307.307,305.313,373.947,259.23762500000004
333.068,230.792,231.218,253.562,-4.718,281.358,319.84,348.486,249.20074999999997
357.871,217.817,231.426,263.168,-21.457,285.47,309.423,313.791,244.688625
341.903,209.504,255.624,273.433,1.077,279.587,346.38,303.842,251.41875
320.132,232.792,249.388,250.84,-0.032,322.479,333.303,302.603,251.438125
366.796,241.021,245.082,264.17,6.957,297.252,342.284,313.753,259.664375
285.032,218.649,199.937,201.727,-23.231,281.987,313.662,307.323,223.13574999999997
315.396,204.972,202.162,193.769,-53.793,233.023,332.526,235.704,207.969875
337.679,166.419,183.744,178.398,-64.744,218.262,304.793,251.057,196.951
332.437,198.938,199.267,198.581,-13.826,207.86,330.944,268.249,215.30625
368.68,229.756,242.531,234.186,-19.517,187.209,338.451,319.638,237.61675
417.171,272.194,263.487,310.548,-17.866,227.201,376.857,322.646,271.52975000000004
458.94,347.872,343.186,381.318,4.12,252.359,423.786,393.294,325.60937499999994
499.872,471.208,468.783,396.927,26.304,280.221,484.513,445.333,384.145125
520.594,561.197,487.97,425.023,71.832,269.927,536.566,498.674,421.47287500000004
527.938,444.976,481.042,472.704,147.464,274.438,564.15,522.303,429.376875
579.31,472.313,518.922,572.296,140.359,290.409,589.284,526.086,461.12237500000003
567.476,498.743,616.113,609.531,169.443,262.041,585.379,564.558,484.16050000000007
588.868,541.952,648.377,609.599,166.453,257.759,585.203,540.364,492.32187500000003
575.628,560.948,611.508,593.243,128.773,272.348,606.729,587.899,492.13450000000006
630.332,582.881,626.931,559.63,166.913,362.524,589.353,590.29,513.6067499999999
619.248,562.927,611.519,575.058,169.292,367.986,590.221,638.851,516.88775
626.857,592.494,589.706,592.496,160.589,384.748,596.789,603.888,518.445875
633.626,582.517,607.321,584.117,165.792,348.773,603.664,616.537,517.7933750000001
640.121,611.769,646.947,589.397,162.287,361.639,616.262,642.688,533.88875
645.106,570.579,663.183,565.774,161.152,373.203,595.091,691.849,533.242125
633.234,600.573,689.36,581.537,161.549,377.819,616.772,678.379,542.402875
647.806,588.353,684.064,560.938,160.86,376.603,597.673,673.277,536.1967500000001
663.578,596.693,702.27,568.011,167.014,396.516,605.917,703.746,550.468125
660.108,587.279,671.718,577.912,173.759,386.994,591.917,694.037,542.9655
671.999,582.409,679.304,589.908,174.723,383.516,600.332,663.549,543.2175
657.794,600.619,709.598,594.812,161.633,365.309,601.961,672.862,545.5735
668.694,608.704,717.643,591.779,186.041,350.229,612.783,682.658,552.316375
633.702,590.404,733.76,607.144,183.578,365.832,602.339,675.748,549.063375
691.071,615.242,728.59,610.373,176.867,377.596,582.206,747.011,566.1195
705.61,618.426,727.414,595.64,175.264,383.313,608.429,734.043,568.517375
681.67,615.113,719.166,619.963,186.78,401.167,581.631,742.516,568.50075
692.963,605.916,708.677,612.878,188.16,407.929,601.143,746.603,570.533625
669.67,579.504,728.069,613.249,187.706,416.566,628.697,731.252,569.339125
671.359,592.016,721.691,608.09,194.937,379.179,632.186,740.102,567.445
692.363,587.561,724.834,591.17,196.289,378.157,657.249,738.201,570.728
704.748,593.774,722.011,598.574,183.156,377.177,622.163,672.831,559.30425
721.486,611.394,683.382,625.947,184.878,376.907,635.266,685.959,565.6523750000001
705.813,602.168,689.347,604.94,184.14,377.683,629.969,670.424,558.0605
702.398,610.487,667.22,595.52,197.91,364.874,638.301,641.139,552.2311249999999
637.579,592.383,650.291,583.281,189.094,349.324,619.578,643.632,533.14525
648.289,571.347,618.953,568.452,179.754,338.778,599.287,575.106,512.49575
581.766,535.922,539.068,532.641,174.451,340.189,498.102,545.111,468.40624999999994
572.674,420.232,461.95,510.589,187.007,358.711,452.531,500.247,432.9926249999999
557.446,356.662,468.784,472.132,197.536,359.603,411.75,491.032,414.368125
507.197,346.011,463.476,470.91,195.166,349.982,420.591,464.757,402.26125
475.51,311.643,422.137,457.533,158.103,311.231,378.471,430.399,368.128375
485.182,311.164,428.289,425.759,152.548,307.056,360.482,405.754,359.52925
522.43,310.348,423.812,418.416,96.287,312.657,369.796,429.271,360.37712500000004
520.213,330.296,465.118,463.346,131.106,355.858,418.567,452.014,392.06475
519.772,333.278,432.269,476.496,175.127,373.199,455.267,515.018,410.05325
514.756,312.204,425.422,466.572,157.416,337.466,433.943,504.569,394.04350000000005
479.3,303.116,435.044,437.747,162.881,362.136,434.362,515.39,391.247
492.112,316.629,444.647,439.707,167.454,350.558,473.162,506.749,398.87725
509.263,328.47,432.25,441.834,169.468,368.638,468.532,518.483,404.61725
518.142,307.801,432.148,444.427,163.579,358.72,480.459,502.539,400.97687499999995
533.28,285.797,402.052,401.101,158.314,356.234,471.307,504.987,389.134
529.324,333.513,447.558,439.512,162.547,338.032,486.434,454.613,398.941625
502.237,305.568,455.322,428.796,144.261,345.206,475.512,461.562,389.808
534.757,329.011,474.737,426.322,92.34,362.939,467.784,444.602,391.5615
529.38,325.477,501.156,392.708,89.964,362.457,476.944,458.068,392.01924999999994
499.258,332.264,480.193,381.729,83.343,384.653,478.618,427.822,383.485
466.84,327.984,438.347,387.02,115.132,357.319,470.372,440.667,375.46012499999995
450.663,349.322,340.066,373.497,109.684,405.493,468.367,435.53,366.57775000000004
451.247,296.312,335.701,319.539,116.914,382.114,461.406,456.246,352.43487500000003
450.377,281.928,350.2,301.592,97.124,370.188,468.147,445.576,345.6415
421.966,240.061,320.718,299.543,87.112,397.228,458.342,433.454,332.30300000000005
480.131,225.961,352.724,296.126,100.334,393.488,429.289,455.149,341.65024999999997
430.951,241.09,312.414,271.889,85.358,405.207,437.859,448.62,329.1735
449.998,234.363,328.623,299.87,108.019,383.654,431.856,420.169,332.06899999999996
429.397,234.357,318.481,295.287,98.608,391.154,399.537,420.842,323.457875
