modified_index,P-JW1-WED,P-JW2-WED,P-JW3-WED,P-JW4-WED,P-FW1-WED,P-FW2-WED,P-FW3-WED,P-FW4-WED,Euclidean Barycenter
00:00:00,3014.638,2658.008,2986.427,2937.742,2157.867,2951.861,3109.663,2989.704,2850.7387500000004
00:15:00,2927.678,2634.021,2864.429,2893.417,2064.249,2894.348,3051.881,2927.728,2782.218875
00:30:00,2821.222,2582.411,2842.794,2842.143,2033.866,2879.517,3007.032,2902.727,2738.964
00:45:00,2781.378,2531.903,2788.536,2787.89,1990.081,2783.716,2948.983,2867.238,2684.9656250000003
01:00:00,2710.183,2518.444,2749.343,2707.391,1943.961,2759.737,2929.066,2812.501,2641.32825
01:15:00,2702.99,2450.556,2663.214,2711.63,1912.977,2754.753,2831.27,2763.194,2598.823
01:30:00,2632.858,2427.04,2659.453,2645.472,1899.382,2688.733,2823.585,2804.375,2572.61225
01:45:00,2606.823,2385.948,2653.419,2597.782,1899.148,2682.567,2794.27,2755.851,2546.9759999999997
02:00:00,2600.246,2359.361,2620.427,2606.684,1855.916,2642.516,2744.243,2682.201,2513.94925
02:15:00,2539.589,2340.419,2608.32,2604.212,1821.433,2595.458,2713.595,2653.208,2484.5292499999996
02:30:00,2535.219,2330.343,2582.536,2568.196,1814.189,2604.544,2665.534,2633.022,2466.6978750000003
02:45:00,2523.4,2327.987,2546.972,2565.251,1839.709,2555.883,2673.257,2593.319,2453.2222500000003
03:00:00,2501.18,2295.966,2503.418,2538.969,1783.238,2542.446,2631.08,2562.537,2419.85425
03:15:00,2521.043,2267.97,2511.36,2564.538,1788.417,2524.779,2607.288,2575.922,2420.164625
03:30:00,2469.56,2262.377,2448.088,2510.046,1757.776,2524.923,2575.757,2559.483,2388.5012500000003
03:45:00,2484.679,2236.37,2487.103,2511.375,1780.157,2507.502,2589.024,2534.242,2391.3064999999997
04:00:00,2474.463,2255.07,2458.088,2520.647,1718.527,2492.22,2599.355,2529.35,2380.9649999999997
04:15:00,2484.997,2209.239,2492.319,2486.021,1729.239,2503.855,2589.401,2548.208,2380.409875
04:30:00,2511.901,2232.757,2514.523,2478.355,1759.234,2485.738,2585.922,2573.733,2392.770375
04:45:00,2541.981,2273.544,2539.461,2564.912,1814.013,2565.728,2628.552,2600.047,2441.0297499999997
05:00:00,2530.996,2281.463,2577.419,2566.74,1850.48,2512.19,2679.301,2655.463,2456.7565
05:15:00,2600.048,2387.526,2566.749,2583.069,1836.229,2532.802,2723.587,2640.056,2483.75825
05:30:00,2680.821,2380.391,2604.082,2671.81,1857.657,2553.605,2722.282,2702.994,2521.7052499999995
05:45:00,2758.111,2504.645,2660.859,2724.474,1908.644,2583.847,2772.277,2771.491,2585.5434999999998
06:00:00,2768.063,2583.61,2807.104,2811.962,1988.618,2617.328,2850.198,2849.329,2659.5265
06:15:00,2806.387,2548.601,2833.428,2785.523,1935.904,2624.583,2971.678,2938.768,2680.609
06:30:00,2819.328,2610.391,2820.504,2754.917,1975.972,2654.902,2933.13,2930.228,2687.4215
06:45:00,2807.459,2598.337,2825.986,2732.58,2034.236,2630.263,2929.037,2921.375,2684.909125
07:00:00,2838.656,2633.849,2812.014,2635.865,1969.467,2704.34,2908.921,2891.998,2674.38875
07:15:00,2907.424,2696.222,2826.361,2684.771,2047.486,2692.639,2874.175,2951.963,2710.130125
07:30:00,2901.094,2714.061,2802.885,2747.875,2054.625,2742.526,2971.953,2968.32,2737.917375
07:45:00,2925.379,2624.441,2843.19,2808.28,2021.224,2786.177,2940.548,2954.541,2737.9725000000003
08:00:00,2996.412,2696.337,2892.198,2761.218,2004.777,2865.508,2947.526,2926.767,2761.3428750000003
08:15:00,2966.028,2699.578,2930.689,2881.939,2007.897,3000.728,2970.069,2996.383,2806.663875
