modified_index,Q-JW1-MON,Q-JW2-MON,Q-JW3-MON,Q-JW4-MON,Euclidean Barycenter
00:00:00,376.136,414.236,283.78,276.263,337.60375
00:15:00,363.539,403.842,267.731,312.537,336.91225000000003
00:30:00,369.119,407.159,260.517,319.809,339.151
00:45:00,345.866,404.653,259.089,312.991,330.64975
01:00:00,383.926,406.511,241.862,319.946,338.06125
01:15:00,362.679,413.791,274.08,307.224,339.4435
01:30:00,380.188,399.723,239.081,299.717,329.67725
01:45:00,367.919,421.588,267.46,296.766,338.43325000000004
02:00:00,354.658,423.75,249.633,304.621,333.16549999999995
02:15:00,358.254,397.619,236.381,282.559,318.70325
02:30:00,351.967,371.424,231.672,283.443,309.62649999999996
02:45:00,340.306,379.549,236.456,280.584,309.22375
03:00:00,318.626,381.841,211.868,271.769,296.026
03:15:00,335.822,347.24,220.584,284.98,297.1565
03:30:00,298.176,350.943,259.617,259.268,292.001
03:45:00,294.69,372.742,216.184,274.197,289.45325
04:00:00,308.699,353.646,236.447,266.936,291.432
04:15:00,283.107,351.802,249.407,242.506,281.70550000000003
04:30:00,300.828,342.093,256.04,276.648,293.90225
04:45:00,326.872,378.52,253.162,256.909,303.86575000000005
05:00:00,313.956,331.136,240.662,242.64,282.09850000000006
05:15:00,330.012,314.534,243.512,228.331,279.09725
05:30:00,339.9,328.684,226.086,259.824,288.62350000000004
05:45:00,311.31,282.341,217.194,234.102,261.23675000000003
06:00:00,306.117,289.501,230.588,279.449,276.41375
06:15:00,331.968,287.14,234.462,262.21,278.945
06:30:00,299.681,288.957,175.202,260.703,256.13575
06:45:00,303.05,251.083,152.268,208.46,228.71525000000003
07:00:00,309.897,294.418,167.859,183.317,238.87275000000002
07:15:00,281.852,269.25,226.728,220.611,249.61024999999998
07:30:00,303.602,308.719,233.568,261.163,276.763
07:45:00,320.193,351.263,334.773,289.842,324.01775
08:00:00,403.274,439.211,415.162,334.231,397.9695
08:15:00,438.114,474.219,415.94,382.023,427.57399999999996
08:30:00,476.1,498.17,462.624,416.334,463.307
08:45:00,483.32,539.417,448.753,433.092,476.14549999999997
09:00:00,490.143,568.527,478.647,442.082,494.84975
09:15:00,554.449,588.676,464.481,526.656,533.5654999999999
09:30:00,639.092,591.486,507.558,586.529,581.16625
09:45:00,643.768,630.263,584.52,592.946,612.87425
10:00:00,643.237,610.709,595.117,570.854,604.97925
10:15:00,633.692,642.386,605.682,574.871,614.15775
10:30:00,651.34,662.771,626.713,577.849,629.66825
10:45:00,664.809,682.072,638.353,582.426,641.915
11:00:00,736.483,660.991,640.054,582.36,654.972
11:15:00,708.731,651.668,634.121,607.291,650.45275
11:30:00,710.053,652.542,624.293,658.11,661.2495
11:45:00,698.101,693.072,637.934,642.566,667.91825
12:00:00,696.504,694.407,612.966,653.408,664.32125
12:15:00,677.651,659.378,601.292,619.204,639.3812499999999
12:30:00,729.433,608.561,618.096,612.14,642.0575
12:45:00,692.341,658.407,633.791,594.641,644.7950000000001
13:00:00,715.04,665.332,686.869,619.339,671.645
13:15:00,709.891,669.971,690.368,606.411,669.16025
13:30:00,722.383,689.006,714.921,602.271,682.14525
13:45:00,737.947,697.733,720.213,601.174,689.26675
14:00:00,740.624,704.624,713.63,603.443,690.58025
14:15:00,731.204,704.452,714.402,616.083,691.53525
14:30:00,717.881,707.936,724.68,607.68,689.5442499999999
14:45:00,697.769,700.11,718.497,610.798,681.7935
15:00:00,701.024,696.439,723.614,587.687,677.191
15:15:00,708.682,675.701,751.021,595.891,682.82375
15:30:00,692.113,675.536,765.052,602.413,683.7785
15:45:00,675.663,683.806,754.419,593.371,676.81475
16:00:00,671.804,698.879,760.246,589.828,680.18925
16:15:00,651.46,669.147,703.193,571.293,648.77325
16:30:00,662.606,652.604,577.594,541.778,608.6455000000001
16:45:00,513.104,586.458,569.544,514.93,546.0089999999999
17:00:00,455.278,478.096,492.536,507.096,483.2515
17:15:00,441.043,469.973,509.579,492.377,478.243
17:30:00,431.38,453.111,395.964,457.804,434.56475
17:45:00,387.857,403.888,379.853,430.444,400.5105
18:00:00,391.311,395.683,360.883,432.297,395.0435
18:15:00,433.46,435.113,379.178,440.853,422.151
18:30:00,427.858,436.732,396.803,456.056,429.36225
18:45:00,425.261,423.768,450.127,445.653,436.20225
19:00:00,423.404,416.996,464.967,448.204,438.39275
19:15:00,440.713,409.407,451.668,441.479,435.81675
19:30:00,421.593,432.347,479.928,435.882,442.4375
19:45:00,438.813,410.958,454.803,443.211,436.94625
20:00:00,430.461,423.904,464.263,450.873,442.37525
20:15:00,424.558,429.186,440.731,462.306,439.19525
20:30:00,416.27,430.164,460.391,459.002,441.45675
20:45:00,420.06,477.063,452.631,471.318,455.268
21:00:00,441.508,457.867,477.926,483.258,465.13975
21:15:00,422.923,447.721,380.13,498.166,437.23499999999996
21:30:00,424.823,436.3,326.009,416.617,400.93725
21:45:00,458.49,474.171,352.237,349.697,408.64875000000006
22:00:00,455.299,445.65,350.777,313.698,391.356
22:15:00,425.493,488.434,336.65,346.966,399.38575000000003
22:30:00,414.087,478.464,338.062,314.609,386.30549999999994
22:45:00,400.17,470.351,310.382,308.791,372.4235
23:00:00,374.276,418.637,304.682,288.818,346.60325
23:15:00,394.536,342.99,294.928,315.488,336.98550000000006
23:30:00,383.209,321.154,316.132,271.11,322.90125
23:45:00,384.464,333.224,291.447,298.622,326.93925
