modified_index,Q-JW1-SAT,Q-JW2-SAT,Q-JW3-SAT,Q-JW4-SAT,Euclidean Barycenter
00:00:00,320.969,370.513,367.13,287.7,336.57800000000003
00:15:00,321.771,383.284,353.989,298.649,339.42325000000005
00:30:00,304.677,344.769,339.713,307.946,324.27625
00:45:00,293.27,353.804,341.296,333.644,330.5035
01:00:00,291.497,382.472,318.364,75.73,267.01575
01:15:00,270.879,376.252,330.984,49.553,256.91700000000003
01:30:00,313.218,366.053,304.717,59.142,260.78249999999997
01:45:00,298.518,344.407,287.457,66.271,249.16324999999998
02:00:00,289.744,364.894,316.393,54.577,256.402
02:15:00,290.373,326.688,284.009,28.173,232.31074999999998
02:30:00,282.693,314.119,314.744,52.406,240.9905
02:45:00,287.81,327.011,272.388,20.133,226.83550000000002
03:00:00,279.033,298.964,292.693,37.559,227.06225
03:15:00,274.903,267.12,275.467,11.87,207.34
03:30:00,271.586,275.05,279.18,40.033,216.46225
03:45:00,270.833,279.902,310.016,12.008,218.18975
04:00:00,260.89,265.729,273.444,27.426,206.87224999999998
04:15:00,265.58,268.472,286.846,20.892,210.4475
04:30:00,278.132,257.342,293.012,29.58,214.51649999999998
04:45:00,254.757,255.719,276.41,30.73,204.404
05:00:00,249.041,286.113,265.298,19.21,204.9155
05:15:00,264.31,237.137,284.959,19.881,201.57174999999998
05:30:00,261.497,263.24,303.376,0.89,207.25075
05:45:00,288.852,263.439,288.136,36.896,219.33074999999997
06:00:00,274.283,285.704,312.478,37.228,227.42325000000002
06:15:00,258.401,292.751,311.793,52.031,228.744
06:30:00,255.88,200.827,278.432,-2.347,183.198
06:45:00,227.446,162.984,280.352,-7.072,165.92749999999998
07:00:00,229.263,154.513,255.11,-20.138,154.68699999999998
07:15:00,237.464,178.262,308.195,-8.781,178.78500000000003
07:30:00,233.61,217.466,245.108,4.272,175.114
07:45:00,275.288,221.201,283.678,23.951,201.0295
08:00:00,308.656,287.576,300.33,23.751,230.07824999999997
08:15:00,359.102,294.094,369.663,50.203,268.2655
08:30:00,372.446,392.22,374.619,42.314,295.39975000000004
08:45:00,478.389,392.528,416.279,36.731,330.98175
09:00:00,484.91,387.379,412.603,106.31,347.8005
09:15:00,526.943,413.293,426.679,108.211,368.7815
09:30:00,528.256,447.138,525.663,123.234,406.07275
09:45:00,548.88,446.533,535.769,123.64,413.70550000000003
10:00:00,526.452,500.908,547.711,143.979,429.76250000000005
10:15:00,547.047,488.268,516.293,143.347,423.73875000000004
10:30:00,562.246,522.243,523.622,139.392,436.87575
10:45:00,637.036,555.846,533.431,132.483,464.699
11:00:00,639.911,578.43,548.852,161.167,482.0899999999999
11:15:00,645.157,591.321,547.751,154.234,484.61575
11:30:00,645.586,592.624,568.811,150.797,489.45450000000005
11:45:00,653.252,592.094,561.97,153.983,490.32475
12:00:00,644.828,600.701,536.93,157.701,485.03999999999996
12:15:00,636.271,582.189,525.977,162.459,476.724
12:30:00,637.808,595.03,529.874,152.77,478.8705
12:45:00,647.813,589.679,539.967,165.043,485.6255
13:00:00,634.519,611.893,548.344,160.201,488.73925
13:15:00,630.024,594.099,571.95,160.884,489.23925
13:30:00,642.624,584.647,536.629,169.081,483.24525
13:45:00,652.153,599.861,545.518,198.79,499.08050000000003
14:00:00,616.9,576.532,530.91,186.048,477.5975
14:15:00,631.826,555.502,496.63,176.937,465.22375
14:30:00,610.159,587.88,491.102,199.577,472.1795
14:45:00,610.121,561.553,493.188,195.669,465.13275000000004
15:00:00,621.876,547.079,504.284,184.112,464.33775
15:15:00,590.58,519.784,527.61,190.689,457.16575000000006
15:30:00,586.81,523.493,485.022,173.426,442.18774999999994
15:45:00,582.998,503.621,468.311,193.669,437.14975000000004
16:00:00,619.04,486.347,459.612,179.421,436.105
16:15:00,624.476,502.567,469.074,189.337,446.36350000000004
16:30:00,612.299,490.558,431.521,180.53,428.727
16:45:00,604.862,451.543,366.828,159.733,395.7415
17:00:00,566.182,457.159,359.58,172.249,388.7925
17:15:00,570.199,440.838,365.849,182.168,389.7635
17:30:00,588.95,454.348,352.21,173.073,392.14525000000003
17:45:00,515.403,438.437,336.772,164.258,363.71750000000003
18:00:00,500.891,421.633,356.641,142.369,355.38349999999997
18:15:00,520.562,435.529,337.662,152.521,361.5685
18:30:00,524.394,479.122,402.619,166.812,393.23675000000003
18:45:00,494.76,439.782,375.443,164.001,368.49649999999997
19:00:00,487.718,442.3,344.649,139.201,353.467
19:15:00,491.038,436.18,360.864,106.758,348.71000000000004
19:30:00,513.777,419.747,410.618,146.268,372.6025
19:45:00,509.911,435.722,424.686,129.193,374.878
20:00:00,503.799,386.637,424.75,162.634,369.455
20:15:00,536.02,428.161,402.719,137.838,376.1845
20:30:00,515.972,409.166,420.547,162.94,377.15625
20:45:00,532.164,399.247,419.683,114.791,366.47125
21:00:00,531.122,393.088,430.649,133.986,372.21124999999995
21:15:00,520.647,415.742,433.467,110.589,370.11125000000004
21:30:00,545.79,326.411,437.062,109.844,354.77675
21:45:00,509.397,325.953,410.901,98.186,336.10925
22:00:00,518.113,329.603,437.896,94.15,344.94050000000004
22:15:00,423.673,313.451,360.467,99.802,299.34824999999995
22:30:00,422.122,305.243,270.846,104.64,275.71275
22:45:00,400.651,297.608,276.776,98.83,268.46625
23:00:00,427.474,328.373,267.742,86.968,277.63925
23:15:00,375.94,303.899,309.443,121.431,277.67825
23:30:00,401.116,325.102,297.102,113.271,284.14775
23:45:00,382.072,317.732,300.976,95.508,274.072
