modified_index,P-JW1-SUN,P-JW2-SUN,P-JW3-SUN,P-JW4-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,3082.161,2889.863,2817.458,2135.992,2731.3685,2853.6605,3082.161,2855.181659090909,2855.0226637636742
00:15:00,3002.023,2831.269,2772.178,2109.343,2678.7032499999996,2801.7235,3002.023,2661.9886607142853,2642.5736539602176
00:30:00,2980.23,2741.191,2743.66,2046.676,2627.93925,2742.4255,2980.23,2538.05571875,2496.5534943756757
00:45:00,2915.397,2737.191,2688.913,2045.269,2596.6925,2713.0519999999997,2915.397,2476.015274193548,2352.3038066271224
01:00:00,2874.862,2708.741,2662.474,1999.159,2561.309,2685.6075,2874.862,2358.0488088235293,2253.4726750449645
01:15:00,2822.138,2715.091,2630.625,1970.389,2534.5607499999996,2672.858,2822.138,2318.6910156249996,2223.9469997426427
01:30:00,2813.431,2711.502,2586.702,1947.837,2514.868,2649.102,2813.431,2250.2754852941175,2225.9625060426
01:45:00,2741.184,2625.723,2556.267,1939.401,2465.64375,2590.995,2741.184,2232.4775714285715,2224.906693718755
02:00:00,2690.642,2595.004,2589.204,1900.359,2443.80225,2592.1040000000003,2690.642,2232.4775714285715,2225.1092004833354
02:15:00,2639.251,2545.858,2502.135,1836.211,2380.86375,2523.9965,2639.251,2232.4775714285715,2225.7753603893657
02:30:00,2649.577,2505.575,2527.432,1852.391,2383.74375,2516.5035,2649.577,2232.4775714285715,2222.240788143019
02:45:00,2611.792,2449.456,2497.078,1870.782,2357.2769999999996,2473.267,2611.792,2232.4775714285715,2226.098500964488
03:00:00,2585.349,2413.246,2437.778,1826.439,2315.703,2425.5119999999997,2585.349,2232.4775714285715,2227.815377835788
03:15:00,2554.952,2419.28,2471.701,1816.752,2315.67125,2445.4905,2554.952,2232.4775714285715,2226.324015854338
03:30:00,2541.342,2350.605,2391.518,1794.969,2269.6085000000003,2371.0615,2541.342,2232.4775714285715,2226.2597212097617
03:45:00,2540.214,2327.666,2398.625,1826.219,2273.181,2363.1455,2540.214,2232.4775714285715,2226.1916972521035
04:00:00,2479.438,2353.587,2345.597,1799.731,2244.58825,2349.592,2479.438,2232.4775714285715,2226.8908171468224
04:15:00,2497.368,2309.648,2381.905,1814.03,2250.7377500000002,2345.7765,2497.368,2232.4775714285715,2226.4678541392536
04:30:00,2459.662,2306.301,2317.51,1832.654,2229.03175,2311.9055,2459.662,2232.4775714285715,2226.3131517525476
04:45:00,2517.442,2337.286,2384.659,1861.247,2275.1585,2360.9725,2517.442,2232.4775714285715,2225.4528971418704
05:00:00,2531.643,2344.625,2403.547,1843.256,2280.76775,2374.0860000000002,2531.643,2232.4775714285715,2224.9068308864707
05:15:00,2512.359,2348.77,2335.046,1730.124,2231.5747499999998,2341.908,2512.359,2232.4775714285715,2227.164591213531
05:30:00,2514.948,2352.717,2365.96,1780.681,2253.5765,2359.3385,2514.948,2232.4775714285715,2226.15873074103
05:45:00,2503.865,2339.692,2368.633,1783.094,2248.821,2354.1625,2503.865,2232.4775714285715,2226.4792695030656
06:00:00,2545.279,2343.08,2397.031,1839.582,2281.243,2370.0555,2545.279,2232.4775714285715,2228.073416346498
06:15:00,2440.585,2369.138,2374.622,1733.365,2229.4275,2371.88,2440.585,2232.4775714285715,2235.5592640766113
06:30:00,2342.371,2216.338,2288.233,1706.46,2138.3505000000005,2252.2855,2342.371,2225.304642857143,2226.9171852513223
06:45:00,2310.16,2149.843,2254.307,1704.698,2104.752,2202.075,2310.16,2157.2557,2156.862368985856
07:00:00,2278.736,2134.219,2235.828,1740.436,2097.30475,2185.0235000000002,2278.736,1890.5183397435894,1889.6831692660735
07:15:00,2322.968,2199.449,2242.464,1705.377,2117.5645,2220.9565000000002,2322.968,2168.35428125,2168.734643712584
07:30:00,2353.627,2231.663,2292.86,1752.868,2157.7545,2262.2615,2353.627,2247.9842499999995,2252.204978525475
07:45:00,2413.179,2262.711,2318.798,1768.748,2190.859,2290.7545,2413.179,2258.320392857143,2287.678299791122
08:00:00,2471.207,2316.873,2343.714,1827.331,2239.78125,2330.2934999999998,2471.207,2304.870725,2313.272002458036
08:15:00,2496.678,2342.538,2461.72,1850.611,2287.88675,2402.129,2496.678,2347.5401129032252,2347.5761544264565
08:30:00,2608.572,2476.365,2554.901,1907.718,2386.889,2515.633,2608.572,2438.60678125,2436.0489821662836
08:45:00,2688.377,2526.547,2584.501,1944.772,2436.04925,2555.5240000000003,2688.377,2483.915857142857,2481.118299917059
