modified_index,P-JW1-THU,P-JW2-THU,P-JW3-THU,P-JW4-THU,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,2947.298,2889.853,2734.038,2946.704,2879.47325,2918.2785000000003,2947.298,2891.1916590909095,2891.415507055125
00:15:00,2902.763,2826.231,2704.312,2881.016,2828.5805,2853.6235,2902.763,2791.8807000000006,2792.0290037998216
00:30:00,2784.637,2819.613,2619.314,2753.968,2744.383,2769.3025,2784.637,2745.0475,2745.7434851284156
00:45:00,2808.9,2734.671,2602.941,2754.238,2725.1875,2744.4545,2808.9,2739.5547142857145,2739.549427726763
01:00:00,2751.774,2710.816,2579.849,2734.984,2694.35575,2722.8999999999996,2751.774,2709.4233055555555,2709.4359564184747
01:15:00,2720.948,2645.12,2520.714,2670.682,2639.366,2657.901,2720.948,2645.5096249999997,2645.4123129774916
01:30:00,2687.773,2588.152,2521.857,2669.532,2616.8285,2628.842,2687.773,2626.2495,2626.212169306931
01:45:00,2631.081,2583.618,2461.354,2611.48,2571.88325,2597.549,2631.081,2591.54578125,2591.6357028021434
02:00:00,2596.491,2544.553,2478.847,2595.241,2553.783,2569.897,2596.491,2561.491454545455,2561.4996910089076
02:15:00,2563.827,2515.422,2448.672,2573.588,2525.37725,2539.6245,2563.827,2520.770964285714,2520.6249627678276
02:30:00,2541.956,2490.234,2448.551,2519.953,2500.1735,2505.0935,2541.956,2505.7738571428567,2506.8594118522856
02:45:00,2571.585,2423.046,2461.821,2507.546,2490.9995,2484.6835,2571.585,2515.1928571428566,2514.65692456128
03:00:00,2512.153,2436.194,2390.641,2485.861,2456.2122499999996,2461.0275,2512.153,2478.639727272727,2478.995171919225
03:15:00,2495.734,2419.11,2398.875,2490.615,2451.0834999999997,2454.8625,2495.734,2449.661392857143,2449.5419248264407
03:30:00,2528.129,2349.739,2384.385,2478.478,2435.18275,2431.4315,2528.129,2449.9089999999997,2449.929058999932
