modified_index,P-JW1-WED,P-JW2-WED,P-JW3-WED,P-JW4-WED,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,3014.638,2658.008,2986.427,2937.742,2899.20375,2962.0845,3014.638,2918.2215681818184,2914.052606111797
00:15:00,2927.678,2634.021,2864.429,2893.417,2829.88625,2878.923,2927.678,2813.92334375,2805.6983287521143
00:30:00,2821.222,2582.411,2842.794,2842.143,2772.1425,2831.6825,2821.222,2764.852357142857,2760.0866667355676
00:45:00,2781.378,2531.903,2788.536,2787.89,2722.42675,2784.634,2781.378,2709.4745357142856,2698.945131985009
01:00:00,2710.183,2518.444,2749.343,2707.391,2671.34025,2708.7870000000003,2710.183,2684.7534642857145,2684.2824030657016
01:15:00,2702.99,2450.556,2663.214,2711.63,2632.0975,2683.102,2702.99,2641.1679375,2636.7302116454102
01:30:00,2632.858,2427.04,2659.453,2645.472,2591.20575,2639.165,2632.858,2602.7686590909093,2601.2021562020705
01:45:00,2606.823,2385.948,2653.419,2597.782,2560.993,2602.3025,2606.823,2585.2487499999997,2585.2004739190647
02:00:00,2600.246,2359.361,2620.427,2606.684,2546.6795,2603.465,2600.246,2548.6191000000003,2548.471265018945
02:15:00,2539.589,2340.419,2608.32,2604.212,2523.1349999999998,2571.9004999999997,2539.589,2531.097142857143,2529.346277655191
02:30:00,2535.219,2330.343,2582.536,2568.196,2504.0735,2551.7075,2535.219,2515.7647500000003,2506.714697053133
02:45:00,2523.4,2327.987,2546.972,2565.251,2490.9025,2535.186,2523.4,2507.14485,2513.084041739519
03:00:00,2501.18,2295.966,2503.418,2538.969,2459.88325,2502.299,2501.18,2462.63175,2463.4260172284244
03:15:00,2521.043,2267.97,2511.36,2564.538,2466.22775,2516.2015,2521.043,2447.8770555555557,2448.15524654824
03:30:00,2469.56,2262.377,2448.088,2510.046,2422.51775,2458.824,2469.56,2344.0573636363633,2343.466500391107
03:45:00,2484.679,2236.37,2487.103,2511.375,2429.88175,2485.891,2484.679,2475.642571428571,2475.7402592380668
