Q-JW1-WED,Q-JW2-WED,Q-JW3-WED,Q-JW4-WED,Euclidean Barycenter
3672.594,3017.858,3406.912,3218.206,3328.8925
3460.209,3003.206,3356.628,3083.264,3225.82675
3465.649,2950.212,3377.105,3037.807,3207.6932500000003
3389.365,2935.458,3411.22,3041.592,3194.40875
3427.241,2918.315,3311.678,3080.929,3184.54075
3315.883,2867.843,3356.007,3042.234,3145.49175
3330.464,2853.443,3201.139,2959.375,3086.10525
3364.331,2885.793,3287.804,2974.514,3128.1105
3298.199,2872.263,3209.776,2967.737,3086.9937499999996
3289.121,2843.913,3212.571,2979.173,3081.1944999999996
3295.76,2888.975,3209.24,3038.919,3108.2235
3329.64,2832.441,3195.58,2968.506,3081.54175
3249.858,2814.185,3070.667,3042.571,3044.3202499999998
3322.291,2806.077,3064.878,2962.094,3038.835
3138.405,2819.819,3146.145,2989.495,3023.4660000000003
3149.666,2816.507,3073.506,2969.881,3002.39
3126.671,2781.746,3040.856,2868.919,2954.548
3134.809,2841.538,3148.623,2878.027,3000.74925
3221.944,2814.678,3116.883,2928.005,3020.3774999999996
3144.231,2749.256,3133.666,2893.388,2980.1352500000003
3191.727,2853.205,3145.673,2956.388,3036.7482499999996
3378.112,2816.754,3258.363,3035.696,3122.23125
3380.299,2796.44,3234.919,3152.579,3141.05925
3356.446,2866.841,3227.256,3120.079,3142.6555
3269.224,2982.447,3240.343,3113.475,3151.37225
3226.0,2869.098,3217.931,3016.929,3082.4895
2975.733,2641.059,3011.523,2747.199,2843.8785000000003
2977.228,2595.717,2890.698,2737.512,2800.28875
2988.579,2683.41,2910.591,2813.92,2849.125
3030.268,2758.151,2875.32,2761.956,2856.42375
3099.621,2759.359,3065.401,2897.317,2955.4245
3176.417,2934.443,3054.768,2876.035,3010.41575
3323.497,2940.222,3398.866,3385.715,3262.075
3501.16,2868.609,3456.535,3396.386,3305.6725
3561.31,3549.809,3579.283,3480.654,3542.764
3675.172,3691.869,3865.695,3478.965,3677.9252500000002
3765.71,3827.267,3926.166,3485.801,3751.236
3817.412,3886.019,3986.662,3649.799,3834.973
3810.241,3837.626,3997.982,3938.26,3896.02725
3828.973,3868.859,4058.919,3968.311,3931.2655
3874.16,3905.188,4022.495,4000.846,3950.67225
3896.019,3998.652,3992.228,3960.013,3961.728
3913.698,3988.908,4096.132,4001.212,3999.9874999999997
3955.175,4014.61,4126.543,3982.953,4019.8202499999998
3983.707,4045.857,4066.696,4044.253,4035.12825
3954.11,4017.764,4049.443,4011.429,4008.1865
3923.777,4206.283,4093.126,3952.883,4044.0172500000003
3776.919,4168.414,3996.786,3941.103,3970.8054999999995
3678.719,4192.332,4017.105,3910.447,3949.6507500000002
3847.851,4231.892,4128.875,4180.919,4097.38425
3853.589,4194.64,4095.059,4238.365,4095.41325
3920.616,4310.32,4177.545,4215.477,4155.9895
3962.079,4250.036,4197.637,4269.365,4169.77925
3977.547,4257.323,4141.515,4307.528,4170.97825
4038.362,4338.764,4175.911,4310.398,4215.85875
4016.622,4359.218,4115.523,4353.095,4211.114500000001
3947.77,4326.198,4123.913,4345.004,4185.7212500000005
3906.011,4323.741,4101.278,4367.617,4174.66175
3880.668,4293.53,4157.859,4362.337,4173.5985
3801.545,4340.375,4041.303,4290.565,4118.447
3845.158,4387.862,4040.332,4250.312,4130.916
3867.699,4420.93,3981.208,4347.326,4154.29075
3857.696,4313.505,3996.632,4235.816,4100.91225
3986.476,4377.576,4043.964,4329.42,4184.359
3929.117,4374.935,3866.485,4234.307,4101.211
3899.181,4343.135,3918.391,4221.083,4095.4475
3853.814,3907.322,3880.326,4178.629,3955.02275
3728.681,3854.598,3952.81,3875.521,3852.9025
3735.401,3806.911,3777.885,3691.121,3752.8295
3688.963,3686.422,3636.264,3660.604,3668.06325
3729.757,3671.465,3697.456,3634.829,3683.37675
3691.349,3662.17,3586.932,3521.447,3615.4745000000003
3802.189,3810.739,3661.804,3656.169,3732.72525
4089.598,4086.323,3901.765,3755.462,3958.287
4141.332,4235.764,4051.609,4277.197,4176.4755000000005
4142.533,4317.106,3971.641,4151.122,4145.6005
4109.348,4281.495,3974.421,4221.307,4146.64275
4138.179,4212.788,3900.421,4159.208,4102.649
4071.434,4208.496,3920.672,4069.088,4067.4225
4131.977,4258.029,3873.983,4041.584,4076.39325
4082.862,4199.338,3818.553,4099.37,4050.03075
3908.41,4050.689,3750.658,3901.978,3902.93375
4005.02,4117.948,3628.792,3948.168,3924.982
3980.667,4119.545,3550.931,3943.462,3898.65125
3921.718,4033.102,3490.22,3884.532,3832.393
3862.562,3902.734,3501.29,3799.112,3766.4245
3890.138,3514.295,3470.314,3855.48,3682.5567499999997
3563.049,3483.412,3272.464,3687.114,3501.5097499999997
3493.202,3524.647,3352.643,3503.608,3468.525
3474.337,3508.499,3416.424,3516.259,3478.8797499999996
3544.996,3475.594,3346.092,3475.006,3460.422
3476.599,3490.408,3322.451,3476.617,3441.5187499999997
3415.349,3475.786,3291.954,3444.078,3406.79175
3382.953,3399.085,3342.896,3505.356,3407.5725
3391.1,3332.86,3272.691,3193.03,3297.42025
3423.017,3246.037,3202.623,3215.239,3271.729
