modified_index,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
00:00:00,2945.472,2780.089,2986.427,2734.038,2972.369,2953.527,2817.458,2884.1971428571424,2945.472,2945.472,2901.39378021978,2901.4676849023126
00:15:00,2861.467,2731.487,2864.429,2704.312,2974.052,2907.961,2772.178,2830.8408571428567,2861.467,2861.467,2832.475071428571,2832.3986825686175
00:30:00,2807.175,2680.746,2842.794,2619.314,2871.585,2852.779,2743.66,2774.0075714285713,2807.175,2807.175,2782.958582417583,2782.9742602048223
00:45:00,2778.808,2625.071,2788.536,2602.941,2864.257,2818.615,2688.913,2738.163,2778.808,2778.808,2745.81525,2745.807140832077
01:00:00,2733.635,2572.112,2749.343,2579.849,2807.604,2764.06,2662.474,2695.5824285714284,2733.635,2733.635,2691.242956043957,2691.01136612847
01:15:00,2751.574,2554.597,2663.214,2520.714,2766.959,2782.08,2630.625,2667.109,2663.214,2751.574,2665.960818181818,2665.7957670666365
01:30:00,2685.623,2506.229,2659.453,2521.857,2700.929,2694.056,2586.702,2622.121285714286,2659.453,2685.623,2626.2393285714284,2626.146867040776
01:45:00,2705.851,2486.056,2653.419,2461.354,2712.244,2622.977,2556.267,2599.738285714286,2622.977,2705.851,2618.9494285714286,2619.040103384645
02:00:00,2650.358,2450.052,2620.427,2478.847,2643.831,2618.307,2589.204,2578.7180000000003,2618.307,2650.358,2591.5011758241762,2592.4153080877436
02:15:00,2630.601,2402.022,2608.32,2448.672,2637.679,2544.276,2502.135,2539.1007142857147,2544.276,2630.601,2545.0080595238096,2549.4135118000377
02:30:00,2604.875,2417.165,2582.536,2448.551,2556.32,2563.919,2527.432,2528.6854285714285,2556.32,2604.875,2554.6385714285716,2559.971848723251
02:45:00,2597.639,2389.768,2546.972,2461.821,2598.707,2499.597,2497.078,2513.0831428571432,2499.597,2597.639,2509.4894591836733,2509.0689863701195
03:00:00,2547.531,2370.558,2503.418,2390.641,2545.602,2496.903,2437.778,2470.3472857142856,2496.903,2547.531,2483.1612436974788,2510.8220467294555
03:15:00,2546.615,2363.537,2511.36,2398.875,2519.373,2470.062,2471.701,2468.789,2471.701,2546.615,2509.0131530612243,2496.9809909778737
03:30:00,2564.407,2347.642,2448.088,2384.385,2486.824,2474.375,2391.518,2442.4627142857144,2448.088,2564.407,2460.802428571428,2461.9611315815037
03:45:00,2506.512,2333.599,2487.103,2372.563,2453.378,2485.919,2398.625,2433.957,2453.378,2506.512,2465.1725,2465.2970425434323
04:00:00,2507.301,2352.541,2458.088,2372.196,2450.645,2444.471,2345.597,2418.6912857142856,2444.471,2507.301,2371.922461038961,2371.6139753312623
04:15:00,2504.819,2325.673,2492.319,2378.918,2458.474,2468.833,2381.905,2430.1344285714285,2458.474,2504.819,2453.914912087912,2454.0346768571562
04:30:00,2514.648,2338.371,2514.523,2392.223,2496.078,2455.732,2317.51,2432.7264285714286,2455.732,2514.648,2473.973792207792,2474.160443698191
04:45:00,2574.72,2417.2,2539.461,2386.999,2522.316,2482.997,2384.659,2472.621714285714,2482.997,2574.72,2488.5804714285714,2490.754175264645
05:00:00,2564.088,2447.239,2577.419,2423.358,2563.774,2476.998,2403.547,2493.7747142857143,2476.998,2564.088,2488.8599714285715,2488.773631573774
05:15:00,2629.996,2443.859,2566.749,2473.272,2599.329,2500.698,2335.046,2506.9927142857146,2500.698,2629.996,2529.4128831168837,2529.5804472126297
05:30:00,2671.329,2516.066,2604.082,2545.308,2635.841,2535.669,2365.96,2553.465,2545.308,2671.329,2570.497,2570.5678436359367
05:45:00,2713.637,2597.893,2660.859,2607.637,2711.13,2536.79,2368.633,2599.5112857142863,2607.637,2713.637,2609.6271285714283,2609.5959106934542
06:00:00,2795.564,2686.138,2807.104,2681.74,2786.902,2558.032,2397.031,2673.2158571428567,2686.138,2795.564,2674.630285714286,2675.2749471307206
06:15:00,2828.996,2706.692,2833.428,2778.767,2764.926,2515.206,2374.622,2686.091,2764.926,2828.996,2674.630285714286,2665.2081180855744
06:30:00,2739.064,2698.033,2820.504,2717.612,2776.546,2453.689,2288.233,2641.9544285714287,2717.612,2739.064,2675.9178000000006,2681.3983495946527
06:45:00,2704.646,2702.709,2825.986,2733.079,2751.417,2469.712,2254.307,2634.5508571428572,2704.646,2704.646,2665.2689230769233,2685.20394070558
07:00:00,2743.234,2682.869,2812.014,2753.751,2775.812,2434.522,2235.828,2634.004285714286,2743.234,2743.234,2681.4227285714287,2681.4391094810585
07:15:00,2783.938,2734.075,2826.361,2769.768,2831.751,2465.939,2242.464,2664.8994285714284,2769.768,2783.938,2681.4227285714287,2681.3730968729737
07:30:00,2832.663,2754.956,2802.885,2700.263,2832.298,2445.034,2292.86,2665.8512857142855,2754.956,2832.663,2690.00343956044,2682.6160782058023
07:45:00,2901.835,2753.115,2843.19,2741.483,2868.731,2549.37,2318.798,2710.931714285714,2753.115,2901.835,2725.918864661654,2724.7060606315017
08:00:00,2937.23,2793.99,2892.198,2775.844,2814.314,2587.433,2343.714,2734.960428571428,2793.99,2937.23,2765.099015873016,2765.1390390228858
08:15:00,2873.197,2903.461,2930.689,2847.764,2968.819,2632.892,2461.72,2802.648857142857,2873.197,2873.197,2824.2661680672268,2825.921938211607
08:30:00,2971.042,2926.03,3021.09,2886.602,3011.86,2699.246,2554.901,2867.253,2926.03,2971.042,2882.8938125,2884.6883758221575
08:45:00,2996.163,2977.332,3099.269,2929.093,3129.406,2843.35,2584.501,2937.0162857142855,2977.332,2996.163,2953.727328571429,2953.809025631751
09:00:00,2997.776,3054.519,3187.18,2982.146,3150.325,2885.703,2587.492,2977.8772857142862,2997.776,2997.776,2985.8525604395604,2985.907272613192
09:15:00,3041.752,3113.804,3241.514,3097.013,3170.913,2968.526,2587.298,3031.5457142857135,3097.013,3041.752,3016.2112084942087,3016.0848517640216
09:30:00,3117.51,3189.991,3317.345,3021.808,3275.385,3137.343,2680.467,3105.692714285714,3137.343,3117.51,3118.851670329671,3118.9834604526495
09:45:00,3225.259,3210.697,3373.91,2996.272,3309.074,3119.459,2687.039,3131.672857142857,3210.697,3225.259,3146.471738095239,3146.4298587695666
10:00:00,3292.317,3264.29,3433.593,3108.418,3350.216,3125.567,2699.773,3182.024857142857,3264.29,3292.317,3195.4608857142857,3195.3724876253978
10:15:00,3345.968,3282.789,3454.331,3149.539,3389.274,3096.49,2808.122,3218.073285714286,3282.789,3345.968,3229.958555555556,3228.905611675035
10:30:00,3386.151,3281.442,3484.121,3164.855,3404.906,3179.115,2837.039,3248.232714285714,3281.442,3386.151,3266.9201142857146,3265.366519748983
10:45:00,3407.607,3327.791,3491.181,3131.217,3347.974,3202.52,2854.521,3251.830142857143,3327.791,3407.607,3276.1844047619043,3276.204484039369
11:00:00,3437.997,3411.19,3507.128,3183.175,3408.609,3274.823,2855.797,3296.9598571428573,3408.609,3437.997,3327.1028285714283,3327.174969395681
11:15:00,3441.075,3410.578,3477.94,3257.899,3398.339,3261.992,3008.986,3322.401285714285,3398.339,3441.075,3336.328542857143,3337.2758446099974
11:30:00,3433.232,3477.963,3509.857,3317.082,3470.218,3261.977,2970.875,3348.7434285714285,3433.232,3433.232,3337.5463896103897,3336.321925182583
11:45:00,3466.27,3497.677,3458.396,3341.855,3463.403,3238.426,2984.208,3350.033571428571,3458.396,3466.27,3376.431457142857,3376.4714903119793
12:00:00,3484.95,3490.47,3470.319,3384.776,3486.605,3117.421,3004.502,3348.434714285714,3470.319,3484.95,3375.3432571428566,3375.4795853984083
12:15:00,3474.125,3516.461,3533.835,3410.561,3413.986,3169.027,3048.524,3366.6455714285707,3413.986,3474.125,3375.3432571428566,3375.0584589784494
12:30:00,3505.773,3589.682,3528.12,3472.41,3369.425,3233.422,3079.368,3396.8857142857137,3472.41,3505.773,3376.906457142857,3375.827250689149
12:45:00,3558.214,3647.639,3566.331,3424.355,3390.042,3232.28,3108.744,3418.2292857142857,3424.355,3558.214,3371.2132571428574,3375.022796569651
13:00:00,3554.927,3687.288,3580.798,3463.172,3465.173,3292.489,3137.746,3454.5132857142858,3465.173,3554.927,3377.2767571428567,3373.4922886802324
13:15:00,3543.283,3687.833,3543.41,3510.441,3459.942,3291.021,3093.794,3447.103428571429,3510.441,3543.283,3383.5649714285714,3376.420773054436
13:30:00,3606.75,3715.811,3479.268,3528.145,3489.638,3268.646,3098.03,3455.184,3489.638,3606.75,3433.14169924812,3373.289382122369
13:45:00,3622.484,3693.05,3406.889,3571.71,3485.937,3288.42,3105.737,3453.461,3485.937,3622.484,3404.916828571429,3379.4510601719644
14:00:00,3611.607,3685.46,3429.167,3526.682,3511.946,3244.891,3082.04,3441.6847142857146,3511.946,3611.607,3401.398844155844,3431.6495253801054
14:15:00,3617.347,3636.339,3487.657,3566.532,3505.599,3190.362,3093.625,3442.494428571429,3505.599,3617.347,3502.047349753695,3505.6928531719836
14:30:00,3656.537,3676.066,3464.615,3536.143,3604.319,3154.875,3047.508,3448.580428571429,3536.143,3656.537,3622.358477088949,3622.54829902094
14:45:00,3639.516,3674.693,3468.41,3571.402,3597.121,3151.38,2996.524,3442.7208571428573,3571.402,3639.516,3451.5527942857143,3452.275951621886
15:00:00,3642.814,3639.553,3399.723,3548.709,3564.966,3156.502,2993.604,3420.838714285714,3548.709,3642.814,3400.8027362637363,3400.3743292960044
15:15:00,3695.308,3646.182,3349.954,3505.764,3548.99,3173.417,2993.023,3416.0911428571426,3505.764,3695.308,3395.145657142857,3394.5083387406785
15:30:00,3736.38,3668.554,3346.814,3524.229,3486.157,3070.543,2995.135,3403.9731428571426,3486.157,3736.38,3395.145657142857,3394.756396492397
