modified_index,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,Euclidean Barycenter
00:00:00,2906.976,2834.559,2937.742,2946.704,2889.45,2871.87,2135.992,2789.0418571428568
00:15:00,2888.302,2783.538,2893.417,2881.016,2828.365,2871.052,2109.343,2750.719
00:30:00,2839.926,2758.673,2842.143,2753.968,2749.29,2830.066,2046.676,2688.677428571428
00:45:00,2819.625,2694.599,2787.89,2754.238,2759.222,2803.24,2045.269,2666.2975714285712
01:00:00,2773.748,2731.657,2707.391,2734.984,2676.373,2089.566,1999.159,2530.4111428571427
01:15:00,2714.909,2673.037,2711.63,2670.682,2690.353,1943.733,1970.389,2482.104714285714
01:30:00,2667.18,2653.582,2645.472,2669.532,2592.028,1931.279,1947.837,2443.844285714286
01:45:00,2637.183,2603.466,2597.782,2611.48,2569.865,1920.736,1939.401,2411.416142857143
02:00:00,2613.392,2613.618,2606.684,2595.241,2526.556,1890.476,1900.359,2392.3322857142857
02:15:00,2541.937,2556.337,2604.212,2573.588,2523.104,1836.164,1836.211,2353.079
02:30:00,2540.327,2540.84,2568.196,2519.953,2480.093,1854.922,1852.391,2336.674571428571
02:45:00,2493.222,2553.072,2565.251,2507.546,2464.047,1819.491,1870.782,2324.773
03:00:00,2457.218,2478.925,2538.969,2485.861,2481.809,1803.148,1826.439,2296.052714285714
03:15:00,2444.599,2495.706,2564.538,2490.615,2449.192,1772.838,1816.752,2290.6057142857144
03:30:00,2410.989,2434.286,2510.046,2478.478,2423.362,1789.157,1794.969,2263.041
03:45:00,2409.672,2427.056,2511.375,2492.287,2387.359,1743.885,1826.219,2256.836142857143
04:00:00,2409.38,2436.416,2520.647,2446.994,2442.415,1752.943,1799.731,2258.3608571428567
04:15:00,2365.94,2453.481,2486.021,2502.236,2362.66,1752.968,1814.03,2248.190857142857
04:30:00,2427.518,2432.575,2478.355,2479.088,2409.888,1758.502,1832.654,2259.7971428571427
04:45:00,2467.677,2469.213,2564.912,2541.201,2479.557,1805.332,1861.247,2312.734142857143
05:00:00,2481.585,2508.813,2566.74,2526.243,2458.994,1797.842,1843.256,2311.9247142857143
05:15:00,2512.61,2538.388,2583.069,2602.847,2525.084,1800.884,1730.124,2327.5722857142855
05:30:00,2603.969,2598.628,2671.81,2639.291,2574.281,1814.032,1780.681,2383.2417142857144
05:45:00,2604.084,2664.029,2724.474,2735.23,2691.855,1849.449,1783.094,2436.030714285714
06:00:00,2719.105,2730.271,2811.962,2769.621,2682.774,1856.3,1839.582,2487.087857142857
06:15:00,2771.321,2772.87,2785.523,2789.198,2743.834,1844.107,1733.365,2491.459714285714
06:30:00,2804.594,2757.506,2754.917,2811.873,2747.379,1763.103,1706.46,2477.9759999999997
06:45:00,2684.078,2717.125,2732.58,2761.895,2723.192,1756.539,1704.698,2440.0152857142857
07:00:00,2678.028,2658.258,2635.865,2840.772,2735.074,1728.361,1740.436,2430.9705714285715
07:15:00,2722.56,2699.604,2684.771,2841.095,2780.919,1745.223,1705.377,2454.2212857142854
07:30:00,2809.649,2768.724,2747.875,2909.494,2792.686,1791.706,1752.868,2510.4288571428574
07:45:00,2792.801,2810.971,2808.28,2871.541,2808.808,1887.76,1768.748,2535.558428571429
08:00:00,2776.264,2853.439,2761.218,2876.759,2846.142,1883.953,1827.331,2546.4437142857137
08:15:00,2862.021,2856.597,2881.939,2875.961,2962.028,1991.716,1850.611,2611.5532857142857
08:30:00,2945.511,2939.875,2991.196,2961.347,3051.919,2032.924,1907.718,2690.07
08:45:00,3073.199,2993.899,3054.228,3088.668,3105.591,2040.477,1944.772,2757.262
09:00:00,3101.977,3143.887,3036.084,3106.602,3154.746,2109.668,2012.677,2809.377285714286
09:15:00,3172.893,3245.02,3147.621,3201.694,3180.91,2130.257,2081.39,2879.969285714286
09:30:00,3233.65,3295.759,3186.482,3230.024,3226.645,2149.524,2087.74,2915.689142857143
09:45:00,3264.473,3286.432,3248.45,3207.97,3218.667,2171.303,2105.599,2928.984857142857
10:00:00,3286.466,3286.352,3264.781,3210.603,3238.365,2182.656,2113.253,2940.353714285714
10:15:00,3331.943,3335.668,3308.171,3264.612,3334.072,2227.893,2118.897,2988.7508571428575
10:30:00,3387.087,3355.851,3372.162,3362.787,3438.896,2210.739,2190.533,3045.4364285714287
10:45:00,3391.314,3431.991,3392.32,3398.35,3430.842,2242.352,2224.526,3073.0992857142855
11:00:00,3436.438,3468.915,3425.278,3430.543,3476.452,2293.081,2127.78,3094.0695714285716
11:15:00,3489.757,3501.352,3443.204,3401.719,3481.719,2256.249,2243.553,3116.7932857142855
11:30:00,3520.128,3527.665,3480.373,3392.321,3509.069,2217.621,2302.078,3135.6078571428575
11:45:00,3500.668,3537.03,3456.014,3491.234,3474.382,2245.101,2291.979,3142.344
12:00:00,3527.869,3528.959,3408.486,3480.087,3478.254,2238.517,2301.542,3137.6734285714288
