,FFRI-1:P_TOTAL_SJN,FFRI-2:P_TOTAL_SJN,FFRI-3:P_TOTAL_SJN
00:00:00,11130.006,11701.08,11471.997
00:15:00,10875.126,11562.429,11316.391
00:30:00,10686.396,11322.723,11044.587
00:45:00,10612.182,11085.125,10872.217
01:00:00,10399.81,10815.52,10673.8
01:15:00,10270.506,10734.12,10673.971
01:30:00,10229.45,10567.46,10504.101
01:45:00,9913.646,10536.386,10403.274
02:00:00,9971.222,10437.574,10302.953
02:15:00,9761.471,10391.188,10159.138
02:30:00,9689.695,10172.831,10145.526
02:45:00,9652.071,10210.375,10063.783
03:00:00,9543.743,10045.097,9945.944
03:15:00,9546.219,10027.834,9944.552
03:30:00,9485.132,9833.623,9929.657
03:45:00,9423.769,9893.453,9875.207
04:00:00,9472.241,9909.785,9901.191
04:15:00,9527.557,9995.928,9879.568
04:30:00,9623.157,10085.073,9913.212
04:45:00,9640.539,10215.391,10173.341
05:00:00,9843.043,10360.137,10291.384
05:15:00,10241.296,10456.28,10701.247
05:30:00,10310.85,10878.326,10934.088
05:45:00,10599.888,10995.135,11042.864
06:00:00,10808.277,11341.65,11154.714
06:15:00,10847.458,11529.012,11103.971
06:30:00,7895.282,11404.68,11156.495
06:45:00,7999.128,11422.689,11064.795
07:00:00,7981.236,11286.187,11314.234
07:15:00,7901.293,11312.757,11037.415
07:30:00,8009.991,11359.507,11041.597
07:45:00,11277.132,11275.896,11129.446
08:00:00,10898.924,11509.355,11389.186
08:15:00,11200.236,11797.033,11632.336
08:30:00,11294.32,12169.178,11839.502
08:45:00,11324.882,12350.745,11983.682
09:00:00,11470.909,12533.058,12262.631
09:15:00,11673.526,12561.556,12479.078
09:30:00,11695.359,12628.128,12456.948
09:45:00,11896.896,13075.617,12643.601
10:00:00,11983.923,13278.702,12659.03
10:15:00,11950.193,13446.155,12825.312
10:30:00,12018.898,13437.481,12962.352
10:45:00,12062.248,13607.95,13089.128
11:00:00,12243.93,13732.099,13101.177
11:15:00,11913.53,13692.648,13439.643
11:30:00,11956.056,13970.114,13406.789
11:45:00,12026.269,13850.529,13460.181
12:00:00,11757.404,13995.088,13601.626
12:15:00,11528.787,13939.479,13474.147
12:30:00,11263.487,13847.558,13329.786
12:45:00,11264.261,13969.335,13462.328
13:00:00,11231.813,14024.099,13497.366
13:15:00,11103.018,14109.102,13392.167
13:30:00,11257.98,14023.72,13525.185
13:45:00,11045.073,13923.748,13549.25
14:00:00,11208.864,14151.99,13491.654
14:15:00,11015.906,14084.562,13468.125
14:30:00,11141.747,14014.158,13572.854
14:45:00,10988.009,13950.173,13557.526
15:00:00,10955.194,13779.22,13513.982
15:15:00,11132.577,13647.979,13632.945
15:30:00,10991.542,13541.309,13584.021
15:45:00,10962.74,13456.949,13470.556
16:00:00,10991.874,13421.076,13467.226
16:15:00,10826.091,13213.622,13350.613
16:30:00,10869.416,12976.883,12861.884
16:45:00,10986.144,12551.518,12773.202
17:00:00,10887.518,12631.823,12571.257
17:15:00,10897.412,12351.746,12457.81
17:30:00,10876.44,12425.21,12527.213
17:45:00,11838.164,12413.912,12475.807
18:00:00,12090.269,12548.862,12751.729
18:15:00,12451.1,12944.622,13192.959
18:30:00,13123.482,13581.085,13733.498
18:45:00,13473.887,14217.462,14509.904
19:00:00,13556.879,14167.878,14641.797
19:15:00,13560.723,14294.877,14803.485
19:30:00,13577.613,14386.044,14779.012
19:45:00,13642.718,14310.125,14842.126
20:00:00,13554.957,14135.727,14689.911
20:15:00,13360.78,13993.332,14740.623
20:30:00,13437.598,13893.566,14664.397
20:45:00,13404.32,13813.744,14372.925
21:00:00,13346.744,13792.633,14204.268
21:15:00,13146.255,13584.274,14151.093
21:30:00,12968.007,13257.941,13950.718
21:45:00,12851.972,13200.194,13611.425
22:00:00,12655.791,12893.789,13443.908
22:15:00,12630.164,12651.724,13240.711
22:30:00,12341.024,12397.799,13059.35
22:45:00,12275.34,12246.242,12680.173
23:00:00,11949.78,11915.525,12527.638
23:15:00,11820.682,11924.966,12239.058
23:30:00,11819.442,11757.882,11938.857
23:45:00,11548.159,11580.526,11836.387
