,FSAT-1:P_TOTAL_SJN,FSAT-2:P_TOTAL_SJN,FSAT-3:P_TOTAL_SJN
00:00:00,11316.621,11364.335,11676.4
00:15:00,11107.074,11140.095,11264.786
00:30:00,10993.116,11128.996,11238.575
00:45:00,10866.769,10788.105,10946.247
01:00:00,10793.143,10666.735,10875.073
01:15:00,10607.726,10621.312,10660.283
01:30:00,10532.833,10497.288,10673.502
01:45:00,10448.994,10347.995,10388.596
02:00:00,10325.792,10281.118,10296.025
02:15:00,10233.389,10118.305,10228.874
02:30:00,10127.785,10166.948,10165.152
02:45:00,10103.37,10028.838,10113.42
03:00:00,10019.812,9938.106,10060.211
03:15:00,10099.167,9860.795,9951.753
03:30:00,9943.596,9811.396,9900.045
03:45:00,9999.55,9689.774,9937.789
04:00:00,9885.995,9697.473,9774.952
04:15:00,9839.019,9724.826,9835.768
04:30:00,9897.482,9681.736,9667.987
04:45:00,9908.923,9623.524,9689.082
05:00:00,9937.592,9615.592,9735.147
05:15:00,10037.679,9641.3,9810.54
05:30:00,10152.158,9679.036,9836.738
05:45:00,10212.904,9743.386,9985.898
06:00:00,10249.45,9837.402,9911.014
06:15:00,10084.48,9644.061,9702.042
06:30:00,9781.483,9270.47,9301.867
06:45:00,9814.072,9343.292,9342.992
07:00:00,9821.283,9471.794,9436.549
07:15:00,9895.373,9641.781,9730.278
07:30:00,10042.996,9797.401,9754.887
07:45:00,10246.853,10181.174,10229.039
08:00:00,10717.449,10554.916,10481.451
08:15:00,10999.397,10923.762,10935.646
08:30:00,10948.261,11209.471,11310.443
08:45:00,10912.206,11334.216,11445.247
09:00:00,11210.7,11538.996,11567.171
09:15:00,11345.841,11644.024,11767.95
09:30:00,11611.877,11871.886,11917.788
09:45:00,11688.703,11944.65,12103.025
10:00:00,11955.015,12210.166,12124.661
10:15:00,11901.068,12256.539,12471.126
10:30:00,12061.91,12379.791,12689.488
10:45:00,12171.089,12554.162,12522.705
11:00:00,12190.589,12409.051,12974.188
11:15:00,12366.487,12523.154,12970.92
11:30:00,12410.221,12701.943,13121.247
11:45:00,12339.145,12799.543,13074.256
12:00:00,12413.002,12736.495,13179.498
12:15:00,12431.651,12873.457,13026.568
12:30:00,12300.579,12839.27,13206.773
12:45:00,12436.532,12762.462,13173.657
13:00:00,12553.119,12992.606,13275.756
13:15:00,12312.167,12664.621,13281.715
13:30:00,12464.473,12755.178,13271.039
13:45:00,12338.929,12803.609,13239.453
14:00:00,12207.103,12618.031,13260.525
14:15:00,12377.192,12607.277,13019.797
14:30:00,12294.033,12654.867,13002.609
14:45:00,12219.884,12676.058,12980.424
15:00:00,12255.696,12606.847,13029.542
15:15:00,12128.925,12411.303,13108.609
15:30:00,12243.49,12563.501,13001.608
15:45:00,12223.954,12451.265,13010.399
16:00:00,12372.671,12265.545,12855.772
16:15:00,11954.244,12173.561,12728.114
16:30:00,11949.741,12297.466,12711.311
16:45:00,11950.449,12230.243,12747.787
17:00:00,12018.787,11959.611,12749.941
17:15:00,12002.82,12037.729,12517.871
17:30:00,12159.022,12019.825,12415.268
17:45:00,12144.52,12213.737,12401.707
18:00:00,12284.166,12277.235,12366.37
18:15:00,12670.94,12624.83,12741.751
18:30:00,13343.232,13097.052,13500.334
18:45:00,13672.379,13714.47,14077.14
19:00:00,13694.38,13808.088,14110.566
19:15:00,13850.646,13717.644,14038.716
19:30:00,14022.159,13949.749,14237.225
19:45:00,14054.875,13996.211,14072.718
20:00:00,13828.435,13919.938,13970.625
20:15:00,13793.091,13686.314,13806.169
20:30:00,13701.639,13736.33,13770.209
20:45:00,13403.692,13734.625,13965.706
21:00:00,13205.963,13361.098,13723.54
21:15:00,13177.387,13459.754,13640.066
21:30:00,13224.59,13296.772,13524.802
21:45:00,13114.836,13214.505,13186.994
22:00:00,13000.462,12969.36,13150.902
22:15:00,12708.618,12790.838,12906.793
22:30:00,12530.207,12538.789,12518.382
22:45:00,12401.864,12330.473,12278.583
23:00:00,12354.88,12236.686,12278.427
23:15:00,11956.427,11996.169,12029.969
23:30:00,11914.34,11833.993,11832.486
23:45:00,11608.074,11649.768,11631.144
