,FWED-1:P_TOTAL_SJN,FWED-2:P_TOTAL_SJN,FWED-3:P_TOTAL_SJN,FWED-4:P_TOTAL_SJN
00:00:00,10676.323,11513.81,11806.935,11658.252
00:15:00,10484.696,11317.238,11638.399,11505.698
00:30:00,10280.929,10968.642,11477.364,11288.114
00:45:00,10106.805,10897.337,11340.57,11140.199
01:00:00,9866.625,10630.875,11089.535,11080.312
01:15:00,9812.46,10520.628,10996.065,10907.166
01:30:00,9755.141,10551.984,10890.792,10868.547
01:45:00,9663.63,10340.551,10772.65,10790.362
02:00:00,9582.65,10219.331,10654.831,10569.771
02:15:00,9508.635,10086.648,10578.487,10496.041
02:30:00,9332.8,10127.269,10503.54,10367.899
02:45:00,9349.914,10004.711,10480.873,10292.072
03:00:00,9231.63,9954.726,10298.467,10283.745
03:15:00,9254.349,9921.295,10293.314,10258.823
03:30:00,9224.839,9886.473,10219.293,10177.956
03:45:00,9039.872,9858.752,10228.221,10198.059
04:00:00,9060.65,9762.373,10237.658,10276.785
04:15:00,9074.207,9823.624,10230.313,10255.301
04:30:00,9070.884,9878.99,10317.687,10250.997
04:45:00,9348.51,9882.953,10387.217,10439.577
05:00:00,9592.326,10185.351,10888.627,10802.78
05:15:00,9752.963,10286.121,10974.668,11017.961
05:30:00,10058.698,10354.001,11257.47,11195.513
05:45:00,10331.014,10682.713,9930.443,11247.546
06:00:00,10460.608,10829.7,13188.144,11649.117
06:15:00,10516.036,10887.55,13367.546,11634.026
06:30:00,10458.44,10798.622,13470.405,11634.706
06:45:00,10456.016,10807.875,13278.874,11517.737
07:00:00,10322.879,10916.381,13161.447,11397.405
07:15:00,10242.47,10986.401,13322.347,11390.935
07:30:00,10146.883,10978.296,13259.473,11543.474
07:45:00,9949.066,11050.974,13275.967,11293.854
08:00:00,10014.114,11417.956,13394.975,11548.077
08:15:00,10191.279,11719.804,13739.893,11586.914
08:30:00,10377.488,11859.337,14173.684,11937.973
08:45:00,10490.313,12000.217,14290.701,12031.707
09:00:00,10881.43,12303.195,14638.104,12189.614
09:15:00,10968.958,12538.191,14768.189,12504.755
09:30:00,11232.441,12775.84,15086.856,12559.688
09:45:00,11315.438,12900.153,15252.261,12781.478
10:00:00,11562.787,12973.094,15437.933,13014.758
10:15:00,11636.772,13166.712,15726.168,13174.63
10:30:00,11675.543,12524.055,15767.887,13267.836
10:45:00,11650.445,13217.076,15862.498,13318.21
11:00:00,11952.33,13364.798,16037.176,13450.964
11:15:00,12039.775,13529.208,16183.952,13643.77
11:30:00,12099.655,13618.41,16205.018,13703.656
11:45:00,11723.859,13407.873,15961.845,13498.164
12:00:00,11871.379,13544.045,16168.322,13673.275
12:15:00,12389.776,13892.518,16397.072,14156.943
12:30:00,12416.042,14054.279,16403.258,14015.731
12:45:00,12513.101,14124.172,16414.791,14086.539
13:00:00,12609.312,14316.941,16629.952,13993.106
13:15:00,12650.57,14135.458,16553.67,14158.273
13:30:00,12575.114,14239.084,16585.729,14225.042
13:45:00,12528.218,14200.782,16665.445,14190.541
14:00:00,12515.67,14259.138,16567.234,14326.042
14:15:00,12459.113,14251.952,16554.915,14263.625
14:30:00,12548.349,14101.983,16464.882,14067.681
14:45:00,12564.789,14112.71,16472.201,14087.13
15:00:00,12462.872,14167.467,16604.145,14091.029
15:15:00,12557.672,14161.35,16622.88,14265.412
15:30:00,12474.857,14156.842,16441.755,13934.022
15:45:00,12534.83,14232.771,16469.028,13999.791
16:00:00,12455.229,13931.206,16085.588,13788.219
16:15:00,12408.672,13774.836,15951.517,13629.089
16:30:00,12165.006,13575.937,15594.192,13278.163
16:45:00,12032.638,13351.395,15529.651,13053.163
17:00:00,11978.487,13203.812,15360.873,13077.231
17:15:00,11848.113,12915.669,15091.287,13029.983
17:30:00,11763.078,12961.967,14984.019,12810.612
17:45:00,11997.494,12827.973,15105.868,12895.966
18:00:00,12158.777,13106.302,15028.708,13140.569
18:15:00,12530.893,13557.892,15516.615,13565.154
18:30:00,13346.51,14140.597,16506.32,14386.566
18:45:00,13736.44,14930.432,16923.628,15020.141
19:00:00,13942.152,14980.984,17183.333,15225.076
19:15:00,13908.767,14988.334,17251.368,15281.275
19:30:00,13855.371,15166.238,17343.178,15524.931
19:45:00,13979.465,15094.177,17355.628,15515.644
20:00:00,13859.221,15011.533,17098.306,15574.181
20:15:00,13773.462,14940.582,17369.627,15400.864
20:30:00,13487.792,14702.511,17279.353,15302.071
20:45:00,13283.806,14762.666,17293.643,14971.648
21:00:00,13171.693,14313.968,17166.05,14827.958
21:15:00,12939.009,14157.138,16869.376,14692.811
21:30:00,12646.572,13824.104,16507.199,14566.379
21:45:00,12867.107,13572.254,16323.918,14035.109
22:00:00,12412.563,13267.681,15810.983,13740.905
22:15:00,12139.808,13046.417,15286.672,13602.457
22:30:00,11852.157,12866.683,15171.841,13222.232
22:45:00,11656.781,12700.473,14918.42,13148.231
23:00:00,11467.052,12255.516,14665.656,12697.291
23:15:00,11211.405,12047.813,14302.535,12528.188
23:30:00,11102.352,11868.777,14142.408,12226.643
23:45:00,10831.833,11643.587,12882.43,11984.879
