,WK3-Monday,WK3-Tuesday,WK3-Wednesday,WK3-Thursday,WK3-Friday,WK3-Saturday,WK3-Sunday
00:00:00,11582.969,11432.796,11806.935,11652.754,11471.997,11676.4,11413.531
00:15:00,11208.266,11155.8,11638.399,11392.494,11316.391,11264.786,11267.189
00:30:00,11048.361,11031.343,11477.364,11291.315,11044.587,11238.575,11202.885
00:45:00,10879.411,10690.129,11340.57,11072.718,10872.217,10946.247,11016.292
01:00:00,10750.295,10640.367,11089.535,10834.835,10673.8,10875.073,10681.569
01:15:00,10678.417,10463.512,10996.065,10732.2,10673.971,10660.283,10714.066
01:30:00,10419.831,10292.49,10890.792,10581.53,10504.101,10673.502,10479.067
01:45:00,10320.857,10223.697,10772.65,10426.453,10403.274,10388.596,10401.555
02:00:00,10332.738,10177.154,10654.831,10258.252,10302.953,10296.025,10189.031
02:15:00,10121.375,6923.883,10578.487,10100.306,10159.138,10228.874,10184.479
02:30:00,10028.975,6707.966,10503.54,10082.938,10145.526,10165.152,10112.872
02:45:00,9960.89,9946.079,10480.873,10013.647,10063.783,10113.42,9827.113
03:00:00,10002.119,9830.036,10298.467,9943.367,9945.944,10060.211,9762.043
03:15:00,9824.013,9794.125,10293.314,9826.954,9944.552,9951.753,9655.917
03:30:00,9676.124,9724.364,10219.293,9761.108,9929.657,9900.045,9603.317
03:45:00,9790.544,9884.086,10228.221,9769.704,9875.207,9937.789,9643.686
04:00:00,9766.364,9860.14,10237.658,9755.14,9901.191,9774.952,9559.958
04:15:00,9863.604,9929.236,10230.313,9849.05,9879.568,9835.768,9459.303
04:30:00,9962.147,10000.693,10317.687,9872.111,9913.212,9667.987,9510.037
04:45:00,10039.215,10090.896,10387.217,9979.909,10173.341,9689.082,9488.047
05:00:00,10282.232,10190.446,10888.627,10146.938,10291.384,9735.147,9412.514
05:15:00,10566.498,10612.743,10974.668,10457.185,10701.247,9810.54,9561.824
05:30:00,10801.394,10849.176,11257.47,10644.229,10934.088,9836.738,9644.311
05:45:00,10894.325,11067.896,9930.443,10853.455,11042.864,9985.898,9736.868
06:00:00,11158.536,11429.302,13188.144,11279.937,11154.714,9911.014,9714.174
06:15:00,11394.345,11406.328,13367.546,11376.521,11103.971,9702.042,9341.073
06:30:00,11310.111,11603.067,13470.405,11374.961,11156.495,9301.867,9180.834
06:45:00,11224.289,11640.009,13278.874,11242.623,11064.795,9342.992,9189.264
07:00:00,11257.465,11428.0,13161.447,11175.904,11314.234,9436.549,9367.7
07:15:00,11209.668,11387.628,13322.347,10996.235,11037.415,9730.278,9404.854
07:30:00,11277.864,11422.596,13259.473,11177.654,11041.597,9754.887,9722.639
07:45:00,11387.889,11390.644,13275.967,11070.911,11129.446,10229.039,9824.865
