,JMON-1:P_TOTAL_SJN,JMON-2:P_TOTAL_SJN,JMON-3:P_TOTAL_SJN,JMON-4:P_TOTAL_SJN,FMON-1:P_TOTAL_SJN,FMON-2:P_TOTAL_SJN,FMON-3:P_TOTAL_SJN,FMON-4:P_TOTAL_SJN
00:00:00,13575.423,12882.394,12732.352,13160.015,10636.017,11327.297,11582.969,11421.434
00:15:00,13191.545,12714.635,12577.43,12933.261,10207.072,11190.706,11208.266,11258.835
00:30:00,13064.414,12476.851,12417.855,12733.229,10127.77,11043.86,11048.361,10944.896
00:45:00,12836.59,12314.395,12304.554,12434.646,9960.999,10775.37,10879.411,10906.603
01:00:00,12532.873,12120.047,12158.334,12285.742,9835.695,10671.815,10750.295,10891.186
01:15:00,12461.139,11947.317,12065.458,12036.637,9667.997,10571.804,10678.417,10582.059
01:30:00,12377.822,11757.622,11889.402,11884.633,9594.57,10489.75,10419.831,10543.755
01:45:00,12078.932,11684.349,11777.109,11708.819,9568.671,10295.661,10320.857,10409.943
02:00:00,12107.332,11551.421,11616.725,11618.197,9428.195,10244.167,10332.738,10279.925
02:15:00,11959.314,11416.41,11619.453,11487.956,9337.25,10075.692,10121.375,10221.299
02:30:00,11877.663,11330.569,11529.319,11308.642,9348.584,9978.846,10028.975,10215.129
02:45:00,11744.331,11239.211,11469.137,11311.128,9164.082,9872.346,9960.89,10118.229
03:00:00,11812.143,11092.937,11295.175,11307.872,9239.826,9892.633,10002.119,10131.19
03:15:00,11573.076,11162.15,11241.971,11164.379,8981.385,9849.815,9824.013,10005.124
03:30:00,11531.029,10985.954,11273.836,11199.35,9096.64,9782.538,9676.124,9941.93
03:45:00,11473.717,11047.404,11239.767,11100.07,9028.387,9627.986,9790.544,9925.492
04:00:00,11413.111,11082.277,11215.912,10999.759,9102.953,9649.413,9766.364,9901.088
04:15:00,11462.314,11147.405,11402.793,10970.734,9030.647,9616.621,9863.604,9903.058
04:30:00,11535.067,11210.789,11384.152,11246.597,9079.181,9573.852,9962.147,9981.139
04:45:00,11901.801,11290.167,11522.078,11423.074,9230.517,9709.312,10039.215,10017.186
05:00:00,12256.323,11796.197,11649.937,11631.436,9539.787,9651.653,10282.232,10408.555
05:15:00,12577.556,12016.381,12161.202,11952.618,9848.162,9542.207,10566.498,10651.328
05:30:00,12935.512,12287.713,12426.664,12206.667,10022.471,9576.13,10801.394,10745.227
05:45:00,13236.564,12712.377,12661.457,12521.051,10293.431,9558.021,10894.325,11090.367
06:00:00,13429.727,13054.072,13094.809,12902.679,10796.472,9669.951,11158.536,11423.664
06:15:00,13608.007,13165.668,13173.443,13192.305,10664.673,9343.688,11394.345,11342.055
06:30:00,13478.087,13015.857,13034.88,12716.451,10594.921,8961.308,11310.111,11257.334
06:45:00,13385.061,12827.186,12824.842,12730.227,10430.347,8997.707,11224.289,11397.735
07:00:00,13298.447,12619.917,12844.633,12602.602,10370.358,8801.862,11257.465,11057.217
07:15:00,13316.277,12709.458,12717.278,12437.58,10287.968,8906.615,11209.668,11261.88
07:30:00,13103.147,12652.539,12643.311,12360.169,10153.076,8969.861,11277.864,11074.616
