,JTHU-1:P_TOTAL_SJN,JTHU-2:P_TOTAL_SJN,JTHU-3:P_TOTAL_SJN,JTHU-4:P_TOTAL_SJN,FFRI-1:P_TOTAL_SJN,FFRI-2:P_TOTAL_SJN,FFRI-3:P_TOTAL_SJN
00:00:00,12885.269,12799.288,12262.75,12890.003,11130.006,11701.08,11471.997
00:15:00,12695.838,12700.407,11944.771,12572.427,10875.126,11562.429,11316.391
00:30:00,12585.694,12440.542,11830.931,12378.081,10686.396,11322.723,11044.587
00:45:00,12416.963,12324.688,11704.788,12342.307,10612.182,11085.125,10872.217
01:00:00,12285.861,12060.725,11618.287,12079.341,10399.81,10815.52,10673.8
01:15:00,12012.502,11918.488,11349.592,12064.636,10270.506,10734.12,10673.971
01:30:00,11867.0,11788.019,11257.816,11769.519,10229.45,10567.46,10504.101
01:45:00,11729.792,11633.935,11219.556,11779.864,9913.646,10536.386,10403.274
02:00:00,11659.207,11541.108,11087.506,11567.55,9971.222,10437.574,10302.953
02:15:00,11438.189,11398.795,11067.365,11530.051,9761.471,10391.188,10159.138
02:30:00,11564.427,11403.241,11018.284,11318.247,9689.695,10172.831,10145.526
02:45:00,11407.805,11291.223,11046.692,11369.247,9652.071,10210.375,10063.783
03:00:00,11387.476,11198.773,10965.175,11356.399,9543.743,10045.097,9945.944
03:15:00,11368.039,11198.784,10911.89,11363.732,9546.219,10027.834,9944.552
03:30:00,11291.215,11060.463,10991.76,11388.066,9485.132,9833.623,9929.657
03:45:00,11270.55,11002.145,10842.322,11255.576,9423.769,9893.453,9875.207
04:00:00,11199.995,11069.685,10860.085,11205.536,9472.241,9909.785,9901.191
04:15:00,11332.001,11202.649,11047.076,11409.097,9527.557,9995.928,9879.568
04:30:00,11432.129,11244.144,11058.317,11578.271,9623.157,10085.073,9913.212
04:45:00,11571.451,11425.014,11187.311,11673.292,9640.539,10215.391,10173.341
05:00:00,11647.906,11639.738,11387.947,12054.806,9843.043,10360.137,10291.384
05:15:00,12153.416,12132.968,11739.572,12259.268,10241.296,10456.28,10701.247
05:30:00,12486.181,12246.82,12165.957,12583.244,10310.85,10878.326,10934.088
05:45:00,12718.587,12608.444,12481.508,12921.799,10599.888,10995.135,11042.864
06:00:00,13258.091,12974.429,12857.347,13163.892,10808.277,11341.65,11154.714
06:15:00,13181.822,13175.093,12924.607,13443.353,10847.458,11529.012,11103.971
06:30:00,13182.096,12972.676,12709.393,13254.376,7895.282,11404.68,11156.495
06:45:00,12846.862,12825.598,12846.091,13096.333,7999.128,11422.689,11064.795
07:00:00,12821.529,12695.583,12766.292,12952.457,7981.236,11286.187,11314.234
07:15:00,12571.37,12822.179,12567.297,12685.398,7901.293,11312.757,11037.415
07:30:00,12675.787,12637.683,12462.466,12724.947,8009.991,11359.507,11041.597
07:45:00,12659.463,12364.534,12440.715,12752.611,11277.132,11275.896,11129.446
08:00:00,9204.933,12565.753,12413.556,12671.04,10898.924,11509.355,11389.186
08:15:00,12935.268,12842.792,12526.658,12608.265,11200.236,11797.033,11632.336
08:30:00,12863.225,13018.875,12709.854,12956.686,11294.32,12169.178,11839.502
08:45:00,13083.569,13164.062,12887.267,12974.879,11324.882,12350.745,11983.682
09:00:00,13235.264,13478.07,13107.983,13545.744,11470.909,12533.058,12262.631
09:15:00,13178.708,13572.648,13100.513,13610.669,11673.526,12561.556,12479.078
09:30:00,13424.782,13602.025,13157.637,13667.626,11695.359,12628.128,12456.948
09:45:00,13629.724,13823.319,13276.011,13729.634,11896.896,13075.617,12643.601
10:00:00,13880.135,14088.538,13408.256,13821.294,11983.923,13278.702,12659.03
10:15:00,13841.516,14176.423,13553.879,14056.312,11950.193,13446.155,12825.312
10:30:00,14077.656,14329.055,13340.925,14239.996,12018.898,13437.481,12962.352
10:45:00,13963.019,14216.51,13694.068,14417.679,12062.248,13607.95,13089.128
11:00:00,14191.228,14369.451,13795.778,14390.573,12243.93,13732.099,13101.177
11:15:00,14216.636,14644.693,13965.374,14438.32,11913.53,13692.648,13439.643
11:30:00,14306.428,14821.083,13989.384,14502.497,11956.056,13970.114,13406.789
11:45:00,14465.131,14826.345,14208.462,14566.674,12026.269,13850.529,13460.181
12:00:00,14455.073,14873.919,14239.012,14716.152,11757.404,13995.088,13601.626
