,JMON-1:P_TOTAL_SJN,JMON-2:P_TOTAL_SJN,JMON-3:P_TOTAL_SJN,JMON-4:P_TOTAL_SJN
00:00:00,13575.423,12882.394,12732.352,13160.015
00:15:00,13191.545,12714.635,12577.43,12933.261
00:30:00,13064.414,12476.851,12417.855,12733.229
00:45:00,12836.59,12314.395,12304.554,12434.646
01:00:00,12532.873,12120.047,12158.334,12285.742
01:15:00,12461.139,11947.317,12065.458,12036.637
01:30:00,12377.822,11757.622,11889.402,11884.633
01:45:00,12078.932,11684.349,11777.109,11708.819
02:00:00,12107.332,11551.421,11616.725,11618.197
02:15:00,11959.314,11416.41,11619.453,11487.956
02:30:00,11877.663,11330.569,11529.319,11308.642
02:45:00,11744.331,11239.211,11469.137,11311.128
03:00:00,11812.143,11092.937,11295.175,11307.872
03:15:00,11573.076,11162.15,11241.971,11164.379
03:30:00,11531.029,10985.954,11273.836,11199.35
03:45:00,11473.717,11047.404,11239.767,11100.07
04:00:00,11413.111,11082.277,11215.912,10999.759
04:15:00,11462.314,11147.405,11402.793,10970.734
04:30:00,11535.067,11210.789,11384.152,11246.597
04:45:00,11901.801,11290.167,11522.078,11423.074
05:00:00,12256.323,11796.197,11649.937,11631.436
05:15:00,12577.556,12016.381,12161.202,11952.618
05:30:00,12935.512,12287.713,12426.664,12206.667
05:45:00,13236.564,12712.377,12661.457,12521.051
06:00:00,13429.727,13054.072,13094.809,12902.679
06:15:00,13608.007,13165.668,13173.443,13192.305
06:30:00,13478.087,13015.857,13034.88,12716.451
06:45:00,13385.061,12827.186,12824.842,12730.227
07:00:00,13298.447,12619.917,12844.633,12602.602
07:15:00,13316.277,12709.458,12717.278,12437.58
07:30:00,13103.147,12652.539,12643.311,12360.169
07:45:00,13200.38,12648.114,12813.934,12358.041
08:00:00,13264.099,12377.15,12639.732,12293.905
08:15:00,13388.989,12719.532,12702.139,12505.164
08:30:00,13577.613,12944.077,12749.505,12932.384
08:45:00,13705.708,13116.634,12841.242,13111.037
09:00:00,13864.339,13435.462,12859.865,13345.449
09:15:00,14078.979,13565.044,13096.632,13489.896
09:30:00,14205.926,13889.472,13520.858,13622.263
09:45:00,14199.749,13964.45,13826.625,13748.502
10:00:00,14220.318,14043.653,13864.128,13885.479
10:15:00,14238.8,14091.454,13967.12,14083.401
10:30:00,14357.618,14275.171,14059.841,14211.991
10:45:00,14503.518,14144.678,13966.248,14236.487
11:00:00,14672.052,14220.984,14416.869,14431.786
11:15:00,14626.338,14251.071,14543.969,14443.572
11:30:00,14728.119,14149.115,14418.335,14377.598
11:45:00,14838.276,14624.047,14746.656,14646.546
12:00:00,15035.876,14597.542,14643.618,14687.366
12:15:00,15090.741,14763.895,14803.183,14730.915
12:30:00,14774.916,14797.848,14896.175,14866.823
12:45:00,14753.0,14847.794,14918.47,14967.509
13:00:00,15167.074,14955.239,14906.883,15051.324
13:15:00,14948.23,14821.878,15072.801,15154.443
13:30:00,15281.668,14806.761,15216.131,15173.291
13:45:00,15341.342,14837.042,15255.641,15054.684
14:00:00,15185.104,14835.627,15102.65,15234.513
14:15:00,14918.995,14758.424,15228.36,15142.884
14:30:00,14879.241,14657.937,15288.792,15269.127
14:45:00,14937.277,14675.974,15194.716,15098.293
15:00:00,14788.248,14649.043,15113.452,15017.999
15:15:00,14862.032,14525.398,15236.736,15051.294
15:30:00,14692.458,14491.008,15164.246,15015.596
15:45:00,14848.513,14436.086,15294.502,15011.818
16:00:00,14879.421,14435.93,15134.31,15115.206
16:15:00,15050.461,14397.156,14835.189,15127.024
16:30:00,14653.798,14073.693,14576.472,14759.535
16:45:00,14409.46,13932.315,14380.636,14637.894
17:00:00,14380.9,13764.785,14179.157,14422.829
17:15:00,14364.987,13779.032,13937.768,14275.969
17:30:00,14459.701,13796.383,14119.009,14204.072
17:45:00,14594.333,14155.061,14145.578,14339.744
18:00:00,15137.035,14728.852,14500.014,14585.597
18:15:00,16215.02,15849.585,15319.026,15513.408
18:30:00,16835.727,16275.189,16337.006,16493.566
18:45:00,16933.093,16725.613,16716.416,16754.568
19:00:00,17056.549,16818.072,16849.4,16800.47
19:15:00,17168.626,16975.005,16995.276,17134.403
19:30:00,17336.589,17065.126,17001.464,16929.465
19:45:00,17286.239,16947.681,16789.028,17071.998
20:00:00,17258.697,16773.041,16894.78,16916.853
20:15:00,17056.704,16836.581,16906.77,17014.943
20:30:00,17066.041,16853.163,16721.038,16868.646
20:45:00,16702.279,16535.123,16563.786,16660.758
21:00:00,16580.678,16313.719,16339.053,16377.915
21:15:00,16503.851,16057.061,15559.085,16266.755
21:30:00,16227.872,15696.306,15406.708,15646.563
21:45:00,15853.865,15471.25,15322.225,15256.802
22:00:00,15597.489,14979.375,14847.102,15041.55
22:15:00,15015.755,14837.661,14591.528,14770.774
22:30:00,14755.945,14319.0,14224.758,14392.45
22:45:00,14370.266,14132.793,13704.106,14201.499
23:00:00,14272.394,13641.333,13432.422,13870.278
23:15:00,13828.362,13377.642,13227.602,13597.086
23:30:00,13695.979,13192.98,12866.073,13281.685
23:45:00,13423.731,12878.123,12686.534,12952.591
