,JSUN-1:P_TOTAL_SJN,JSUN-2:P_TOTAL_SJN,JSUN-3:P_TOTAL_SJN,JSUN-4:P_TOTAL_SJN
00:00:00,13602.902,12708.511,12835.256,10691.086
00:15:00,13363.313,12534.335,12559.915,10454.954
00:30:00,13238.653,12358.415,12550.619,10497.888
00:45:00,13048.023,12106.403,12282.393,10208.295
01:00:00,12849.5,12146.155,12174.061,10101.498
01:15:00,12568.196,11977.938,11975.865,9927.5
01:30:00,12498.888,11789.365,11859.653,9879.262
01:45:00,12247.224,11641.384,11767.892,9729.664
02:00:00,12059.523,11447.448,11626.413,9641.415
02:15:00,11998.329,11393.808,11477.756,9502.959
02:30:00,11825.69,11163.827,11562.826,9528.348
02:45:00,11791.729,11045.465,11372.91,9481.323
03:00:00,11627.603,10994.114,11228.478,9314.656
03:15:00,11578.318,10831.858,11288.435,9287.94
03:30:00,11523.171,10827.813,11194.447,9245.156
03:45:00,11360.581,10752.856,11096.833,9207.655
04:00:00,11386.297,10688.01,11070.366,9156.14
04:15:00,11221.499,10616.142,10959.048,9132.95
04:30:00,11205.562,10633.141,11020.852,9146.837
04:45:00,11238.826,10663.718,10972.44,9136.686
05:00:00,11273.293,10740.619,11107.964,9071.575
05:15:00,11192.896,10852.462,10965.155,8540.056
05:30:00,11349.449,10854.1,11214.917,9050.045
05:45:00,11305.934,10818.808,11150.875,8993.691
06:00:00,11412.048,10902.974,11253.01,8971.284
06:15:00,11083.383,11151.13,11116.797,8874.407
06:30:00,10825.955,10874.422,10724.949,8817.939
06:45:00,10834.583,12577.714,10629.267,8990.05
07:00:00,10697.862,12757.048,10838.349,8846.727
07:15:00,10889.276,13073.098,11104.838,9168.922
07:30:00,11248.326,13212.107,11366.837,9165.462
07:45:00,11412.584,13572.496,11439.019,9343.062
08:00:00,11498.817,13968.748,11753.983,9586.379
08:15:00,11824.654,14207.61,12053.512,9727.517
08:30:00,11976.197,14713.763,12182.273,9927.736
08:45:00,12019.806,14790.248,12436.879,10025.525
09:00:00,12483.102,15089.494,12689.937,10339.747
09:15:00,12570.546,15295.129,12740.467,10341.398
09:30:00,12923.965,15207.174,12984.425,10583.475
09:45:00,13016.764,15600.159,13085.064,10780.449
10:00:00,13247.456,15733.081,13106.216,10692.981
10:15:00,13505.405,15897.911,13367.631,10844.914
10:30:00,13354.632,15863.137,13391.241,10869.765
10:45:00,13488.012,16327.178,13530.81,11039.091
11:00:00,13615.124,16443.32,13751.65,11103.951
11:15:00,13847.637,16404.61,13708.47,11241.648
11:30:00,14056.775,16820.042,13759.834,11200.87
11:45:00,14016.441,16843.849,13807.668,11302.339
12:00:00,13944.088,16948.044,13677.577,11383.218
12:15:00,14268.114,16987.627,13922.923,11650.343
12:30:00,14363.939,17302.622,14027.695,11474.023
12:45:00,14208.818,17446.339,14145.181,11399.0
13:00:00,14453.676,17529.906,14040.48,11516.713
13:15:00,14502.004,15090.782,14110.619,11497.246
13:30:00,14116.499,14932.223,13978.669,11437.144
13:45:00,14194.838,13726.43,13857.727,11515.649
14:00:00,14236.534,13982.356,14008.785,11547.74
14:15:00,14088.344,13938.247,13854.242,11451.307
14:30:00,14089.563,14060.109,13664.174,11337.031
14:45:00,14130.952,14097.068,13684.579,11638.93
15:00:00,14190.503,13811.738,13868.507,11508.493
15:15:00,14313.561,14022.844,13866.505,11497.56
15:30:00,14058.006,13900.539,13759.522,11523.951
15:45:00,14085.164,13745.843,13769.461,11370.469
16:00:00,13957.446,13838.619,13760.318,11455.143
16:15:00,14020.693,13680.265,13732.371,11300.981
16:30:00,13921.7,13835.481,13475.215,11265.063
16:45:00,13995.745,13598.868,13498.581,11267.211
17:00:00,13857.916,13606.007,13575.467,11096.569
17:15:00,13841.69,13640.029,13356.275,11147.622
17:30:00,13820.456,13633.275,13456.407,11007.083
17:45:00,13899.026,13781.68,13250.669,11152.698
18:00:00,14326.177,14280.977,13730.106,11400.562
18:15:00,15214.123,14768.954,14101.442,11802.764
18:30:00,15870.478,15729.881,15237.204,12420.48
18:45:00,16260.808,16069.504,15595.921,12800.484
19:00:00,16267.956,16071.204,15797.845,13120.381
19:15:00,16380.634,16160.175,15728.109,12839.182
19:30:00,16166.938,16305.723,15846.324,13069.389
19:45:00,16473.272,16128.012,16238.951,13004.877
20:00:00,16164.589,16190.498,16096.841,13020.329
20:15:00,16456.926,16103.194,15926.743,12858.105
20:30:00,16255.417,15968.526,15865.819,12778.23
20:45:00,16325.909,15905.638,15922.514,12857.822
21:00:00,16178.457,15861.728,15689.057,12866.089
21:15:00,15829.748,15937.417,15472.983,12774.819
21:30:00,15698.343,15541.062,15191.35,12490.753
21:45:00,15536.402,15218.355,15206.021,12353.132
22:00:00,15318.325,14921.946,14865.856,12145.231
22:15:00,14926.202,14599.1,14697.241,11954.475
22:30:00,14768.649,14223.258,14363.301,11657.313
22:45:00,14422.626,14120.172,14067.896,11387.351
23:00:00,14229.928,13793.18,13845.624,11323.484
23:15:00,13843.178,13498.229,13819.896,11133.149
23:30:00,13604.137,13288.106,13486.19,10882.418
23:45:00,13278.611,12960.418,13226.227,10641.913
