,JTUE-1:P_TOTAL_SJN,JTUE-2:P_TOTAL_SJN,JTUE-3:P_TOTAL_SJN,JTUE-4:P_TOTAL_SJN
00:00:00,13229.67,12653.173,12570.093,12707.131
00:15:00,13048.919,12348.687,12255.305,12491.876
00:30:00,12780.824,12179.748,12010.696,12381.685
00:45:00,12608.681,12107.46,11932.683,12158.326
01:00:00,12448.356,11918.682,11679.288,11964.842
01:15:00,12342.817,11616.078,11583.399,11813.974
01:30:00,12209.658,11494.547,11436.681,11629.179
01:45:00,12128.465,11373.473,11256.694,11666.585
02:00:00,11897.717,11191.491,11120.269,11476.432
02:15:00,11940.668,11340.778,10999.829,11459.954
02:30:00,11830.511,11073.835,11145.537,11372.96
02:45:00,11824.366,11063.169,10921.879,11297.219
03:00:00,11689.395,11095.557,11031.283,11249.358
03:15:00,11593.653,11074.084,10895.461,11059.171
03:30:00,11508.984,10918.119,10860.284,11109.431
03:45:00,11589.632,10908.421,10844.147,11023.624
04:00:00,11497.255,10925.39,10791.381,10921.37
04:15:00,11648.719,10958.076,10853.741,11101.803
04:30:00,11694.823,10914.202,10919.412,11279.947
04:45:00,11970.428,11224.368,11288.59,11433.658
05:00:00,12241.766,11462.719,11359.569,11642.644
05:15:00,12491.159,12039.978,11861.603,11919.229
05:30:00,12714.258,12162.658,12207.319,12290.919
05:45:00,13134.116,12467.048,12333.096,12547.213
06:00:00,13465.568,12893.487,12669.035,12653.43
06:15:00,13402.748,13161.696,12874.537,13140.323
06:30:00,13289.328,13033.487,12832.584,13079.481
06:45:00,13131.939,12831.209,12495.544,12755.335
07:00:00,13177.034,12601.748,12768.208,12584.412
07:15:00,12948.876,12456.27,12525.968,12536.113
07:30:00,13102.078,12449.323,12356.346,12563.496
07:45:00,12753.522,12468.445,12387.154,12565.753
08:00:00,12989.083,12637.991,12496.884,12697.483
08:15:00,13176.411,9563.521,12502.932,12762.643
08:30:00,13327.9,9567.377,12768.989,12866.408
08:45:00,13435.424,9727.939,12889.287,13038.031
09:00:00,13918.138,9780.206,13412.508,13545.012
09:15:00,14051.572,9919.531,13397.618,13623.931
09:30:00,13926.396,13541.232,13637.685,13909.816
09:45:00,14136.92,13849.101,13627.431,13969.318
10:00:00,14548.004,13814.377,13891.064,13958.318
10:15:00,14467.382,14210.851,14207.716,14125.161
10:30:00,14529.54,14253.592,14309.145,14400.155
10:45:00,14769.592,14310.229,14250.631,14561.961
11:00:00,14800.068,14478.981,14360.072,14420.865
11:15:00,14687.276,14551.629,14445.067,14741.555
11:30:00,14855.792,14701.197,14681.985,14845.498
11:45:00,14878.611,14699.621,14914.98,14723.866
12:00:00,15020.148,14654.085,14770.135,14941.692
12:15:00,14726.567,14621.797,15011.566,15160.167
12:30:00,14829.825,14638.702,15088.952,15091.743
12:45:00,14872.79,14785.596,15240.837,15095.148
13:00:00,14621.156,14692.262,15117.025,14938.375
13:15:00,14818.389,14705.047,15300.251,14924.677
13:30:00,15136.677,14985.399,15357.897,14822.53
13:45:00,15215.397,15000.413,15368.258,14634.76
14:00:00,15126.021,14830.856,15337.904,14616.336
14:15:00,15038.87,14626.233,15195.093,14847.096
14:30:00,15037.947,14788.171,15377.015,14939.477
14:45:00,15164.57,14573.509,15307.565,14834.521
15:00:00,15092.619,14654.039,15159.908,14810.813
15:15:00,15129.731,14536.799,15378.491,14847.472
15:30:00,15119.063,14546.226,15268.999,14963.579
15:45:00,15017.635,14616.376,15320.175,14783.579
16:00:00,15009.102,14671.125,15349.623,14904.917
16:15:00,14818.919,14750.068,15127.585,14744.747
16:30:00,14505.944,14344.395,14842.549,14583.576
16:45:00,14449.446,14257.47,14585.066,14383.253
17:00:00,14627.242,14022.738,14337.142,14200.489
17:15:00,14374.17,13886.117,14524.46,14133.248
17:30:00,14399.09,14073.091,14298.412,14264.165
17:45:00,14530.039,14314.761,14565.765,14359.567
18:00:00,15233.451,14693.298,14871.645,14955.2
18:15:00,16335.118,15614.398,15945.693,15460.528
18:30:00,17127.36,16333.522,16702.479,16625.553
18:45:00,17418.888,16593.805,17158.175,17139.499
19:00:00,17553.198,16805.135,17307.567,17071.64
19:15:00,17388.733,16649.611,17200.508,17068.279
19:30:00,17435.871,16790.482,17153.533,17355.271
19:45:00,17580.408,16653.059,17143.202,17445.954
20:00:00,17593.007,16626.063,17263.735,17323.374
20:15:00,17595.77,16651.36,17153.456,17095.726
20:30:00,17391.976,16402.198,16940.264,16934.078
20:45:00,17194.331,16220.7,16909.514,16850.875
21:00:00,16834.746,15921.133,16731.68,16503.472
21:15:00,16636.791,15553.601,16464.893,16156.399
21:30:00,16283.296,15255.31,16199.266,15978.001
21:45:00,15978.22,14925.473,15661.314,15645.455
22:00:00,15680.462,14638.251,15343.057,15282.996
22:15:00,15432.809,14299.263,15035.634,14924.868
22:30:00,14866.77,13830.603,14813.962,14483.272
22:45:00,14753.519,13588.666,14452.561,14388.945
23:00:00,14406.334,13173.093,14145.458,13972.417
23:15:00,14054.312,13124.948,13868.111,13738.413
23:30:00,13818.953,12817.697,13484.459,13479.356
23:45:00,13648.047,12583.267,13340.789,13174.619
