,WK1-Monday,WK1-Tuesday,WK1-Wednesday,WK1-Thursday,WK1-Friday,WK1-Saturday,WK1-Sunday
00:00:00,13575.423,13229.67,13438.04,12885.269,13021.783,13379.846,13602.902
00:15:00,13191.545,13048.919,12907.674,12695.838,12742.193,13317.077,13363.313
00:30:00,13064.414,12780.824,12674.354,12585.694,12649.133,13120.735,13238.653
00:45:00,12836.59,12608.681,12495.676,12416.963,12498.758,12988.136,13048.023
01:00:00,12532.873,12448.356,12452.769,12285.861,12430.347,12757.538,12849.5
01:15:00,12461.139,12342.817,12145.73,12012.502,12245.03,12647.984,12568.196
01:30:00,12377.822,12209.658,11991.356,11867.0,12187.877,12554.894,12498.888
01:45:00,12078.932,12128.465,11912.883,11729.792,11951.986,12391.451,12247.224
02:00:00,12107.332,11897.717,11762.98,11659.207,11769.39,12203.126,12059.523
02:15:00,11959.314,11940.668,11671.473,11438.189,11642.211,12033.298,11998.329
02:30:00,11877.663,11830.511,11584.711,11564.427,11640.223,12111.394,11825.69
02:45:00,11744.331,11824.366,11655.623,11407.805,11414.515,12037.102,11791.729
03:00:00,11812.143,11689.395,11483.154,11387.476,11472.628,11949.716,11627.603
03:15:00,11573.076,11593.653,11597.371,11368.039,11390.806,11945.32,11578.318
03:30:00,11531.029,11508.984,11314.33,11291.215,11307.155,11743.94,11523.171
03:45:00,11473.717,11589.632,11359.344,11270.55,11273.985,11646.88,11360.581
04:00:00,11413.111,11497.255,11336.816,11199.995,11333.313,11598.117,11386.297
04:15:00,11462.314,11648.719,11325.483,11332.001,11314.499,11771.201,11221.499
04:30:00,11535.067,11694.823,11562.283,11432.129,11507.73,11591.994,11205.562
04:45:00,11901.801,11970.428,11547.19,11571.451,11671.158,11654.28,11238.826
05:00:00,12256.323,12241.766,11905.288,11647.906,11940.449,11655.011,11273.293
05:15:00,12577.556,12491.159,12379.516,12153.416,12187.251,11938.624,11192.896
05:30:00,12935.512,12714.258,12691.93,12486.181,12643.988,11968.041,11349.449
05:45:00,13236.564,13134.116,13017.86,12718.587,12753.621,11864.257,11305.934
06:00:00,13429.727,13465.568,13210.078,13258.091,12998.037,11853.051,11412.048
06:15:00,13608.007,13402.748,13383.009,13181.822,13172.307,11593.001,11083.383
06:30:00,13478.087,13289.328,13055.875,13182.096,13199.978,11499.938,10825.955
06:45:00,13385.061,13131.939,12995.636,12846.862,13021.644,11310.304,10834.583
07:00:00,13298.447,13177.034,12759.983,12821.529,12941.519,11435.837,10697.862
07:15:00,13316.277,12948.876,12763.669,12571.37,13003.223,11595.319,10889.276
07:30:00,13103.147,13102.078,12669.276,12675.787,12923.262,12062.633,11248.326
07:45:00,13200.38,12753.522,12619.946,12659.463,12893.377,12255.797,11412.584
08:00:00,13264.099,12989.083,12638.078,9204.933,12984.685,12362.448,11498.817
08:15:00,13388.989,13176.411,12793.565,12935.268,13131.996,12615.955,11824.654
08:30:00,13577.613,13327.9,12933.616,12863.225,13308.406,12924.039,11976.197
08:45:00,13705.708,13435.424,13289.64,13083.569,13550.269,13254.389,12019.806
09:00:00,13864.339,13918.138,13505.847,13235.264,13632.416,13328.749,12483.102
09:15:00,14078.979,14051.572,13539.986,13178.708,13823.93,13487.191,12570.546
09:30:00,14205.926,13926.396,13586.203,13424.782,14093.229,13562.517,12923.965
09:45:00,14199.749,14136.92,13747.881,13629.724,14199.3,13771.872,13016.764
10:00:00,14220.318,14548.004,13837.434,13880.135,14257.389,14074.901,13247.456
10:15:00,14238.8,14467.382,14015.42,13841.516,14447.102,14157.299,13505.405
10:30:00,14357.618,14529.54,14023.056,14077.656,14509.323,14418.166,13354.632
10:45:00,14503.518,14769.592,14147.917,13963.019,14614.419,14523.848,13488.012
11:00:00,14672.052,14800.068,14283.185,14191.228,14792.963,14557.306,13615.124
11:15:00,14626.338,14687.276,14156.777,14216.636,14940.498,14941.782,13847.637
11:30:00,14728.119,14855.792,13949.662,14306.428,15224.132,14816.854,14056.775
11:45:00,14838.276,14878.611,13585.191,14465.131,15039.92,14834.226,14016.441
12:00:00,15035.876,15020.148,13505.913,14455.073,15309.458,14959.908,13944.088
12:15:00,15090.741,14726.567,14021.333,14500.773,15154.74,14938.565,14268.114
12:30:00,14774.916,14829.825,14180.322,14545.153,15270.165,14906.117,14363.939
12:45:00,14753.0,14872.79,14329.028,14569.958,15135.028,14762.508,14208.818
13:00:00,15167.074,14621.156,14470.77,14686.708,15176.051,15070.219,14453.676
13:15:00,14948.23,14818.389,14472.922,14797.837,15129.485,14948.054,14502.004
13:30:00,15281.668,15136.677,14611.511,14704.146,15032.983,14911.059,14116.499
13:45:00,15341.342,15215.397,14536.119,14811.673,15243.69,15087.19,14194.838
14:00:00,15185.104,15126.021,14347.252,14679.049,15084.87,14805.152,14236.534
14:15:00,14918.995,15038.87,14102.232,14777.261,14933.156,14872.414,14088.344
14:30:00,14879.241,15037.947,13852.449,14778.041,15178.088,14886.413,14089.563
14:45:00,14937.277,15164.57,13886.429,14666.374,15072.632,14807.391,14130.952
15:00:00,14788.248,15092.619,13903.605,14671.88,14949.174,14753.294,14190.503
15:15:00,14862.032,15129.731,14068.759,14842.155,14928.226,14540.242,14313.561
15:30:00,14692.458,15119.063,14187.792,14841.717,14840.296,14580.524,14058.006
15:45:00,14848.513,15017.635,14265.217,14773.837,15116.318,14757.09,14085.164
16:00:00,14879.421,15009.102,14346.708,14737.823,15116.062,14686.494,13957.446
16:15:00,15050.461,14818.919,14199.625,14548.062,14997.529,14698.869,14020.693
16:30:00,14653.798,14505.944,14224.14,14266.285,14925.286,14626.896,13921.7
16:45:00,14409.46,14449.446,14089.016,14137.855,14611.033,14493.992,13995.745
17:00:00,14380.9,14627.242,14067.567,13958.34,14487.792,14451.407,13857.916
17:15:00,14364.987,14374.17,14261.549,14005.467,14307.538,14404.534,13841.69
17:30:00,14459.701,14399.09,14325.928,14015.486,14492.689,14520.372,13820.456
