,JWK3-Monday,JWK3-Tuesday,JWK3-Wednesday,JWK3-Thursday,JWK3-Friday,JWK3-Saturday,JWK3-Sunday
00:00:00,12732.352,12570.093,13140.79,12262.75,13144.289,13099.324,12835.256
00:15:00,12577.43,12255.305,12821.846,11944.771,12888.903,12804.797,12559.915
00:30:00,12417.855,12010.696,12654.699,11830.931,12674.377,12616.431,12550.619
00:45:00,12304.554,11932.683,12483.484,11704.788,12532.87,12471.733,12282.393
01:00:00,12158.334,11679.288,12289.962,11618.287,12337.531,12399.197,12174.061
01:15:00,12065.458,11583.399,12270.23,11349.592,12166.235,12160.241,11975.865
01:30:00,11889.402,11436.681,11933.142,11257.816,12031.336,12028.886,11859.653
01:45:00,11777.109,11256.694,11973.74,11219.556,11962.564,11849.087,11767.892
02:00:00,11616.725,11120.269,11743.478,11087.506,11797.364,11675.447,11626.413
02:15:00,11619.453,10999.829,11763.539,11067.365,11723.889,11550.63,11477.756
02:30:00,11529.319,11145.537,11704.047,11018.284,11519.005,11473.067,11562.826
02:45:00,11469.137,10921.879,11528.59,11046.692,11462.938,11422.514,11372.91
03:00:00,11295.175,11031.283,11374.355,10965.175,11377.786,11248.86,11228.478
03:15:00,11241.971,10895.461,11280.869,10911.89,11310.255,11089.465,11288.435
03:30:00,11273.836,10860.284,11429.522,10991.76,11433.218,11140.177,11194.447
03:45:00,11239.767,10844.147,11305.749,10842.322,11174.74,11106.254,11096.833
04:00:00,11215.912,10791.381,11365.951,10860.085,11321.804,11165.474,11070.366
04:15:00,11402.793,10853.741,11452.463,11047.076,11371.474,11018.518,10959.048
04:30:00,11384.152,10919.412,11551.479,11058.317,11371.405,11114.531,11020.852
04:45:00,11522.078,11288.59,11708.287,11187.311,11509.758,11069.68,10972.44
05:00:00,11649.937,11359.569,12063.458,11387.947,11746.656,11185.629,11107.964
05:15:00,12161.202,11861.603,12293.68,11739.572,12322.954,11312.952,10965.155
05:30:00,12426.664,12207.319,12529.912,12165.957,12497.438,11323.263,11214.917
05:45:00,12661.457,12333.096,12957.386,12481.508,12899.307,11333.615,11150.875
06:00:00,13094.809,12669.035,13211.656,12857.347,13016.143,11460.174,11253.01
06:15:00,13173.443,12874.537,13480.737,12924.607,13290.23,11601.092,11116.797
06:30:00,13034.88,12832.584,13277.957,12709.393,13009.694,11191.646,10724.949
06:45:00,12824.842,12495.544,13263.14,12846.091,12997.241,11462.976,10629.267
07:00:00,12844.633,12768.208,12936.841,12766.292,13092.49,11234.935,10838.349
07:15:00,12717.278,12525.968,12690.961,12567.297,13070.674,11377.33,11104.838
07:30:00,12643.311,12356.346,12829.907,12462.466,12920.876,11637.731,11366.837
07:45:00,12813.934,12387.154,12627.759,12440.715,12784.458,11709.573,11439.019
08:00:00,12639.732,12496.884,12736.048,12413.556,13027.977,11811.541,11753.983
08:15:00,12702.139,12502.932,12876.258,12526.658,12935.132,12427.674,12053.512
08:30:00,12749.505,12768.989,13038.288,12709.854,13194.952,12719.614,12182.273
08:45:00,12841.242,12889.287,13464.626,12887.267,13226.774,12924.243,12436.879
09:00:00,12859.865,13412.508,13766.181,13107.983,13527.111,12972.503,12689.937
09:15:00,13096.632,13397.618,13919.738,13100.513,13586.696,13610.275,12740.467
09:30:00,13520.858,13637.685,13931.688,13157.637,13776.329,13581.378,12984.425
09:45:00,13826.625,13627.431,14210.897,13276.011,13858.33,13733.219,13085.064
10:00:00,13864.128,13891.064,14234.549,13408.256,14066.735,13518.399,13106.216
10:15:00,13967.12,14207.716,14151.942,13553.879,14018.825,13679.158,13367.631
10:30:00,14059.841,14309.145,14308.81,13340.925,14307.51,13827.223,13391.241
10:45:00,13966.248,14250.631,14517.782,13694.068,14158.429,14016.148,13530.81
11:00:00,14416.869,14360.072,14535.421,13795.778,14409.211,13990.214,13751.65
11:15:00,14543.969,14445.067,14438.733,13965.374,14512.468,14102.034,13708.47
11:30:00,14418.335,14681.985,14602.093,13989.384,14625.241,14333.844,13759.834
11:45:00,14746.656,14914.98,14331.61,14208.462,14562.901,13803.042,13807.668
12:00:00,14643.618,14770.135,14557.331,14239.012,14610.959,13595.949,13677.577
12:15:00,14803.183,15011.566,14907.447,14494.583,14227.661,14146.041,13922.923
