Timestamp,Times,S total_SJN,P total_SJN,Q total_SJN,pf total_SJN
2016-Feb-25 08:30:00.000,30:00.0,3161.467,3115.421,536.674,-98.546
2016-Feb-25 08:15:00.000,15:00.0,3056.149,3015.793,492.922,-98.685
2016-Feb-25 08:00:00.000,00:00.0,3022.004,2985.381,467.788,-98.791
2016-Feb-25 07:45:00.000,45:00.0,3044.149,3013.303,430.548,-98.99
2016-Feb-25 07:30:00.000,30:00.0,2968.528,2950.797,322.232,-99.405
2016-Feb-25 07:15:00.000,15:00.0,2900.689,2888.476,264.597,-99.58
2016-Feb-25 07:00:00.000,00:00.0,2869.46,2856.818,268.35,-99.56
2016-Feb-25 06:45:00.000,45:00.0,2844.468,2834.371,236.448,-99.647
2016-Feb-25 06:30:00.000,30:00.0,2838.1,2826.737,251.504,-99.602
2016-Feb-25 06:15:00.000,15:00.0,2863.466,2850.703,268.336,-99.556
2016-Feb-25 06:00:00.000,00:00.0,2911.988,2895.709,306.413,-99.443
2016-Feb-25 05:45:00.000,45:00.0,2849.509,2831.402,320.13,-99.365
2016-Feb-25 05:30:00.000,30:00.0,2774.807,2758.823,296.496,-99.424
2016-Feb-25 05:15:00.000,15:00.0,2690.18,2674.378,290.268,-99.414
2016-Feb-25 05:00:00.000,00:00.0,2654.506,2635.162,318.838,-99.273
2016-Feb-25 04:45:00.000,45:00.0,2656.625,2635.712,331.961,-99.214
2016-Feb-25 04:30:00.000,30:00.0,2650.219,2625.489,360.446,-99.067
2016-Feb-25 04:15:00.000,15:00.0,2588.832,2568.066,326.562,-99.198
2016-Feb-25 04:00:00.000,00:00.0,2633.358,2608.477,360.53,-99.056
2016-Feb-25 03:45:00.000,45:00.0,2619.209,2596.711,342.018,-99.141
2016-Feb-25 03:30:00.000,30:00.0,2622.508,2601.115,334.044,-99.183
2016-Feb-25 03:15:00.000,15:00.0,2640.857,2619.365,335.093,-99.188
2016-Feb-25 03:00:00.000,00:00.0,2637.308,2618.42,314.42,-99.284
2016-Feb-25 02:45:00.000,45:00.0,2676.396,2656.687,323.27,-99.264
2016-Feb-25 02:30:00.000,30:00.0,2688.989,2670.378,315.188,-99.309
2016-Feb-25 02:15:00.000,15:00.0,2729.061,2709.256,327.402,-99.275
2016-Feb-25 02:00:00.000,00:00.0,2748.088,2728.008,331.167,-99.269
2016-Feb-25 01:45:00.000,45:00.0,2795.903,2773.43,353.212,-99.197
2016-Feb-25 01:30:00.000,30:00.0,2844.786,2822.968,351.043,-99.233
2016-Feb-25 01:15:00.000,15:00.0,2885.182,2863.21,354.656,-99.24
2016-Feb-25 01:00:00.000,00:00.0,2936.579,2913.847,363.698,-99.227
2016-Feb-25 00:45:00.000,45:00.0,2941.306,2919.669,354.926,-99.267
2016-Feb-25 00:30:00.000,30:00.0,3027.259,3006.221,355.151,-99.308
2016-Feb-25 00:15:00.000,15:00.0,3089.042,3067.337,364.344,-99.3
2016-Feb-25 00:00:00.000,00:00.0,3194.183,3164.204,435.568,-99.064
2016-Feb-24 23:45:00.000,45:00.0,3251.609,3225.079,413.246,-99.186
2016-Feb-24 23:30:00.000,30:00.0,3275.432,3250.193,404.598,-99.232
2016-Feb-24 23:15:00.000,15:00.0,3349.627,3323.723,414.508,-99.229
2016-Feb-24 23:00:00.000,00:00.0,3433.934,3407.349,425.429,-99.228
2016-Feb-24 22:45:00.000,45:00.0,3515.342,3487.385,441.368,-99.206
2016-Feb-24 22:30:00.000,30:00.0,3634.881,3607.952,440.364,-99.261
2016-Feb-24 22:15:00.000,15:00.0,3692.72,3666.378,439.208,-99.288
2016-Feb-24 22:00:00.000,00:00.0,3748.352,3723.099,433.428,-99.328
2016-Feb-24 21:45:00.000,45:00.0,3895.053,3865.482,477.753,-99.242
2016-Feb-24 21:30:00.000,30:00.0,4036.3,4009.103,466.732,-99.328
2016-Feb-24 21:15:00.000,15:00.0,4039.842,4012.934,464.429,-99.335
2016-Feb-24 21:00:00.000,00:00.0,4073.489,4042.369,501.69,-99.237
2016-Feb-24 20:45:00.000,45:00.0,4106.591,4075.56,502.86,-99.246
2016-Feb-24 20:30:00.000,30:00.0,4086.523,4056.829,490.896,-99.274
2016-Feb-24 20:15:00.000,15:00.0,4088.031,4058.389,490.547,-99.276
2016-Feb-24 20:00:00.000,00:00.0,4117.308,4086.038,505.77,-99.241
2016-Feb-24 19:45:00.000,45:00.0,4140.206,4107.464,519.181,-99.208
2016-Feb-24 19:30:00.000,30:00.0,4033.179,4001.892,500.642,-99.225
2016-Feb-24 19:15:00.000,15:00.0,3992.237,3962.553,484.851,-99.258
2016-Feb-24 19:00:00.000,00:00.0,3993.885,3961.694,504.679,-99.197
2016-Feb-24 18:45:00.000,45:00.0,3860.482,3829.217,489.232,-99.191
2016-Feb-24 18:30:00.000,30:00.0,3670.163,3642.401,449.199,-99.246
2016-Feb-24 18:15:00.000,15:00.0,3410.821,3386.617,404.303,-99.292
2016-Feb-24 18:00:00.000,00:00.0,3297.875,3271.048,418.622,-99.189
2016-Feb-24 17:45:00.000,45:00.0,3214.007,3186.743,416.697,-99.154
2016-Feb-24 17:30:00.000,30:00.0,3241.981,3210.392,450.256,-99.028
2016-Feb-24 17:15:00.000,15:00.0,3233.458,3196.602,485.342,-98.863
2016-Feb-24 17:00:00.000,00:00.0,3321.703,3281.192,516.174,-98.783
2016-Feb-24 16:45:00.000,45:00.0,3400.498,3359.48,525.44,-98.797
2016-Feb-24 16:30:00.000,30:00.0,3567.365,3523.196,558.614,-98.764
2016-Feb-24 16:15:00.000,15:00.0,3684.355,3631.14,622.93,-98.557
