Sequence ID,Euclidean Distance
JMON12_ED,4477.006218
JMON13_ED,4702.855011
JMON14_ED,4232.972149
JMON21_ED,4477.006218
JMON23_ED,2811.10784
JMON24_ED,2609.815534
JMON31_ED,4702.855011
JMON32_ED,2811.10784
JMON34_ED,2164.883743
JMON41_ED,4232.972149
JMON42_ED,2609.815534
JMON43_ED,2164.883743
JTUE12_ED,10637.38539
JTUE13_ED,4860.963819
JTUE14_ED,3934.0103
JTUE21_ED,10637.38539
JTUE23_ED,8523.720249
JTUE24_ED,8446.918134
JTUE31_ED,4860.963819
JTUE32_ED,8523.720249
JTUE34_ED,2663.016453
JTUE41_ED,3934.0103
JTUE42_ED,8446.918134
JTUE43_ED,2663.016453
JWED12_ED,5977.558655
JWED13_ED,4051.022372
JWED14_ED,3817.4172
JWED21_ED,5977.558655
JWED23_ED,6756.212508
JWED24_ED,4205.079262
JWED31_ED,4051.022372
JWED32_ED,6756.212508
JWED34_ED,4179.806358
JWED41_ED,3817.4172
JWED42_ED,4205.079262
JWED43_ED,4179.806358
JTHU12_ED,4905.310956
JTHU13_ED,4468.63562
JTHU14_ED,4106.104801
JTHU21_ED,4905.310956
JTHU23_ED,4496.845665
JTHU24_ED,3108.829748
JTHU31_ED,4468.63562
JTHU32_ED,4496.845665
JTHU34_ED,3615.520798
JTHU41_ED,4106.104801
JTHU42_ED,3108.829748
JTHU43_ED,3615.520798
JSAT12_ED,5391.578349
JSAT13_ED,7217.368946
JSAT14_ED,28274.5463
JSAT21_ED,5391.578349
JSAT23_ED,5063.000476
JSAT24_ED,25330.43116
JSAT31_ED,7217.368946
JSAT32_ED,5063.000476
JSAT34_ED,22025.20266
JSAT41_ED,28274.5463
JSAT42_ED,25330.43116
JSAT43_ED,22025.20266
JSUN12_ED,13802.86505
JSUN13_ED,3809.271451
JSUN14_ED,26241.81863
JSUN21_ED,13802.86505
JSUN23_ED,13628.07329
JSUN24_ED,32664.34026
JSUN31_ED,3809.271451
JSUN32_ED,13628.07329
JSUN34_ED,23369.12155
JSUN41_ED,26241.81863
JSUN42_ED,32664.34026
JSUN43_ED,23369.12155
