Idx,base_load_agg,base_load
1,12.97915016,12.97915016
2,12.89745925,12.89745925
3,12.81576835,12.81576835
4,12.73407744,12.73407744
5,12.66216648,12.66216648
6,12.59025552,12.59025552
7,12.51834456,12.51834456
8,12.45087825,12.45087825
9,12.38341193,12.38341193
10,12.31594562,12.31594562
11,12.2418108,12.2418108
12,12.16767597,12.16767597
13,12.09354115,12.09354115
14,12.02828715,12.02828715
15,11.96303314,11.96303314
16,11.89777914,11.89777914
17,11.85901907,11.85901907
18,11.82025901,11.82025901
19,11.78149894,11.78149894
20,11.72877816,11.72877816
21,11.67605739,11.67605739
22,11.62333661,11.62333661
23,11.58450828,11.58450828
24,11.54567995,11.54567995
25,11.50685162,11.50685162
26,11.45421999,11.45421999
27,11.40158837,11.40158837
28,11.34895674,11.34895674
29,11.32143266,11.32143266
30,11.29390858,11.29390858
31,11.2663845,11.2663845
32,11.23311112,11.23311112
33,11.19983775,11.19983775
34,11.16656437,11.16656437
35,11.12510904,11.12510904
36,11.08365371,11.08365371
37,11.04219838,11.04219838
38,11.02593807,11.02593807
39,11.00967776,11.00967776
40,10.99341745,10.99341745
41,10.95558201,10.95558201
42,10.91774656,10.91774656
43,10.87991112,10.87991112
44,10.86324646,10.86324646
45,10.84658179,10.84658179
46,10.82991713,10.82991713
47,10.81926569,10.81926569
48,10.80861426,10.80861426
49,10.79796282,10.79796282
50,10.79409069,10.79409069
51,10.79021856,10.79021856
52,10.78634643,10.78634643
53,10.79316967,10.79316967
54,10.79999291,10.79999291
55,10.80681615,10.80681615
56,10.88134545,10.88134545
57,10.95587476,10.95587476
58,11.03040406,11.03040406
59,11.041672,11.041672
60,11.05293993,11.05293993
61,11.06420787,11.06420787
62,11.08450538,11.08450538
63,11.1048029,11.1048029
64,11.12510041,11.12510041
65,11.17820249,11.17820249
66,11.23130458,11.23130458
67,11.28440666,11.28440666
68,11.34595211,11.34595211
69,11.40749757,11.40749757
70,11.46904302,11.46904302
71,11.55434978,11.55434978
72,11.63965655,11.63965655
73,11.72496331,11.72496331
74,11.73590311,11.73590311
75,11.74684291,11.74684291
76,11.75778271,11.75778271
77,11.70288041,11.70288041
78,11.64797811,11.64797811
79,11.59307581,11.59307581
80,11.55825216,11.55825216
81,11.52342852,11.52342852
82,11.48860487,11.48860487
83,11.47359502,11.47359502
84,11.45858517,11.45858517
85,11.44357532,11.44357532
86,11.48401239,11.48401239
87,11.52444946,11.52444946
88,11.56488653,11.56488653
89,11.61352438,11.61352438
90,11.66216223,11.66216223
91,11.71080008,11.71080008
92,11.75518853,11.75518853
93,11.79957697,11.79957697
94,11.84396542,11.84396542
95,11.88761645,11.88761645
96,11.93126748,11.93126748
97,11.97491851,11.97491851
98,12.07243049,12.07243049
99,12.16994248,12.16994248
100,12.26745446,12.26745446
101,12.39507686,12.39507686
102,12.52269927,12.52269927
103,12.65032167,12.65032167
104,12.73540593,12.73540593
105,12.8204902,12.8204902
106,12.90557446,12.90557446
107,12.98386347,12.98386347
108,13.06215248,13.06215248
109,13.14044149,13.14044149
110,13.21935055,13.21935055
111,13.29825962,13.29825962
