Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
102,1,11:10,08:45
132,1,11:20,00:35
10,1,11:25,02:05
215,1,20:10,15:05
149,1,16:30,00:05
148,1,17:50,03:15
42,1,12:25,00:45
206,1,15:15,05:05
211,1,16:35,03:05
163,1,13:50,14:00
177,1,10:00,09:15
194,1,15:45,01:15
185,1,13:20,06:10
191,1,17:20,02:30
131,1,17:45,15:25
45,1,19:40,00:25
27,1,09:15,07:25
88,1,10:45,03:25
91,1,14:05,13:10
159,1,21:20,05:10
196,1,16:05,03:50
50,1,15:15,10:10
29,1,21:30,01:20
135,1,20:45,02:30
28,1,16:30,11:45
6,1,10:30,07:55
34,1,21:40,14:45
75,1,18:25,03:25
95,1,16:25,01:35
118,1,14:10,03:25
80,1,22:25,00:00
61,1,21:30,01:00
24,1,15:15,01:00
