Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
113,2,05:05,00:25
6,2,06:20,00:20
106,2,14:00,00:25
141,2,14:00,00:30
179,1,16:00,20:55
180,1,07:50,18:00
170,2,19:05,00:20
39,2,09:55,00:30
191,1,08:45,02:05
123,2,13:30,00:20
65,1,12:40,09:55
140,1,13:15,14:20
130,1,18:30,06:00
19,1,14:45,04:40
26,1,13:20,03:10
152,1,17:40,05:10
97,1,20:00,05:25
176,2,10:20,00:20
174,2,18:40,00:20
118,2,18:10,00:15
194,1,12:10,07:40
70,1,15:05,01:15
185,2,19:55,00:20
22,2,16:15,00:15
172,2,19:05,00:20
210,2,15:10,00:20
161,2,10:00,00:20
209,2,10:35,00:30
61,2,10:05,00:20
7,2,08:50,00:15
56,2,14:10,00:20
203,2,14:25,00:20
11,1,20:10,01:05
