Customer ID,Charging Level,Start Time(Minutes from 00:00 AM),Duration(Minutes)
44,2,1065 min,50 min
92,2,725 min,25 min
105,2,430 min,30 min
204,2,305 min,20 min
110,2,980 min,20 min
217,2,600 min,20 min
80,2,430 min,25 min
10,2,605 min,20 min
132,2,1025 min,20 min
170,2,1355 min,20 min
182,2,865 min,20 min
97,2,1365 min,25 min
136,2,920 min,20 min
5,2,555 min,20 min
106,2,745 min,20 min
121,2,1175 min,20 min
40,2,830 min,20 min
67,2,1285 min,20 min
83,2,755 min,25 min
41,2,515 min,20 min
209,2,675 min,20 min
19,2,880 min,85 min
88,2,1000 min,20 min
21,2,710 min,20 min
34,2,1365 min,40 min
190,2,795 min,20 min
147,2,595 min,20 min
159,2,905 min,15 min
33,2,780 min,20 min
85,2,450 min,20 min
169,2,800 min,25 min
187,2,865 min,15 min
162,2,1355 min,20 min
