Customer ID,Charging Level,Start Time(Minutes from 00:00 AM),Duration(Minutes)
15,2,910 min,20 min
178,2,245 min,20 min
190,1,985 min,1125 min
134,1,390 min,255 min
120,2,1070 min,20 min
194,2,1425 min,15 min
112,1,1325 min,240 min
212,1,625 min,2175 min
23,1,925 min,15 min
150,2,575 min,20 min
62,1,755 min,720 min
106,2,760 min,25 min
158,1,1050 min,1255 min
151,1,1060 min,1110 min
30,1,495 min,70 min
72,2,1065 min,20 min
46,2,1005 min,15 min
211,1,1210 min,2735 min
117,2,1180 min,20 min
35,2,340 min,30 min
34,2,905 min,20 min
99,2,640 min,20 min
