Customer ID,Charging Level,Start Time(Minutes from 00:00 AM),Duration(Minutes)
167,1,1350 min,155 min
192,1,1090 min,2840 min
35,1,605 min,305 min
143,1,1215 min,1300 min
182,1,810 min,4595 min
200,1,940 min,155 min
150,1,945 min,15 min
198,1,620 min,675 min
62,1,765 min,25 min
70,1,695 min,5625 min
26,1,1020 min,260 min
188,1,965 min,665 min
6,1,1130 min,610 min
123,1,1020 min,37505 min
206,1,840 min,30 min
180,1,1295 min,55 min
5,1,1030 min,205 min
61,1,960 min,505 min
12,1,975 min,670 min
99,1,1050 min,255 min
135,1,835 min,3645 min
95,1,1195 min,55 min
75,1,1335 min,135 min
39,1,1365 min,7840 min
83,1,1115 min,795 min
63,1,725 min,2105 min
208,1,1200 min,20 min
10,1,585 min,10 min
168,1,595 min,80 min
139,1,1070 min,100 min
111,1,685 min,300 min
66,1,1380 min,410 min
45,1,705 min,655 min
