Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
P93C3,2,09:15,00:25
P156C10,2,15:50,00:30
P1C1,2,15:50,00:20
P71C5,2,07:40,01:45
P34C11,2,09:30,01:55
P22C7,2,18:10,01:05
P44C4,2,14:20,01:15
P79C6,2,11:50,01:05
P89C2,2,21:50,01:05
P115C12,2,15:25,00:50
P93C4,2,12:10,00:30
P148C7,2,18:30,00:25
P49C8,2,15:35,00:35
P190C11,2,18:40,00:50
P9C3,2,14:50,01:35
P145C7,2,10:50,02:10
P92C9,2,06:35,00:25
P119C5,2,18:10,01:30
P33C6,2,21:15,01:25
P47C4,2,07:55,00:25
P173C10,2,14:35,00:30
P208C4,2,20:55,00:30
P72C12,2,14:50,01:35
P150C3,2,13:15,00:25
P189C10,2,16:45,01:30
P193C2,2,06:45,02:05
P19C12,2,12:50,01:15
P11C4,2,09:15,00:40
P38C11,2,22:00,00:45
P189C9,2,17:55,00:40
P23C6,2,10:45,02:25
P92C12,2,11:00,00:20
P205C6,2,18:40,00:40
P113C11,2,11:45,00:30
P148C6,2,22:25,01:50
P73C1,2,11:05,01:00
P147C5,2,17:25,00:20
P179C1,2,12:40,00:40
P5C6,2,11:05,00:25
P160C2,2,14:35,00:40
P211C8,2,22:55,01:25
P159C8,2,13:00,00:20
P66C4,2,13:35,01:10
P170C2,2,12:50,01:05
P25C3,2,17:10,01:30
P97C6,2,13:10,02:00
P194C2,2,16:40,02:10
P68C8,2,09:45,02:20
P67C7,2,21:00,01:10
P30C3,2,06:05,00:50
P5C8,2,14:05,00:25
P145C2,2,05:45,02:20
P51C4,2,18:20,00:30
P63C4,2,15:00,02:20
P105C3,2,15:10,01:30
P13C11,2,14:30,00:20
P120C5,2,18:25,00:25
P34C3,2,11:05,00:40
P123C2,2,18:05,01:00
P10RC1,2,14:30,00:35
P23C12,2,18:50,00:35
P90C7,2,15:45,00:20
P213C12,2,14:25,02:20
P211C11,2,11:25,00:25
P13C3,2,17:30,00:30
P112C12,2,12:05,00:20
P138C6,2,13:40,00:20
P108C12,2,18:00,00:20
P200C2,2,14:05,00:30
P122C1,2,08:40,00:40
P191C5,2,12:35,00:40
P31C4,2,09:45,01:30
P31C8,2,21:00,00:45
P171C6,2,10:10,02:00
P87C2,2,15:40,00:45
P37C5,2,14:10,00:20
P196C5,2,15:10,01:05
P77C11,2,10:35,01:40
P157C10,2,13:55,00:40
P153C2,2,13:25,01:05
P185C12,2,08:15,02:15
