Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
P93C3,1,23:20,00:35
P156C10,2,14:05,00:20
P1C1,1,15:25,07:25
P71C5,2,21:55,00:45
P34C11,1,21:50,07:15
P22C7,1,15:25,03:05
P44C4,2,10:45,00:50
P79C6,1,13:00,01:20
P89C2,2,09:45,02:20
P115C12,2,23:35,00:55
P93C4,1,11:50,02:10
P148C7,1,22:40,01:40
P49C8,1,11:35,01:25
P190C11,2,14:50,00:30
P9C3,1,19:05,05:55
P145C7,2,18:05,01:00
P92C9,1,14:45,01:00
P119C5,2,14:25,00:20
P33C6,2,18:25,00:40
P47C4,2,21:10,01:00
P173C10,2,12:05,00:20
P208C4,1,15:50,09:00
P72C12,2,14:05,00:30
P150C3,1,18:25,07:35
P189C10,2,17:30,01:25
P193C2,1,09:15,04:15
P19C12,1,04:40,00:35
P11C4,1,19:35,02:35
P38C11,2,16:15,01:40
P189C9,1,10:20,08:35
P23C6,2,18:20,01:30
P92C12,1,21:20,03:40
P205C6,1,11:45,04:30
P113C11,2,15:10,00:35
P148C6,1,14:45,11:40
P73C1,1,05:05,00:25
P147C5,1,16:30,00:55
P179C1,2,11:20,00:55
P5C6,2,20:15,00:25
P160C2,1,19:05,00:30
P211C8,1,17:15,10:00
P159C8,1,19:25,01:05
P66C4,2,21:05,00:30
P170C2,2,17:15,01:30
P25C3,1,18:05,08:05
P97C6,2,15:40,00:30
P194C2,1,17:45,06:40
P68C8,1,14:15,02:45
P67C7,1,16:35,01:50
P30C3,1,17:00,02:15
P5C8,2,14:55,02:00
P145C2,1,18:20,01:15
P51C4,1,19:45,00:25
P63C4,2,15:25,00:55
P105C3,1,17:55,00:45
P13C11,2,17:40,01:25
P120C5,2,12:30,02:05
P34C3,1,16:55,02:25
P123C2,1,19:50,01:40
P10RC1,1,23:05,01:25
P23C12,2,13:50,00:20
P90C7,2,07:30,01:40
P213C12,1,11:40,00:30
P211C11,2,15:20,02:20
P13C3,2,14:25,00:20
P112C12,1,05:25,03:15
P138C6,1,13:10,06:55
P108C12,2,17:25,00:35
P200C2,2,11:55,00:30
P122C1,1,13:50,10:55
P191C5,2,13:45,02:30
P31C4,2,23:50,00:20
P31C8,2,14:25,02:10
P171C6,2,17:45,02:25
P87C2,1,19:45,05:40
P37C5,2,06:55,01:05
P196C5,2,18:05,00:40
P77C11,2,10:55,00:20
P157C10,1,09:55,01:05
P153C2,2,05:00,01:30
P185C12,1,08:30,05:40
P130C4,1,20:10,02:45
P157C7,2,08:20,01:30
P209C7,2,19:05,00:30
P63C5,1,22:15,00:30
P188C11,1,13:20,00:20
P92C4,2,08:35,01:30
P202C4,1,13:05,09:25
P137C3,1,16:45,04:10
P129C7,1,21:40,05:50
P26C12,2,15:05,00:20
P199C3,2,14:20,00:30
P96C1,1,14:05,04:45
P215C7,2,16:40,00:20
P88C5,1,20:55,00:35
P55C2,1,14:55,00:25
P189C5,1,16:15,02:10
P118C5,2,18:10,01:00
P1C7,1,12:05,01:40
P127C2,1,21:55,00:55
P73C5,1,11:55,03:00
P109C9,1,11:50,01:15
P184C10,2,11:10,00:20
P78C10,1,05:30,03:30
P214C7,2,12:15,00:20
P127C12,1,08:15,03:30
P4C11,1,16:30,03:25
P193C4,1,15:20,01:45
P143C1,1,20:05,01:30
P206C6,2,19:40,01:30
P38C2,1,11:35,06:25
P30C10,2,11:00,00:40
P193C6,1,17:25,03:55
P143C11,2,15:50,00:30
P15C11,2,19:20,00:20
P156C4,1,15:15,07:25
P155C12,2,10:05,02:00
P211C2,2,18:50,01:00
P147C3,1,01:55,06:50
P28C5,1,19:15,02:40
P5C7,2,15:45,01:30
P7C9,1,11:15,01:10
P9C2,2,14:05,00:20
P57C4,1,18:50,02:55
P177C7,2,08:45,00:25
P110C10,2,18:30,01:20
P113C3,1,17:45,05:35
P174C1,2,13:30,00:55
P28C4,2,08:30,00:50
P64C1,2,16:10,01:10
P118C12,2,08:05,00:45
P199C8,2,16:00,00:25
P114C6,2,13:40,00:30
P5C5,1,20:15,01:30
P164C3,2,15:25,00:30
P53C8,1,19:55,00:25
P165C3,1,09:45,05:35
P83C4,2,17:00,01:25
P177C2,2,22:20,01:25
P153C4,1,18:30,06:50
P214C4,1,16:00,02:25
P30C4,1,17:20,08:00
P14C9,1,21:40,00:20
P27C8,1,18:50,01:10
P11C12,1,16:55,11:20
P25C2,1,11:30,13:45
P52C2,2,17:00,00:55
P145C9,2,17:50,00:55
P113C6,1,13:40,02:15
P4C3,2,18:10,00:40
P16C10,1,16:50,03:45
P197C8,1,20:15,02:45
P114C9,1,03:40,04:25
P46C1,1,18:25,01:25
P57C9,1,11:30,02:00
P151C9,1,07:35,06:20
P43C8,2,13:55,02:00
P116C11,2,11:10,02:00
P197C7,1,23:20,06:20
P172C9,2,08:55,00:45
P54C5,2,16:40,01:00
P101C3,2,17:25,01:10
P123C6,2,17:15,00:20
P168C3,1,12:35,01:00
P34C8,1,08:50,04:30
P5C4,1,16:35,03:05
P16C5,2,15:00,00:20
P99C8,2,17:30,00:30
P120C9,1,21:50,05:05
P114C1,2,10:55,00:25
P69C10,2,13:35,02:30
P199C9,1,09:00,01:50
P115C11,2,15:15,00:50
P80C9,2,12:50,00:30
P110C9,2,13:40,02:30
P150C9,1,11:05,13:55
P133C5,2,18:20,01:25
P60C6,2,14:45,00:25
P15C8,2,14:35,00:45
P207C5,1,16:40,01:15
P125C3,1,12:30,05:30
P46C10,2,16:05,00:30
P151C8,2,18:30,00:40
P201C2,1,16:20,03:45
P58C6,1,22:40,03:40
P160C6,2,14:35,00:30
P41C10,1,10:00,00:45
P126C7,2,23:40,00:55
P105C6,2,06:45,00:30
P185C2,1,12:45,00:45
P58C11,1,15:20,00:50
P15C6,1,18:00,00:30
P146C11,1,16:40,02:25
P154C4,2,11:00,00:40
P180C10,1,12:10,00:50
P209C4,2,08:05,00:25
P4C6,2,18:40,00:40
P52C9,2,22:10,00:25
P121C1,2,01:55,00:35
P189C7,1,10:45,01:30
P207C4,1,12:25,12:30
P110C6,2,20:10,00:40
P182C7,1,05:45,06:20
P126C1,2,14:25,00:45
P81C6,2,15:40,00:25
P98C1,2,13:40,00:50
P118C6,2,23:15,00:20
P211C5,1,11:25,00:55
P183C12,1,17:40,07:20
P199C2,1,12:50,05:05
P82C2,2,15:05,00:50
P191C1,2,09:50,01:35
P36C12,2,23:55,00:20
P27C10,1,12:35,09:25
P29C4,2,21:35,01:05
P101C1,2,17:00,01:25
P5C9,1,14:10,00:25
P186C12,2,11:20,00:35
P163C2,2,18:20,01:25
P4C7,1,12:05,01:30
P37C3,1,11:45,08:35
P70C12,1,16:00,04:10
P28C6,2,15:15,01:10
P158C10,1,11:20,09:30
P214C1,1,16:10,02:25
P184C12,1,19:40,01:25
P113C8,2,19:50,00:25
P173C5,1,15:40,02:35
P165C6,1,14:35,01:55
P177C9,2,08:35,00:30
P92C7,1,17:25,09:05
P107C4,2,20:05,01:30
P206C5,2,07:25,00:25
P62C9,1,17:00,00:35
P97C8,1,16:25,13:40
P116C2,1,08:55,00:35
P4C8,2,17:30,01:15
P115C1,2,22:55,00:25
P87C10,2,14:10,00:50
P157C4,2,17:10,00:35
P67C8,2,18:20,02:15
P174C9,2,18:40,02:30
P112C2,2,13:10,00:50
P38C3,1,17:05,00:25
P153C9,2,06:40,00:20
P117C10,1,08:15,04:30
P13C2,2,12:50,00:55
P85C3,2,17:20,00:30
P130C12,1,12:40,12:25
P178C6,2,23:40,00:50
P10RC10,2,22:15,00:25
P190C2,1,20:50,03:00
P77C8,1,16:05,07:25
P189C6,1,17:00,00:20
P209C8,1,22:40,07:30
P159C11,2,18:15,00:35
P110C12,2,18:35,00:20
P119C11,2,15:00,01:00
P62C2,1,09:20,06:25
