Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
P93C3,1,10:25,00:35
P156C10,1,16:45,02:10
P1C1,1,16:35,09:00
P71C5,1,02:35,00:20
P34C11,1,10:30,01:05
P22C7,1,21:05,02:45
P44C4,1,07:40,04:30
P79C6,1,21:50,07:15
P89C2,1,07:10,03:05
P115C12,1,17:30,00:25
P93C4,1,12:35,01:20
P148C7,1,14:50,00:25
P49C8,1,15:30,02:10
P190C11,1,13:05,01:40
P9C3,1,11:35,01:25
P145C7,1,18:25,01:50
P92C9,1,13:55,06:55
P119C5,1,19:05,05:55
P33C6,1,14:45,01:55
P47C4,1,11:25,07:20
P173C10,1,14:45,01:00
P208C4,1,19:05,02:15
P72C12,1,18:05,01:35
P150C3,1,20:30,00:20
P189C10,1,11:30,00:30
P193C2,1,17:20,05:15
P19C12,1,15:50,09:00
P11C4,1,17:40,02:45
P38C11,1,18:40,05:10
P189C9,1,08:10,07:35
P23C6,1,16:00,04:15
P92C12,1,10:05,00:35
P205C6,1,11:45,02:35
P113C11,1,17:45,01:40
P148C6,1,09:45,02:40
P73C1,1,13:15,08:35
P147C5,1,17:35,02:45
P179C1,1,18:05,03:40
P5C6,1,12:40,04:30
P160C2,1,15:05,01:25
P211C8,1,11:00,01:10
P159C8,1,10:35,05:00
P66C4,1,05:05,00:25
P170C2,1,02:55,00:55
P25C3,1,17:45,00:40
P97C6,1,10:05,00:30
P194C2,1,12:55,10:00
P68C8,1,18:20,01:05
P67C7,1,15:40,04:20
P30C3,1,17:10,03:25
P5C8,1,15:50,08:05
P145C2,1,18:15,00:45
P51C4,1,12:30,09:00
P63C4,1,17:45,06:40
P105C3,1,14:00,02:20
P13C11,1,20:10,02:45
P120C5,1,12:40,01:50
P34C3,1,12:05,02:15
P123C2,1,18:45,02:05
P10RC1,1,19:00,02:35
P23C12,1,18:20,01:15
P90C7,1,14:35,00:25
P213C12,1,14:45,12:50
P211C11,1,17:55,00:45
P13C3,1,17:00,06:45
P112C12,1,19:40,02:25
P138C6,1,09:00,01:40
P108C12,1,06:25,01:25
P200C2,1,21:00,03:00
P122C1,1,15:50,03:35
P191C5,1,14:45,08:40
P31C4,1,08:15,00:30
P31C8,1,15:45,01:10
P171C6,1,21:55,03:20
P87C2,1,17:15,06:50
P37C5,1,05:25,03:15
P196C5,1,08:45,03:15
P77C11,1,18:05,06:55
P157C10,1,21:15,04:20
P153C2,1,18:35,12:45
P185C12,1,20:20,02:35
P130C4,1,12:10,06:20
P157C7,1,15:55,10:55
P209C7,1,19:45,08:35
P63C5,1,15:40,01:30
P188C11,1,19:00,02:20
P92C4,1,20:50,09:55
P202C4,1,17:30,03:00
P137C3,1,19:45,05:40
P129C7,1,20:15,05:45
P26C12,1,08:50,12:35
P199C3,1,17:30,02:50
P96C1,1,13:30,05:05
P215C7,1,09:55,01:05
P88C5,1,22:20,01:55
P55C2,1,13:45,01:20
P189C5,1,08:30,05:40
P118C5,1,09:15,02:45
P1C7,1,15:00,01:10
P127C2,1,12:40,01:50
P73C5,1,22:15,00:30
P109C9,1,13:50,02:45
P184C10,1,15:15,00:20
P78C10,1,19:45,02:50
P214C7,1,11:40,09:25
P127C12,1,06:40,04:10
P4C11,1,13:35,01:30
P193C4,1,15:00,05:20
P143C1,1,13:45,02:35
P206C6,1,13:35,01:50
P38C2,1,21:10,04:45
P30C10,1,19:25,00:35
P193C6,1,21:45,05:10
P143C11,1,11:05,00:35
P15C11,1,11:50,01:05
P156C4,1,04:30,00:25
P155C12,1,11:10,02:10
P211C2,1,17:15,01:25
