Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
P92C10,2,16:45,02:30
P156C1,2,10:30,02:15
P1C1,2,13:15,00:40
P71C1,2,19:10,01:00
P34C9,2,13:25,00:25
P22C5,2,16:10,00:50
P44C2,2,22:50,00:45
P79C2,2,15:10,00:20
P88C9,2,08:10,00:25
P115C6,2,21:00,01:35
P92C11,2,15:00,01:00
P147C11,2,12:10,00:30
P49C6,2,18:40,00:20
P190C1,2,17:50,02:30
P9C2,2,22:00,02:20
P143C11,2,12:20,01:30
P92C4,2,14:30,00:35
P118C10,2,09:55,00:20
P33C4,2,09:40,00:50
P47C2,2,17:20,00:35
P173C1,2,17:40,00:20
P207C4,2,17:55,00:50
P72C8,2,19:55,00:50
P148C7,2,09:55,00:20
P188C11,2,16:15,00:50
P192C3,2,09:35,00:50
P19C11,2,15:40,02:00
P11C4,2,09:05,00:25
P38C9,2,21:15,01:25
P213C12,2,20:55,00:30
P23C5,2,16:45,01:30
P92C7,2,10:45,02:25
P204C6,2,18:40,00:20
P113C4,2,17:25,00:20
P147C10,2,21:55,00:45
P72C9,2,07:35,00:20
P146C9,2,15:30,02:00
P178C3,2,13:45,02:20
P5C5,2,19:10,01:20
P159C5,2,15:25,00:20
P209C8,2,19:50,00:40
P158C11,2,21:15,00:30
P66C1,2,16:30,00:20
P168C5,2,08:40,00:40
P25C2,2,10:40,01:30
P96C12,2,12:20,00:50
P193C3,2,13:55,00:40
P68C5,2,18:50,00:25
P67C3,2,15:45,00:20
P30C1,2,05:30,01:00
P5C7,2,10:40,01:35
P143C5,2,13:30,00:25
P51C1,2,16:20,01:00
P63C1,2,18:55,01:10
P104C9,2,14:55,00:40
P13C11,2,17:45,00:50
P119C10,2,19:05,00:35
P34C1,2,22:15,00:30
P122C7,2,20:25,00:50
P213C2,2,06:55,01:25
P23C10,2,15:20,02:20
P90C2,2,22:45,02:20
P146C8,2,09:15,01:30
P209C11,2,21:05,02:00
P13C3,2,16:20,01:35
P112C5,2,18:15,00:50
P137C10,2,21:05,00:20
P108C6,2,18:10,00:40
P199C3,2,23:10,01:00
P121C6,2,15:40,00:40
P190C6,2,14:25,01:10
P31C3,2,12:15,00:35
P31C6,2,14:15,00:20
P170C9,2,14:15,00:25
P86C9,2,11:35,00:20
P37C3,2,11:45,00:40
P194C6,2,15:35,00:20
P77C6,2,15:00,01:05
P157C1,2,21:05,01:15
P152C6,2,09:55,00:30
P185C1,2,20:25,02:05
P129C8,2,15:50,00:20
P156C10,2,11:00,00:40
P77C7,2,15:50,00:30
P63C2,2,15:55,00:30
P186C12,2,09:55,00:30
P91C11,2,05:25,00:35
P201C5,2,23:40,00:30
P136C7,2,04:15,00:20
P127C11,2,20:50,00:50
P26C10,2,11:15,00:25
P198C4,2,17:15,00:55
P95C8,2,16:35,00:20
P214C7,2,19:15,01:15
P87C12,2,05:00,01:35
P54C12,2,11:55,01:20
P188C7,2,13:25,01:30
P117C10,2,17:00,00:20
P1C7,2,12:25,00:20
P126C7,2,11:25,00:50
P73C1,2,23:00,00:20
P109C3,2,18:10,00:45
P183C11,2,11:25,01:10
P78C6,2,14:30,00:20
P213C7,2,14:15,00:35
P127C5,2,22:40,02:30
P4C11,2,12:40,00:20
P192C5,2,18:30,00:20
P141C5,2,10:10,01:20
P205C6,2,14:20,00:25
P37C12,2,10:35,01:30
P30C8,2,21:00,01:00
P192C7,2,12:15,01:00
P143C2,2,14:05,00:55
P15C11,2,10:25,00:35
P155C7,2,15:50,01:30
P155C3,2,13:05,01:15
P209C2,2,08:05,00:35
P146C6,2,13:30,00:40
P28C4,2,22:05,01:30
P211C10,2,17:25,01:15
P7C9,2,18:25,00:35
P9C1,2,09:05,00:50
P57C1,2,19:10,00:50
P176C8,2,22:25,01:25
P110C3,2,02:50,00:55
P112C9,2,18:20,01:25
P173C3,2,12:20,00:20
P28C2,2,15:40,00:40
P63C10,2,09:00,00:55
P118C5,2,21:00,01:00
P198C9,2,15:00,00:25
P113C11,2,23:15,01:30
P5C4,2,10:30,01:30
P163C5,2,21:10,00:40
P53C5,2,18:10,01:00
P164C5,2,15:50,01:40
P82C11,2,08:45,00:20
P176C4,2,13:15,01:10
P152C7,2,16:45,00:45
P112C8,2,10:40,00:55
P30C3,2,13:55,01:15
P14C8,2,18:35,00:20
P27C6,2,05:50,00:55
P11C11,2,05:20,00:30
P25C1,2,16:55,01:00
P51C11,2,19:15,01:20
P145C1,2,15:05,00:45
P112C11,2,21:40,00:50
P4C3,2,19:40,00:55
P16C9,2,13:10,01:10
P196C8,2,23:00,00:20
P114C3,2,15:30,01:30
P44C10,2,19:20,02:05
P57C6,2,23:10,02:30
P150C12,2,19:45,00:20
P43C5,2,19:30,00:25
P116C4,2,13:45,00:20
P196C7,2,17:20,00:20
P171C10,2,08:05,01:30
P54C2,2,20:05,02:25
P100C9,2,16:45,00:50
P122C10,2,19:10,00:20
P166C6,2,18:50,00:25
P34C6,2,22:30,00:30
P203C11,2,14:10,00:25
P16C4,2,10:50,01:10
P99C2,2,08:15,00:35
P120C2,2,11:40,00:20
P113C7,2,14:55,00:50
P69C6,2,19:50,00:40
P198C10,2,09:05,01:35
P115C4,2,09:30,00:20
P80C5,2,21:45,01:30
P110C2,2,12:25,02:25
P148C12,2,15:25,00:20
P132C9,2,10:40,00:20
P60C2,2,08:35,01:35
P15C7,2,08:05,01:30
P206C5,2,11:40,00:20
P123C7,2,15:15,00:20
P46C7,2,10:35,01:20
P150C11,2,12:05,02:30
P200C2,2,23:25,00:50
P58C3,2,15:55,00:45
P159C9,2,18:30,00:20
P41C7,2,12:25,02:30
P125C11,2,18:35,01:10
P104C12,2,19:15,00:20
P184C3,2,18:10,02:00
P58C8,2,13:30,00:55
P15C6,2,13:00,00:35
P146C2,2,20:20,00:55
P153C7,2,14:35,00:25
P179C11,2,10:10,01:15
P184C12,2,17:20,00:20
P4C5,2,16:50,00:50
P52C6,2,13:35,01:50
P120C5,2,19:35,00:45
P188C8,2,20:00,01:30
P188C9,2,10:25,00:30
P109C11,2,12:20,01:30
P180C8,2,17:20,01:15
P125C5,2,17:10,00:30
P81C1,2,17:50,01:10
P97C7,2,17:55,00:45
P117C11,2,18:30,00:25
P108C5,2,10:25,00:20
P182C12,2,18:50,00:50
P198C2,2,14:30,00:35
P81C9,2,17:20,00:25
P190C2,2,09:35,00:50
P36C10,2,16:45,01:10
P27C8,2,12:50,00:20
P29C2,2,14:55,00:35
P100C7,2,20:20,00:35
P5C9,2,16:45,01:35
P186C1,2,13:00,00:20
P161C4,2,18:30,01:30
P4C7,2,15:55,00:30
P37C1,2,13:40,01:00
P70C8,2,12:25,00:25
P28C5,2,14:40,00:30
P157C12,2,18:15,01:15
P213C1,2,17:30,00:25
P184C1,2,19:55,02:15
P113C1,2,13:55,01:10
P172C6,2,06:00,00:25
P164C8,2,09:25,00:40
P176C11,2,21:50,00:30
P92C2,2,14:55,00:35
P106C9,2,13:35,01:55
P155C6,2,10:30,00:50
P62C6,2,22:15,00:30
P97C2,2,11:45,00:35
P215C3,2,21:10,00:30
P4C8,2,05:55,01:10
P114C6,2,17:25,00:30
P87C5,2,15:30,00:20
P156C7,2,08:10,00:20
