Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
P93C3,2,09:15,02:10
P156C10,2,16:40,00:20
P1C1,2,11:40,02:15
P71C5,2,08:05,00:20
P34C11,2,12:35,00:25
P22C7,2,15:25,00:20
P44C4,2,16:00,02:20
P79C6,2,15:40,02:00
P89C2,2,14:50,02:10
P115C12,2,18:10,00:20
P93C4,2,06:10,00:20
P148C7,2,23:50,00:25
P49C8,2,14:50,02:05
P190C11,2,06:45,02:20
P9C3,2,23:25,02:00
P145C7,2,22:00,02:15
P92C9,2,13:35,01:55
P119C5,2,07:05,02:05
P33C6,2,10:15,00:20
P47C4,2,14:55,02:00
P173C10,2,22:25,02:05
P208C4,2,16:10,00:20
P72C12,2,03:00,02:10
P150C3,2,14:35,02:25
P189C10,2,19:55,00:20
P193C2,2,13:35,02:05
P19C12,2,10:45,00:20
P11C4,2,15:30,02:10
P38C11,2,23:35,00:20
P189C9,2,21:55,02:15
P23C6,2,15:00,02:10
P92C12,2,14:50,02:05
P205C6,2,08:40,02:05
P113C11,2,18:05,02:10
P148C6,2,19:25,01:55
P73C1,2,19:50,00:20
P147C5,2,18:50,02:20
P179C1,2,17:30,02:05
P5C6,2,18:05,02:05
P160C2,2,11:35,00:20
P211C8,2,08:40,02:10
P159C8,2,12:35,00:20
P66C4,2,10:40,00:20
P170C2,2,10:10,02:15
P25C3,2,12:20,02:15
P97C6,2,15:10,00:25
P194C2,2,14:10,02:05
P68C8,2,22:30,02:10
P67C7,2,18:20,01:55
P30C3,2,10:40,02:05
P5C8,2,12:45,00:20
P145C2,2,05:30,02:05
P51C4,2,10:40,02:05
P63C4,2,02:25,02:05
P105C3,2,19:40,02:15
P13C11,2,15:35,02:05
P120C5,2,20:05,00:20
P34C3,2,18:50,00:20
P123C2,2,12:15,00:20
P10RC1,2,14:55,02:05
P23C12,2,11:50,02:15
P90C7,2,14:30,00:20
P213C12,2,14:40,02:25
P211C11,2,15:15,02:10
P13C3,2,15:25,02:00
P112C12,2,16:25,00:20
P138C6,2,23:20,00:20
P108C12,2,17:35,02:00
P200C2,2,14:55,00:25
P122C1,2,21:50,02:10
P191C5,2,07:30,00:20
P31C4,2,05:50,02:10
P31C8,2,16:35,00:20
P171C6,2,13:05,00:20
P87C2,2,18:50,00:25
P37C5,2,19:20,00:20
P196C5,2,12:45,02:05
P77C11,2,13:45,02:15
P157C10,2,06:45,02:10
