Customer ID,Charging Level,Start Time(HH:MM),Duration(HH:MM)
P93C3,1,10:05,00:45
P156C10,2,16:40,00:20
P1C1,1,07:10,04:40
P71C5,2,18:10,01:20
P34C11,2,11:50,01:15
P22C7,1,09:55,04:05
P44C4,2,15:35,00:35
P79C6,2,14:50,01:20
P89C2,2,20:40,01:20
P115C12,2,08:05,01:20
P93C4,1,16:05,00:45
P148C7,1,23:55,03:30
P49C8,1,09:45,11:20
P190C11,2,13:05,01:20
P9C3,2,09:35,01:15
P145C7,1,23:20,00:35
P92C9,2,14:05,01:05
P119C5,1,15:00,02:45
P33C6,1,13:50,07:15
P47C4,1,15:25,03:05
P173C10,2,10:45,01:20
P208C4,2,16:10,00:35
P72C12,1,11:50,02:10
P150C3,1,22:40,01:40
P189C10,1,11:35,01:25
P193C2,2,14:50,01:15
P19C12,1,19:05,05:55
P11C4,2,18:05,01:20
P38C11,2,18:50,01:20
P189C9,1,17:50,02:15
P23C6,2,18:25,01:25
P92C12,2,19:05,01:20
P205C6,1,15:50,09:00
P113C11,2,14:05,01:15
P148C6,1,16:00,04:15
P73C1,1,04:40,00:35
P147C5,1,19:35,02:35
P179C1,2,16:15,00:20
P5C6,2,13:25,01:10
P160C2,2,16:55,01:25
P211C8,1,18:05,03:40
P159C8,1,11:45,04:30
P66C4,2,15:10,01:10
P170C2,1,11:05,00:25
P25C3,1,16:30,00:55
P97C6,2,11:20,01:25
P194C2,1,02:05,00:30
P68C8,1,17:15,10:00
P67C7,1,19:25,01:05
P30C3,2,21:05,01:25
P5C8,1,15:50,08:05
P145C2,2,15:40,01:15
P51C4,1,14:00,02:20
P63C4,2,14:00,00:25
P105C3,1,17:00,02:15
P13C11,2,14:55,01:20
P120C5,2,16:55,00:20
P34C3,2,15:25,01:10
P123C2,2,12:30,01:10
P10RC1,1,19:40,02:25
P23C12,1,19:50,01:40
P90C7,1,23:05,01:25
P213C12,2,13:50,00:20
P211C11,2,13:10,01:10
P13C3,2,16:25,01:20
P112C12,1,17:15,06:50
P138C6,1,12:20,03:15
P108C12,2,13:40,01:20
P200C2,2,11:55,00:20
P122C1,2,12:40,00:20
P191C5,2,23:50,00:20
P31C4,2,12:00,00:25
P31C8,1,19:45,05:40
P171C6,2,06:55,01:20
P87C2,2,14:00,01:20
P37C5,2,16:40,01:20
P196C5,1,13:35,02:40
P77C11,1,08:30,05:40
P157C10,1,20:10,02:45
P153C2,2,08:20,01:30
P185C12,2,12:55,01:30
P130C4,1,16:50,00:30
P157C7,1,13:20,00:20
P209C7,2,08:35,00:25
P63C5,1,16:45,04:10
P188C11,1,21:40,05:50
P92C4,2,15:05,01:25
P202C4,2,13:45,01:05
P137C3,2,12:25,01:20
P129C7,2,14:10,01:20
P26C12,1,12:05,01:40
P199C3,1,21:55,00:55
P96C1,1,11:55,03:00
P215C7,1,11:50,01:15
P88C5,2,11:10,00:20
P55C2,1,20:40,09:00
P189C5,1,08:15,03:30
P118C5,1,16:30,03:25
P1C7,1,15:20,01:45
P127C2,1,20:05,01:30
P73C5,2,19:40,00:25
P109C9,1,15:10,03:55
P184C10,2,15:50,01:30
P78C10,1,15:10,05:50
P214C7,2,12:40,01:15
P127C12,2,18:50,00:20
P4C11,1,07:35,02:40
P193C4,2,15:45,01:20
P143C1,1,22:50,02:10
P206C6,1,18:50,02:55
P38C2,2,08:45,01:25
P30C10,1,14:25,05:35
P193C6,2,13:30,00:35
P143C11,2,18:50,01:15
P15C11,2,08:05,01:20
P156C4,1,08:55,02:55
P155C12,1,17:20,01:30
P211C2,2,15:25,01:15
P147C3,2,08:20,00:25
P28C5,1,22:25,05:35
P5C7,2,17:00,01:25
P7C9,2,09:40,01:15
P9C2,2,12:35,00:30
P57C4,2,14:20,00:25
P177C7,2,06:25,01:30
P110C10,1,18:50,01:10
P113C3,1,16:55,11:20
P174C1,1,11:30,13:45
P28C4,2,17:00,01:25
P64C1,2,09:00,00:20
P118C12,2,18:10,01:05
P199C8,2,22:40,00:20
P114C6,1,03:40,04:25
P5C5,1,18:25,01:25
P164C3,1,11:30,02:00
P53C8,1,07:35,06:20
P165C3,2,13:55,00:25
P83C4,2,17:40,00:35
P177C2,2,16:40,01:15
P153C4,1,12:15,02:40
P214C4,1,12:35,01:00
P30C4,1,08:50,04:30
P14C9,1,16:35,03:05
