,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
00:00:00,2494.286,2531.787,2563.081,2692.431,2778.272,2580.228,2687.761,2809.346,2755.07,2917.066,2605.945,2927.173,2696.556,2805.907,2961.176,2855.055,2871.155,2897.625,2764.656,2847.023,2801.679
00:15:00,2435.22,2457.418,2583.46,2640.442,2749.264,2578.784,2730.167,2785.291,2660.203,2859.659,2665.605,2905.27,2665.04,2799.409,2797.267,2664.186,2873.299,2837.806,2764.0,2790.162,2782.368
00:30:00,2354.213,2396.61,2514.806,2560.525,2664.7,2581.106,2601.354,2734.558,2614.793,2795.11,2613.328,2915.444,2721.347,2740.228,2769.692,2710.849,2876.344,2901.503,2686.012,2904.954,2836.39
00:45:00,2346.135,2398.273,2481.408,2587.273,2661.763,2551.325,2565.405,2556.73,2698.797,2827.075,2661.839,2898.24,2660.612,2673.332,2805.138,2685.831,2906.041,2840.922,2710.67,2720.531,2756.44
01:00:00,2357.615,2458.347,2434.778,2550.874,2695.899,2527.849,2587.992,2622.283,2593.519,2790.69,2698.76,2782.208,2614.411,2562.564,2766.099,2705.896,2754.602,2697.765,2623.87,2813.295,2655.138
01:15:00,2328.695,2380.471,2457.237,2529.763,2625.469,2528.256,2601.658,2692.051,2641.787,2792.14,2631.12,2644.914,2611.539,2707.841,2803.494,2629.757,2792.642,2661.557,2671.343,2707.764,2706.64
01:30:00,2306.019,2376.988,2416.76,2567.563,2617.982,2538.52,2611.178,2662.057,2571.082,2824.779,2581.091,2671.511,2547.862,2588.649,2582.596,2549.771,2759.112,2600.296,2551.62,2676.603,2569.048
01:45:00,2338.8,2342.162,2418.993,2515.594,2506.451,2516.882,2604.894,2617.105,2538.333,2717.42,2570.101,2628.141,2550.987,2515.033,2566.243,2462.382,2673.301,2479.374,2572.678,2497.108,2631.414
02:00:00,2340.13,2292.95,2450.464,2437.188,2585.631,2521.113,2613.964,2654.04,2508.375,2697.153,2549.727,2646.889,2483.325,2557.417,2645.697,2527.974,2694.528,2571.747,2558.395,2504.243,2563.442
02:15:00,2338.613,2286.408,2437.169,2451.112,2551.212,2534.79,2556.382,2597.71,2545.722,2666.135,2572.022,2692.657,2484.684,2486.655,2626.163,1704.237,2720.014,2527.398,2573.28,2533.946,2633.07
02:30:00,2353.332,2194.476,2390.089,2392.417,2531.125,2529.411,2690.559,2557.673,2561.98,2764.427,2577.237,2595.051,2549.897,2442.898,2625.656,1623.1,2724.773,2612.329,2576.255,2537.943,2669.581
02:45:00,2281.102,2214.019,2405.311,2401.423,2535.865,2520.737,2649.928,2607.453,2547.21,2749.836,2525.77,2640.595,2495.733,2362.182,2617.176,2629.941,2723.605,2567.264,2582.543,2577.913,2532.96
03:00:00,2363.838,2139.38,2387.988,2384.244,2457.307,2513.148,2582.579,2621.486,2509.226,2700.24,2492.974,2605.91,2506.461,2332.416,2661.76,2519.506,2686.594,2593.908,2556.215,2509.383,2528.546
03:15:00,2190.477,2132.34,2398.658,2357.197,2473.498,2520.11,2541.524,2621.174,2539.654,2712.353,2524.91,2610.063,2508.316,2465.826,2584.886,2468.401,2655.378,2527.266,2539.038,2514.495,2436.711
03:30:00,2286.599,2052.314,2387.401,2357.438,2475.405,2467.648,2507.139,2576.54,2402.615,2715.813,2433.422,2462.723,2492.021,2364.426,2524.666,2374.124,2600.668,2493.461,2583.41,2471.175,2405.959
03:45:00,2189.685,2084.867,2289.015,2301.919,2436.274,2459.07,2516.42,2505.715,2495.293,2645.138,2491.238,2520.36,2403.687,2390.111,2575.499,2548.964,2628.691,2531.467,2499.682,2516.59,2399.495
04:00:00,2264.499,2138.185,2281.077,2294.441,2486.961,2460.153,2496.694,2542.539,2422.586,2606.801,2471.813,2513.551,2456.059,2394.493,2557.349,2514.262,2619.174,2482.033,2530.496,2425.163,2370.987
04:15:00,2227.63,2067.145,2285.063,2271.929,2522.018,2464.741,2534.574,2535.916,2451.633,2674.886,2507.115,2486.862,2468.191,2390.934,2580.667,2536.167,2624.415,2550.964,2514.322,2488.172,2377.322
04:30:00,2189.041,2117.369,2235.977,2296.717,2456.944,2457.776,2544.913,2461.343,2384.422,2650.412,2521.032,2514.039,2398.386,2347.655,2585.067,2521.015,2599.775,2477.434,2452.498,2436.432,2347.892
04:45:00,2193.651,2020.034,2337.593,2318.355,2403.751,2458.311,2598.805,2555.546,2436.023,2548.076,2577.431,2573.924,2384.712,2370.868,2494.584,2510.312,2541.355,2466.17,2526.657,2445.044,2369.188
05:00:00,2339.619,2193.259,2421.785,2392.312,2519.813,2454.196,2519.254,2537.408,2410.187,2641.441,2575.213,2608.909,2383.345,2334.666,2607.441,2587.66,2794.173,2553.297,2559.875,2497.224,2306.984
05:15:00,2442.4,2156.396,2354.824,2381.741,2616.742,2437.785,2540.669,2500.549,2406.892,2657.25,2594.431,2565.652,2431.732,2317.416,2677.657,2704.108,2743.021,2638.201,2690.655,2489.696,2386.995
05:30:00,2418.888,2333.164,2370.329,2389.228,2520.699,2442.327,2466.851,2510.113,2445.902,2616.893,2531.447,2770.218,2388.539,2388.546,2698.536,2708.379,2846.635,2586.627,2695.788,2486.636,2337.309
05:45:00,2375.821,2267.604,2386.036,2467.327,2621.536,2480.295,2503.861,2517.004,2431.682,2692.573,2530.876,2821.637,2500.965,2426.594,2672.153,2724.602,2597.73,2586.802,2677.573,2485.577,2425.746
06:00:00,2553.604,2367.316,2352.741,2446.452,2675.96,2467.93,2410.448,2551.049,2483.546,2725.932,2570.447,2848.79,2548.693,2395.83,2651.75,2783.389,2820.854,2682.436,2613.504,2444.505,2347.332
06:15:00,2370.618,2272.014,2277.85,2420.175,2581.207,2389.288,2395.617,2384.673,2326.131,2572.684,2595.801,2740.186,2363.643,2265.826,2701.89,2596.873,2812.504,2642.207,2534.956,2255.701,2129.262
06:30:00,2227.155,2108.946,2128.039,2199.436,1139.194,2154.939,2245.153,2311.331,2179.825,2433.846,2374.459,2597.78,2080.087,2113.829,2486.034,2616.498,2745.374,2482.696,2429.224,2052.918,1958.676
06:45:00,2160.598,1993.81,2109.962,2241.457,1294.702,2167.225,2268.459,2224.038,2067.376,2431.702,2326.275,2498.232,2033.998,1996.016,2459.684,2547.643,2662.718,2451.402,2378.467,1877.775,1922.718
07:00:00,2233.585,2160.637,2107.184,2279.339,1205.587,2162.694,2248.922,2081.557,2072.84,2494.907,2367.673,2590.442,2021.457,2008.763,2492.798,2569.893,2593.05,2449.485,2485.068,1969.551,2048.94
07:15:00,2202.291,2035.635,2176.148,2264.294,1214.039,2154.39,2168.697,2071.212,2030.574,2553.788,2411.847,2611.364,2073.509,1992.107,2618.069,2624.035,2882.119,2435.522,2416.065,2039.094,2017.106
07:30:00,2232.139,2164.972,2151.206,2274.83,1235.169,2164.32,2084.58,2135.324,1965.0,2532.474,2222.632,2601.499,2078.297,2074.104,2640.438,2696.942,2908.539,2557.168,2551.094,2022.376,2095.575
07:45:00,2293.444,2256.656,2187.804,2371.082,2659.823,2145.268,2221.262,2110.437,2061.353,2612.984,2731.426,2638.435,2262.476,2072.689,2884.234,2781.837,2928.361,2583.126,2674.906,2244.394,2079.467
08:00:00,2361.82,2215.513,2438.837,2457.896,2551.062,2389.795,2259.173,2159.274,2079.314,2770.495,2906.755,2865.725,2425.036,2169.686,2878.225,2914.606,3168.266,2721.063,2834.99,2380.691,2326.673
08:15:00,2506.875,2445.077,2420.026,2486.636,2883.844,2387.953,2375.092,2217.15,2114.83,2836.043,2900.355,3009.681,2576.492,2194.031,2984.334,3020.976,3390.848,2932.426,3062.003,2616.228,2252.138
08:30:00,2597.211,2726.232,2546.498,2607.139,2908.828,2347.29,2334.059,2294.498,2238.609,2964.707,3068.27,3274.753,2726.027,2382.809,3183.865,3162.409,3552.578,3061.024,3145.292,2726.479,2447.313
08:45:00,2626.823,2862.118,2640.868,2949.448,2903.03,2135.86,2647.738,2305.755,2282.062,2920.433,3048.494,3345.575,2674.758,2369.801,3189.308,3312.51,3591.411,3236.465,3218.4,2772.102,2551.908
09:00:00,2967.211,2833.426,2636.783,3027.943,2895.855,2408.239,2736.934,2309.434,2278.32,3002.171,3135.034,3421.454,2769.024,2494.24,3339.487,3358.048,3751.341,3224.971,3245.759,2791.052,2479.157
09:15:00,2963.593,2927.272,2766.737,3057.04,3079.347,2400.249,2785.138,2455.72,2290.861,3027.875,3149.663,3353.338,2713.227,2519.116,3358.054,3346.29,3791.62,3354.775,3442.229,2843.596,2757.074
09:30:00,2991.741,2896.8,2996.34,3139.882,3071.588,2454.1,2706.104,2461.789,2315.583,3035.21,3343.115,3336.805,2910.136,2641.408,3409.263,3448.505,3856.358,3353.844,3307.226,2939.479,2527.069
09:45:00,3083.424,2920.486,3027.344,3160.8,3138.34,2529.334,2764.524,2470.923,2444.434,3108.049,3414.027,3518.048,2961.469,2680.867,3490.057,3554.154,3925.6,3389.182,3417.781,3018.13,2706.43
10:00:00,3055.155,3123.818,3124.136,3143.539,3129.377,2593.068,2773.11,2445.907,2662.007,3111.628,3423.979,3593.803,3007.534,2714.332,3471.601,3566.572,3899.346,3439.791,3457.08,2996.425,2770.58
10:15:00,3080.745,3111.304,3115.403,3140.255,3123.842,2703.354,2754.057,2493.908,2697.819,3146.165,3424.786,3625.004,3120.397,2913.098,3492.525,3682.795,4032.543,3536.346,3530.606,3161.98,2852.253
10:30:00,3158.071,3098.434,3120.024,3150.562,3118.555,2698.281,2759.902,2523.301,2699.922,2512.117,3451.228,3596.814,3127.93,2929.024,3598.0,3677.283,4050.735,3650.413,3547.115,3349.259,2890.749
10:45:00,3193.927,3090.878,3063.849,3273.486,3093.583,2818.04,2861.918,2582.145,2742.304,3119.075,3407.031,3617.252,3133.396,2934.276,3698.157,3806.156,4154.721,3619.723,3603.476,3301.134,2955.141
11:00:00,3191.858,3027.196,3137.741,3257.099,3222.056,2869.195,2952.962,2667.513,2759.113,3146.771,3512.454,3610.55,3107.012,2998.969,3744.019,3725.449,4183.708,3786.533,3581.51,3465.609,2981.113
11:15:00,3242.393,3104.231,3093.835,3266.492,3160.945,2953.129,2942.599,2635.575,2752.275,3167.167,3551.628,3722.041,3143.783,3032.296,3738.586,3702.749,4210.263,3722.872,3660.805,3450.548,3031.651
11:30:00,3213.465,3156.386,3093.065,3257.131,3190.82,2925.106,2938.557,2656.511,2719.437,3234.134,3515.655,3910.459,3187.104,3009.764,3704.337,3620.708,4225.292,3709.186,3609.254,3475.869,3040.796
11:45:00,3302.285,3104.585,2956.737,3346.621,3197.157,2885.185,2942.848,2702.567,2744.226,3343.083,3600.658,3896.052,3256.637,3119.26,3682.283,3705.32,4104.331,3688.637,3692.834,3397.284,3077.513
12:00:00,3291.026,3164.553,3013.919,3270.191,2997.056,2947.706,2943.662,2686.196,2830.416,3447.654,3700.542,3781.484,3252.6,3027.513,3778.608,3686.036,4179.087,3748.473,3612.246,3431.095,3061.428
12:15:00,3286.891,3212.812,3233.991,3270.86,2924.027,2938.294,2959.6,2784.545,2760.389,3622.39,3657.727,3721.496,3258.452,2992.538,3766.489,3640.396,4170.344,3646.825,3515.713,3416.951,3140.08
12:30:00,3282.954,3142.776,3130.751,3261.186,2845.853,2935.816,2906.479,2694.872,2723.042,3702.881,3628.274,3754.854,3251.805,2992.01,3889.855,3643.715,4186.945,3652.799,3511.809,3427.28,3082.82
12:45:00,3375.613,3097.167,3214.836,3281.319,2871.484,2953.505,2879.993,2776.381,2761.951,4102.557,3600.992,3775.547,3250.592,3030.67,3859.965,3712.162,4202.122,3676.031,3594.076,3487.962,3084.584
13:00:00,3317.722,3297.445,3244.131,3227.017,2816.161,2926.382,2851.383,2735.929,2655.301,4137.306,3734.023,3769.051,3272.54,2966.047,3984.122,3736.76,4227.799,3758.447,3548.437,3492.792,2963.983
13:15:00,3289.071,3263.067,3255.297,3192.285,2687.312,2827.074,2903.862,2805.65,2759.958,4066.052,3657.828,3822.434,3194.332,2957.647,3883.406,3672.084,4245.175,3779.784,3644.482,3502.953,2950.756
13:30:00,3266.87,3223.627,3183.165,3267.353,2813.997,2855.026,2844.015,2756.84,2730.514,4076.902,3773.342,3747.1,3180.959,2880.604,3865.045,3605.756,4197.803,3720.896,3667.003,3374.681,2948.695
13:45:00,3281.211,3239.225,3202.012,3345.028,2766.28,2865.738,2777.816,2742.512,2803.927,4093.948,3781.819,3670.712,3202.248,2944.887,3792.782,3613.195,4242.237,3743.172,3708.636,3354.355,2923.181
14:00:00,3347.061,3298.462,3259.825,3275.399,2878.803,2870.392,2832.335,2748.22,2825.583,4175.193,3775.908,3858.08,3130.886,2950.751,3839.212,3624.119,4222.05,3731.565,3638.616,3356.133,2948.006
14:15:00,3323.248,3256.395,3251.667,3302.46,2753.935,3000.822,2872.553,2767.023,2893.421,4103.812,3783.141,3811.952,3129.617,2976.868,3810.026,3638.459,4264.604,3758.602,3598.364,3314.753,2957.927
14:30:00,3263.203,3197.774,3257.785,3228.003,2786.058,2952.393,2835.117,2757.486,2864.223,3790.596,3866.389,3786.978,3157.773,2986.406,3851.745,3719.428,4262.658,3676.912,3640.361,3316.808,2927.633
14:45:00,3193.511,3270.559,3215.615,3341.275,2706.262,2900.209,2767.826,2679.671,2814.599,3776.989,3713.438,3739.325,3120.473,2996.06,3690.807,3661.791,4199.303,3681.876,3674.857,3321.412,2868.696
