,P-FW1-FRI,P-FW2-FRI,P-FW3-FRI
00:00:00,2268.783,3000.651,3001.912
00:15:00,2224.854,2964.41,2927.982
00:30:00,2201.484,2920.852,2889.92
00:45:00,2111.892,2846.574,2780.83
01:00:00,2109.108,2785.212,2720.138
01:15:00,2039.422,2733.211,2693.203
01:30:00,2063.657,2713.9,2664.684
01:45:00,2011.487,2665.519,2638.2
02:00:00,1992.707,2663.367,2597.982
02:15:00,1969.247,2627.343,2591.175
02:30:00,1944.132,2617.653,2532.257
02:45:00,1916.47,2553.381,2549.962
03:00:00,1950.219,2582.447,2487.381
03:15:00,1889.393,2542.077,2495.513
03:30:00,1927.462,2518.14,2484.508
03:45:00,1898.722,2513.105,2495.227
04:00:00,1939.802,2498.4,2469.618
04:15:00,1878.918,2530.533,2484.703
04:30:00,1920.4,2499.304,2525.355
04:45:00,1968.759,2541.761,2536.986
05:00:00,1987.02,2564.157,2568.502
05:15:00,1955.913,2564.407,2578.276
05:30:00,2029.407,2643.632,2645.111
05:45:00,2041.809,2698.697,2699.176
06:00:00,2141.003,2759.879,2755.737
06:15:00,2137.598,2757.302,2784.643
06:30:00,2046.844,2832.409,2749.157
06:45:00,2111.423,2782.002,2768.9
07:00:00,2203.147,2802.24,2760.799
07:15:00,2150.603,2864.378,2860.321
07:30:00,2215.882,2857.44,2825.959
07:45:00,2207.746,2842.967,2830.481
08:00:00,2088.816,2829.259,2797.756
08:15:00,2163.353,2942.766,2962.812
08:30:00,2181.172,3105.822,3056.855
08:45:00,2193.79,3179.527,3126.693
09:00:00,2219.419,3208.452,3162.351
09:15:00,2225.786,3272.944,3275.638
09:30:00,2246.754,3255.268,3320.473
09:45:00,2279.998,3371.761,3336.651
10:00:00,2328.288,3428.688,3354.36
10:15:00,2302.155,3452.96,3394.176
10:30:00,2331.793,3499.791,3401.204
10:45:00,2358.96,3518.526,3419.898
11:00:00,2361.375,3636.287,3483.292
11:15:00,2362.456,3654.077,3527.615
11:30:00,2291.854,3705.829,3560.484
11:45:00,2232.967,3733.93,3591.637
12:00:00,2071.348,3723.329,3597.121
12:15:00,2052.08,3664.544,3557.967
12:30:00,1978.091,3732.365,3547.697
12:45:00,1952.137,3723.07,3522.916
13:00:00,1904.686,3695.819,3553.387
13:15:00,1877.632,3717.146,3508.102
13:30:00,1883.188,3705.6,3509.143
13:45:00,1869.328,3730.655,3520.434
14:00:00,1867.607,3749.091,3566.166
14:15:00,1906.503,3800.888,3537.953
14:30:00,1915.087,3779.892,3505.148
14:45:00,1926.183,3738.557,3587.749
15:00:00,1891.741,3741.281,3595.214
15:15:00,1884.107,3642.947,3630.474
15:30:00,1864.187,3630.409,3653.657
15:45:00,1854.952,3633.141,3650.956
16:00:00,1900.973,3612.478,3620.824
16:15:00,1849.994,3571.182,3572.916
16:30:00,1847.509,3408.79,3447.301
16:45:00,1875.47,3269.281,3222.423
17:00:00,1881.291,3198.658,3147.607
17:15:00,1880.436,3094.082,3055.075
17:30:00,1871.397,3062.213,3049.102
17:45:00,2358.272,3023.697,3040.298
18:00:00,2719.824,3075.287,3172.98
18:15:00,2778.617,3166.964,3270.024
18:30:00,2948.353,3329.399,3474.426
18:45:00,3136.843,3581.618,3689.109
19:00:00,3142.473,3606.175,3788.64
19:15:00,3161.76,3640.439,3780.524
19:30:00,3216.077,3657.327,3849.484
19:45:00,3230.007,3683.698,3858.321
20:00:00,3193.094,3644.168,3850.93
20:15:00,3155.207,3625.698,3808.812
20:30:00,3166.428,3620.979,3854.873
20:45:00,3184.365,3583.739,3811.236
21:00:00,3201.699,3513.192,3776.155
21:15:00,3209.688,3466.38,3784.25
21:30:00,3174.165,3457.0,3805.142
21:45:00,3143.925,3446.679,3696.223
22:00:00,3181.172,3394.62,3656.592
22:15:00,3134.07,3292.533,3523.115
22:30:00,3064.247,3327.531,3516.49
22:45:00,3019.87,3217.709,3360.807
23:00:00,2954.993,3185.425,3319.963
23:15:00,2884.458,3078.406,3231.179
23:30:00,2869.913,3087.139,3143.64
23:45:00,2807.905,3025.148,3153.885
