,F-JW1-FRI,F-JW2-FRI,F-JW3-FRI
0,2778.272,2927.173,2764.656
1,2749.264,2905.27,2764.0
2,2664.7,2915.444,2686.012
3,2661.763,2898.24,2710.67
4,2695.899,2782.208,2623.87
5,2625.469,2644.914,2671.343
6,2617.982,2671.511,2551.62
7,2506.451,2628.141,2572.678
8,2585.631,2646.889,2558.395
9,2551.212,2692.657,2573.28
10,2531.125,2595.051,2576.255
11,2535.865,2640.595,2582.543
12,2457.307,2605.91,2556.215
13,2473.498,2610.063,2539.038
14,2475.405,2462.723,2583.41
15,2436.274,2520.36,2499.682
16,2486.961,2513.551,2530.496
17,2522.018,2486.862,2514.322
18,2456.944,2514.039,2452.498
19,2403.751,2573.924,2526.657
20,2519.813,2608.909,2559.875
21,2616.742,2565.652,2690.655
22,2520.699,2770.218,2695.788
23,2621.536,2821.637,2677.573
24,2675.96,2848.79,2613.504
25,2581.207,2740.186,2534.956
26,1139.194,2597.78,2429.224
27,1294.702,2498.232,2378.467
28,1205.587,2590.442,2485.068
29,1214.039,2611.364,2416.065
30,1235.169,2601.499,2551.094
31,2659.823,2638.435,2674.906
32,2551.062,2865.725,2834.99
33,2883.844,3009.681,3062.003
34,2908.828,3274.753,3145.292
35,2903.03,3345.575,3218.4
36,2895.855,3421.454,3245.759
37,3079.347,3353.338,3442.229
38,3071.588,3336.805,3307.226
39,3138.34,3518.048,3417.781
40,3129.377,3593.803,3457.08
41,3123.842,3625.004,3530.606
42,3118.555,3596.814,3547.115
43,3093.583,3617.252,3603.476
44,3222.056,3610.55,3581.51
45,3160.945,3722.041,3660.805
46,3190.82,3910.459,3609.254
47,3197.157,3896.052,3692.834
48,2997.056,3781.484,3612.246
49,2924.027,3721.496,3515.713
50,2845.853,3754.854,3511.809
51,2871.484,3775.547,3594.076
52,2816.161,3769.051,3548.437
53,2687.312,3822.434,3644.482
54,2813.997,3747.1,3667.003
55,2766.28,3670.712,3708.636
56,2878.803,3858.08,3638.616
57,2753.935,3811.952,3598.364
58,2786.058,3786.978,3640.361
59,2706.262,3739.325,3674.857
60,2673.142,3728.972,3604.815
61,2768.517,3673.865,3713.13
62,2714.696,3627.669,3663.968
63,2650.792,3528.511,3609.882
64,2731.858,3525.234,3533.245
65,2461.033,3483.735,3564.828
66,2404.392,3196.552,3181.349
67,2452.574,3114.4,3139.827
68,2484.627,3178.696,3101.507
69,2400.993,2886.024,3104.39
70,2376.623,2967.737,3101.835
71,2599.157,2890.298,3029.668
72,2588.746,2846.351,3047.892
73,2679.179,2953.344,3125.361
74,2999.293,3194.026,3186.587
75,3016.024,3385.2,3405.161
76,2876.267,3337.506,3401.955
77,2883.795,3288.906,3403.994
78,2853.282,3276.013,3360.258
79,2869.524,3228.303,3323.141
80,2839.893,3110.781,3376.208
81,2850.895,3166.337,3400.431
82,2905.481,3177.759,3365.724
83,2842.926,3203.185,3134.372
84,2799.09,3035.502,3175.673
85,2781.023,3035.248,3196.463
86,2752.981,3055.67,3104.244
87,2731.741,3083.746,3115.085
88,2685.288,2883.14,3108.964
89,2681.893,2930.596,3051.662
90,2632.693,2846.607,3111.873
91,2634.92,2815.561,2999.913
92,2613.932,2864.353,2896.668
93,2609.106,2834.504,2845.819
94,2660.106,2844.357,2872.526
95,2606.565,2809.196,2840.846
