,F-JW1-MON,F-JW2-MON,F-JW3-MON,F-JW4-MON
0,2494.286,2809.346,2961.176,2783.766
1,2435.22,2785.291,2797.267,2764.964
2,2354.213,2734.558,2769.692,2683.73
3,2346.135,2556.73,2805.138,2657.686
4,2357.615,2622.283,2766.099,2711.094
5,2328.695,2692.051,2803.494,2686.674
6,2306.019,2662.057,2582.596,2597.304
7,2338.8,2617.105,2566.243,2565.714
8,2340.13,2654.04,2645.697,2574.119
9,2338.613,2597.71,2626.163,2599.445
10,2353.332,2557.673,2625.656,2636.034
11,2281.102,2607.453,2617.176,2604.669
12,2363.838,2621.486,2661.76,2615.489
13,2190.477,2621.174,2584.886,2597.06
14,2286.599,2576.54,2524.666,2604.843
15,2189.685,2505.715,2575.499,2511.861
16,2264.499,2542.539,2557.349,2529.243
17,2227.63,2535.916,2580.667,2546.904
18,2189.041,2461.343,2585.067,2517.36
19,2193.651,2555.546,2494.584,2540.139
20,2339.619,2537.408,2607.441,2687.513
21,2442.4,2500.549,2677.657,2761.466
22,2418.888,2510.113,2698.536,2677.425
23,2375.821,2517.004,2672.153,2757.346
24,2553.604,2551.049,2651.75,2761.901
25,2370.618,2384.673,2701.89,2572.46
26,2227.155,2311.331,2486.034,2423.121
27,2160.598,2224.038,2459.684,2457.134
28,2233.585,2081.557,2492.798,2434.27
29,2202.291,2071.212,2618.069,2504.163
30,2232.139,2135.324,2640.438,2544.6
31,2293.444,2110.437,2884.234,2756.445
32,2361.82,2159.274,2878.225,2804.75
33,2506.875,2217.15,2984.334,2810.432
34,2597.211,2294.498,3183.865,3053.262
35,2626.823,2305.755,3189.308,3079.709
36,2967.211,2309.434,3339.487,3201.872
37,2963.593,2455.72,3358.054,3278.694
38,2991.741,2461.789,3409.263,3504.52
39,3083.424,2470.923,3490.057,3393.711
40,3055.155,2445.907,3471.601,3433.558
41,3080.745,2493.908,3492.525,3610.175
42,3158.071,2523.301,3598.0,3592.794
43,3193.927,2582.145,3698.157,3665.148
44,3191.858,2667.513,3744.019,3682.527
45,3242.393,2635.575,3738.586,3739.374
46,3213.465,2656.511,3704.337,3761.689
47,3302.285,2702.567,3682.283,3719.488
48,3291.026,2686.196,3778.608,3704.987
49,3286.891,2784.545,3766.489,3724.62
50,3282.954,2694.872,3889.855,3704.483
51,3375.613,2776.381,3859.965,3724.735
52,3317.722,2735.929,3984.122,3741.22
53,3289.071,2805.65,3883.406,3656.007
54,3266.87,2756.84,3865.045,3661.938
55,3281.211,2742.512,3792.782,3679.384
56,3347.061,2748.22,3839.212,3688.455
57,3323.248,2767.023,3810.026,3705.374
58,3263.203,2757.486,3851.745,3749.503
59,3193.511,2679.671,3690.807,3784.632
60,3291.402,2743.19,3681.985,3750.304
61,3229.015,2709.02,3689.154,3756.322
62,3195.995,2739.736,3761.541,3779.686
63,3200.428,2672.096,3768.487,3777.308
64,3408.524,2691.016,3605.05,3654.062
65,3371.852,2528.288,3514.214,3708.892
66,2973.643,2549.732,3343.163,3547.115
67,2895.823,2558.565,3284.47,3467.374
68,2934.132,2569.155,3254.716,3158.966
69,2983.726,2572.238,3270.847,3202.747
70,2948.505,2557.691,3011.489,3210.09
71,2806.087,2544.0,2938.617,3128.323
72,2885.632,2543.123,2918.107,3114.511
73,2812.507,2619.715,2968.725,3204.944
74,3034.64,2890.936,3343.439,3538.823
75,3054.767,2954.099,3363.016,3588.0
76,2990.514,2923.698,3319.12,3552.627
77,3038.938,2888.071,3380.048,3501.497
78,2959.33,2849.706,3335.997,3489.234
79,2913.708,2811.639,3346.791,3497.888
80,2927.077,2897.343,3323.836,3581.298
81,2896.828,2883.574,3319.714,3510.2
82,2929.584,2854.384,3269.67,3496.395
83,2902.949,2915.379,3272.235,3359.08
84,2879.488,2843.156,3161.784,3271.61
85,2903.467,2912.715,3103.431,3191.259
86,2791.567,2852.13,3089.312,3188.358
87,2747.835,2837.781,3028.85,3114.029
88,2701.572,2838.16,3030.487,2990.198
89,2606.867,2814.609,3028.326,3016.679
90,2601.235,2817.761,3029.067,2910.071
91,2656.452,2773.232,2891.462,2982.012
92,2648.232,2866.643,2914.327,3024.36
93,2643.717,2837.796,2881.347,2980.329
94,2622.045,2812.374,2903.83,2994.951
95,2520.23,2812.002,2872.658,2929.666
