,F-JW1-SAT,F-JW2-SAT,F-JW3-SAT
0,2580.228,2696.556,2847.023
1,2578.784,2665.04,2790.162
2,2581.106,2721.347,2904.954
3,2551.325,2660.612,2720.531
4,2527.849,2614.411,2813.295
5,2528.256,2611.539,2707.764
6,2538.52,2547.862,2676.603
7,2516.882,2550.987,2497.108
8,2521.113,2483.325,2504.243
9,2534.79,2484.684,2533.946
10,2529.411,2549.897,2537.943
11,2520.737,2495.733,2577.913
12,2513.148,2506.461,2509.383
13,2520.11,2508.316,2514.495
14,2467.648,2492.021,2471.175
15,2459.07,2403.687,2516.59
16,2460.153,2456.059,2425.163
17,2464.741,2468.191,2488.172
18,2457.776,2398.386,2436.432
19,2458.311,2384.712,2445.044
20,2454.196,2383.345,2497.224
21,2437.785,2431.732,2489.696
22,2442.327,2388.539,2486.636
23,2480.295,2500.965,2485.577
24,2467.93,2548.693,2444.505
25,2389.288,2363.643,2255.701
26,2154.939,2080.087,2052.918
27,2167.225,2033.998,1877.775
28,2162.694,2021.457,1969.551
29,2154.39,2073.509,2039.094
30,2164.32,2078.297,2022.376
31,2145.268,2262.476,2244.394
32,2389.795,2425.036,2380.691
33,2387.953,2576.492,2616.228
34,2347.29,2726.027,2726.479
35,2135.86,2674.758,2772.102
36,2408.239,2769.024,2791.052
37,2400.249,2713.227,2843.596
38,2454.1,2910.136,2939.479
39,2529.334,2961.469,3018.13
40,2593.068,3007.534,2996.425
41,2703.354,3120.397,3161.98
42,2698.281,3127.93,3349.259
43,2818.04,3133.396,3301.134
44,2869.195,3107.012,3465.609
45,2953.129,3143.783,3450.548
46,2925.106,3187.104,3475.869
47,2885.185,3256.637,3397.284
48,2947.706,3252.6,3431.095
49,2938.294,3258.452,3416.951
50,2935.816,3251.805,3427.28
51,2953.505,3250.592,3487.962
52,2926.382,3272.54,3492.792
53,2827.074,3194.332,3502.953
54,2855.026,3180.959,3374.681
55,2865.738,3202.248,3354.355
56,2870.392,3130.886,3356.133
57,3000.822,3129.617,3314.753
58,2952.393,3157.773,3316.808
59,2900.209,3120.473,3321.412
60,2946.827,3122.594,3349.326
61,2925.741,3101.166,3330.294
62,2964.366,3147.021,3262.815
63,2921.049,3136.097,3358.862
64,2762.184,3088.948,3222.561
65,2752.65,3094.95,3118.292
66,2809.462,3049.429,3122.717
67,2818.818,3033.58,3135.554
68,2863.074,2924.657,3209.979
69,2764.178,2995.529,3138.66
70,2809.883,2868.624,3063.692
71,2715.418,2889.815,3054.45
72,2675.068,2876.582,3029.284
73,2832.413,3003.817,3054.615
74,2938.988,3023.766,3252.867
75,3168.931,3208.82,3482.884
76,3149.638,3180.559,3426.388
77,3190.017,3098.715,3341.173
78,3138.856,3102.777,3372.309
79,3198.775,3107.359,3250.406
80,3161.353,3112.327,3229.344
81,3229.904,3116.736,3142.149
82,3131.207,3100.578,3145.357
83,2676.088,3148.936,3198.439
84,2640.185,3048.968,3143.058
85,2671.423,3072.718,3177.894
86,2707.782,3008.333,3119.013
87,2705.694,3050.24,3021.985
88,2672.942,2798.465,3082.536
89,2682.987,2989.482,3057.827
90,2736.049,2882.533,2851.112
91,2640.662,2863.36,2769.052
92,2712.699,2899.317,2840.544
93,2618.545,2879.071,2842.754
94,2690.036,2851.47,2863.714
95,2707.114,2717.528,2762.563
