,F-JW1-SUN,F-JW2-SUN,F-JW3-SUN
00:00:00,290.539,318.743,369.659
00:15:00,277.741,336.461,358.853
00:30:00,287.837,322.653,382.409
00:45:00,273.367,306.012,360.511
01:00:00,285.334,304.191,362.006
01:15:00,258.52,343.007,325.361
01:30:00,287.932,310.16,352.372
01:45:00,298.258,312.677,332.6
02:00:00,294.179,302.993,321.617
02:15:00,271.728,243.35,319.688
02:30:00,271.802,258.801,310.11
02:45:00,286.502,212.431,327.467
03:00:00,272.819,230.147,321.856
03:15:00,310.083,237.607,271.787
03:30:00,270.148,252.219,276.859
03:45:00,281.418,218.467,251.436
04:00:00,273.809,235.271,267.101
04:15:00,293.744,253.209,261.287
04:30:00,289.784,220.71,238.991
04:45:00,298.751,233.249,252.033
05:00:00,283.68,236.708,246.46
05:15:00,294.097,222.004,257.196
05:30:00,293.202,218.994,223.13
05:45:00,301.389,235.684,236.913
06:00:00,291.702,255.21,224.267
06:15:00,271.494,222.12,247.498
06:30:00,260.357,200.842,168.167
06:45:00,243.174,152.853,122.212
07:00:00,242.492,132.14,128.986
07:15:00,222.301,113.254,140.096
07:30:00,223.486,146.48,138.382
07:45:00,197.754,171.249,174.538
08:00:00,258.536,169.752,240.824
08:15:00,251.949,214.241,232.796
08:30:00,252.043,203.089,249.401
08:45:00,255.472,217.077,280.382
09:00:00,366.304,227.869,285.773
09:15:00,388.79,305.61,315.877
09:30:00,356.672,309.398,359.181
09:45:00,332.744,348.299,304.358
10:00:00,369.524,355.417,333.139
10:15:00,352.837,367.0,343.318
10:30:00,335.091,408.143,369.448
10:45:00,360.133,412.406,382.841
11:00:00,332.278,369.107,354.767
11:15:00,396.467,431.64,410.114
11:30:00,414.712,454.966,405.244
11:45:00,376.646,453.297,411.668
12:00:00,379.037,436.703,420.978
12:15:00,395.962,442.233,447.713
12:30:00,372.463,432.033,439.187
12:45:00,381.923,445.493,441.761
13:00:00,408.771,457.914,432.232
13:15:00,424.084,448.17,423.398
13:30:00,405.501,443.536,428.687
13:45:00,386.626,442.021,449.102
14:00:00,385.048,433.586,423.304
14:15:00,375.658,433.909,410.448
14:30:00,366.213,456.002,414.497
14:45:00,370.551,451.987,404.318
15:00:00,379.007,461.501,415.417
15:15:00,398.091,433.336,414.85
15:30:00,404.037,429.076,402.008
15:45:00,381.112,413.388,417.607
16:00:00,367.831,416.189,420.547
16:15:00,371.954,407.747,414.482
16:30:00,370.247,410.621,398.591
16:45:00,340.352,402.272,393.482
17:00:00,354.853,403.807,389.44
17:15:00,354.881,401.751,392.384
17:30:00,331.008,410.497,391.926
17:45:00,349.552,375.659,386.306
18:00:00,325.186,344.73,377.796
18:15:00,325.973,337.199,400.619
18:30:00,337.073,373.709,441.239
18:45:00,377.49,425.819,485.21
19:00:00,367.258,416.958,456.851
19:15:00,375.638,410.471,452.71
19:30:00,385.231,388.914,428.931
19:45:00,369.619,412.747,445.708
20:00:00,385.814,411.757,436.666
20:15:00,370.457,417.483,458.41
20:30:00,385.566,421.027,433.17
20:45:00,319.409,416.158,425.262
21:00:00,344.842,427.9,400.37
21:15:00,343.046,461.944,434.918
21:30:00,370.9,440.941,439.25
21:45:00,364.591,434.291,412.84
22:00:00,343.653,419.45,434.463
22:15:00,364.409,428.261,409.497
22:30:00,338.254,429.388,428.061
22:45:00,346.834,433.466,431.024
23:00:00,380.662,428.192,436.942
23:15:00,350.116,415.283,395.254
23:30:00,358.351,397.994,352.923
23:45:00,366.649,384.638,349.737
