,P-FW1-THU,P-FW2-THU,P-FW3-THU,P-FW4-THU
0,10582.366,11489.015,11652.754,11676.829
1,10354.389,11401.124,11392.494,11602.173
2,10232.547,11174.746,11291.315,11358.667
3,10023.359,11069.452,11072.718,11166.907
4,9915.928,10951.057,10834.835,11051.49
5,9785.348,10802.399,10732.2,10886.678
6,9800.045,10737.683,10581.53,10745.371
7,9603.386,10580.48,10426.453,10691.783
8,9459.827,10529.017,10258.252,10501.136
9,9407.355,10347.773,10100.306,10504.225
10,9248.376,10311.289,10082.938,10384.469
11,9238.731,10313.836,10013.647,10266.608
12,9190.008,10117.135,9943.367,10143.565
13,9120.864,10115.365,9826.954,10142.597
14,9140.15,10032.25,9761.108,10090.673
15,9054.285,10014.208,9769.704,10129.87
16,8958.077,9957.006,9755.14,9961.158
17,9010.569,9994.382,9849.05,10059.29
18,9131.948,10078.178,9872.111,10129.715
19,9167.414,10227.853,9979.909,10182.176
20,9457.526,10434.712,10146.938,10417.201
21,9609.483,10654.362,10457.185,10723.214
22,9881.211,10825.879,10644.229,11024.621
23,10045.974,10988.011,10853.455,11163.862
24,10219.677,11304.598,11279.937,11498.168
25,10560.643,11521.275,11376.521,11433.819
26,10332.52,11355.592,11374.961,11395.895
27,10281.394,11193.081,11242.623,11537.19
28,10418.266,11206.541,11175.904,11457.795
29,10400.686,11194.289,10996.235,11428.736
30,10282.979,11064.775,11177.654,11494.329
31,10194.412,11336.182,11070.911,11377.988
32,10343.784,11586.889,11184.116,11435.935
33,10474.961,11668.729,11554.459,11787.791
34,10603.086,12055.745,11824.393,11800.326
35,10854.922,12117.241,11894.05,
36,11085.902,12353.811,12105.191,
37,11250.209,12498.776,12505.568,
38,11512.344,12778.293,12563.825,
39,11667.052,12934.671,12636.425,
40,11733.705,13034.096,12853.359,
41,11782.51,13280.634,12970.576,
42,11784.628,13280.073,13241.375,
43,12011.544,13591.867,13103.012,
44,12044.895,13526.537,13565.077,
45,11997.461,13508.218,13487.021,
46,12383.575,13673.049,13429.607,
47,12142.615,13777.889,13443.025,
48,12296.222,13837.265,13545.762,
49,12437.808,13937.761,13434.905,
50,12422.487,13976.363,13586.113,
51,12385.204,13864.193,13522.229,
52,12336.965,13981.271,13727.46,
53,12443.201,13956.783,13799.815,
54,12575.667,13985.485,13582.851,
55,12660.449,14103.243,13726.843,
56,12730.104,14010.119,13581.362,
57,12750.854,14101.048,13708.385,
58,12627.707,14094.447,13590.432,
59,12758.924,14046.594,13709.577,
60,12554.262,14014.803,13854.646,
61,12624.271,13917.027,13789.971,
62,12772.349,13944.135,13676.406,
63,12798.28,13936.448,13552.977,
64,12454.639,13900.335,13569.021,
65,12620.995,13511.756,13516.23,
66,12443.859,13207.915,13236.426,
67,12184.723,13236.188,13220.081,
68,12150.259,12877.984,12908.964,
69,12164.146,12685.208,12887.855,
70,12193.3,12543.697,13020.764,
71,12309.668,12633.224,12860.624,
72,12371.415,12933.3,12998.866,
73,12756.312,13445.743,13425.936,
74,13504.124,14178.578,14134.79,
75,13771.027,14717.852,15034.836,
76,14051.705,14726.882,15142.717,
77,14136.083,14855.265,15077.759,
78,14033.43,14960.08,15262.95,
79,14093.969,15135.757,15201.987,
80,13970.017,15147.945,15386.134,
81,13823.295,14817.26,14972.281,
82,13748.699,14698.489,14808.524,
83,13584.417,14638.109,14646.352,
84,13292.144,14533.438,14528.077,
85,13222.066,14304.175,14340.867,
86,12977.561,14055.797,14138.06,
87,12749.224,13858.321,13850.635,
88,12589.464,13534.423,13793.906,
89,12510.509,13359.811,13401.131,
90,12132.925,13166.125,12967.955,
91,11972.086,12807.939,12629.157,
92,11886.596,12471.803,12459.763,
93,11600.725,12299.461,12217.581,
94,11358.862,12119.707,11922.001,
95,11291.548,11882.646,11727.967,
