,F-JW1-THU,F-JW2-THU,F-JW3-THU,F-JW4-THU
0,2692.431,2605.945,2897.625,2857.688
1,2640.442,2665.605,2837.806,2867.708
2,2560.525,2613.328,2901.503,2845.686
3,2587.273,2661.839,2840.922,2800.725
4,2550.874,2698.76,2697.765,2777.566
5,2529.763,2631.12,2661.557,2799.022
6,2567.563,2581.091,2600.296,2771.864
7,2515.594,2570.101,2479.374,2728.662
8,2437.188,2549.727,2571.747,2697.51
9,2451.112,2572.022,2527.398,2708.874
10,2392.417,2577.237,2612.329,2717.295
11,2401.423,2525.77,2567.264,2689.087
12,2384.244,2492.974,2593.908,2652.454
13,2357.197,2524.91,2527.266,2724.151
14,2357.438,2433.422,2493.461,2691.429
15,2301.919,2491.238,2531.467,2699.881
16,2294.441,2471.813,2482.033,2574.763
17,2271.929,2507.115,2550.964,2621.137
18,2296.717,2521.032,2477.434,2602.408
19,2318.355,2577.431,2466.17,2547.127
20,2392.312,2575.213,2553.297,2652.651
21,2381.741,2594.431,2638.201,2665.757
22,2389.228,2531.447,2586.627,2681.214
23,2467.327,2530.876,2586.802,2738.29
24,2446.452,2570.447,2682.436,2772.045
25,2420.175,2595.801,2642.207,2524.866
26,2199.436,2374.459,2482.696,2354.756
27,2241.457,2326.275,2451.402,2432.171
28,2279.339,2367.673,2449.485,2469.106
29,2264.294,2411.847,2435.522,2496.867
30,2274.83,2222.632,2557.168,2616.591
31,2371.082,2731.426,2583.126,2847.211
32,2457.896,2906.755,2721.063,2933.994
33,2486.636,2900.355,2932.426,3189.885
34,2607.139,3068.27,3061.024,3175.114
35,2949.448,3048.494,3236.465,
36,3027.943,3135.034,3224.971,
37,3057.04,3149.663,3354.775,
38,3139.882,3343.115,3353.844,
39,3160.8,3414.027,3389.182,
40,3143.539,3423.979,3439.791,
41,3140.255,3424.786,3536.346,
42,3150.562,3451.228,3650.413,
43,3273.486,3407.031,3619.723,
44,3257.099,3512.454,3786.533,
45,3266.492,3551.628,3722.872,
46,3257.131,3515.655,3709.186,
47,3346.621,3600.658,3688.637,
48,3270.191,3700.542,3748.473,
49,3270.86,3657.727,3646.825,
50,3261.186,3628.274,3652.799,
51,3281.319,3600.992,3676.031,
52,3227.017,3734.023,3758.447,
53,3192.285,3657.828,3779.784,
54,3267.353,3773.342,3720.896,
55,3345.028,3781.819,3743.172,
56,3275.399,3775.908,3731.565,
57,3302.46,3783.141,3758.602,
58,3228.003,3866.389,3676.912,
59,3341.275,3713.438,3681.876,
60,3365.212,3794.855,3752.614,
61,3276.528,3807.434,3729.229,
62,3296.558,3687.259,3661.864,
63,3305.923,3748.998,3658.583,
64,3203.308,3674.762,3675.823,
65,3239.62,3551.104,3632.913,
66,3177.804,3409.406,3408.404,
67,3157.045,3475.34,3425.435,
68,3187.92,3264.045,3254.97,
69,3123.799,3195.301,3260.787,
70,3050.777,3160.047,3284.649,
71,2974.37,3069.438,3155.122,
72,2952.616,3080.669,3161.698,
73,3123.58,3192.527,3146.896,
74,3283.02,3344.002,3439.623,
75,3277.203,3543.621,3593.531,
76,3316.055,3510.047,3619.691,
77,3275.082,3496.582,3460.969,
78,3254.037,3401.983,3494.205,
79,3163.423,3375.314,3484.174,
80,3234.324,3395.755,3511.714,
81,3138.913,3337.735,3388.115,
82,3149.842,3284.628,3230.26,
83,3081.641,3302.296,3241.188,
84,2882.539,3304.305,3201.375,
85,2976.117,3180.474,3205.57,
86,2938.877,3178.992,3265.328,
87,2938.922,3181.33,3164.021,
88,2954.746,3199.496,3136.006,
89,3007.482,3147.366,3101.264,
90,2835.366,3112.152,2912.438,
91,2888.369,3079.406,2891.146,
92,2888.398,3022.287,2893.921,
93,2946.312,2914.416,2880.243,
94,2784.375,3028.679,2785.664,
95,2797.293,2919.906,2797.661,
